PRISM Time Series Data
Location:  Lat: 39.8622   Lon: -79.4948   Elev: 1667ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,19.2,32.8,46.4,0.02,5.56
2000-01-02,0.00,19.8,35.1,50.3,0.30,6.14
2000-01-03,0.08,37.3,52.4,67.6,0.41,14.33
2000-01-04,0.13,46.6,54.8,63.0,0.00,7.16
2000-01-05,0.24,25.6,44.1,62.5,0.25,6.56
2000-01-06,0.02,13.2,22.5,31.8,0.00,2.49
2000-01-07,0.00,14.3,29.3,44.3,0.00,5.81
2000-01-08,0.00,16.0,28.1,40.2,0.00,4.71
2000-01-09,0.00,17.1,28.5,39.9,0.27,5.12
2000-01-10,0.02,33.3,40.0,46.6,0.25,5.42
2000-01-11,0.11,30.6,41.4,52.2,0.00,6.64
2000-01-12,0.05,25.0,34.9,44.7,0.37,5.87
2000-01-13,0.10,26.6,38.0,49.3,0.33,8.08
2000-01-14,0.03,11.8,29.4,46.9,0.22,4.19
2000-01-15,0.00,6.8,14.5,22.1,0.11,1.80
2000-01-16,0.00,8.5,27.5,46.4,0.20,7.56
2000-01-17,0.00,6.0,27.3,48.6,0.53,6.67
2000-01-18,0.00,6.2,13.8,21.4,0.60,2.77
2000-01-19,0.07,15.3,20.6,25.9,0.38,2.77
2000-01-20,0.22,21.3,25.6,29.8,0.10,2.40
2000-01-21,0.22,5.3,16.0,26.6,0.09,1.60
2000-01-22,0.02,-1.3,5.9,13.2,0.17,1.16
2000-01-23,0.04,2.4,11.1,19.8,0.18,1.70
2000-01-24,0.00,16.2,24.3,32.4,0.22,1.87
2000-01-25,0.00,13.3,22.2,31.1,0.44,2.97
2000-01-26,0.00,10.5,15.4,20.3,0.21,1.28
2000-01-27,0.03,5.4,14.7,24.1,0.21,1.79
2000-01-28,0.01,1.8,8.6,15.5,0.27,1.50
2000-01-29,0.00,-2.1,9.0,20.1,0.00,1.31
2000-01-30,0.10,1.0,19.2,37.3,0.06,5.36
2000-01-31,0.22,17.5,24.7,32.0,0.00,1.40
2000-02-01,0.04,18.7,23.1,27.4,0.30,1.74
2000-02-02,0.10,15.3,21.4,27.5,0.25,1.75
2000-02-03,0.00,10.2,19.6,29.0,0.27,2.83
2000-02-04,0.22,17.7,25.4,33.1,0.01,2.34
2000-02-05,0.13,15.3,24.1,32.9,0.10,1.68
2000-02-06,0.00,17.1,24.2,31.3,0.51,2.85
2000-02-07,0.00,13.8,23.6,33.3,0.03,3.10
2000-02-08,0.00,7.8,23.1,38.5,0.04,3.57
2000-02-09,0.00,9.7,25.1,40.5,0.19,5.34
2000-02-10,0.00,21.1,36.1,51.2,0.39,8.22
2000-02-11,0.47,28.3,40.8,53.3,0.23,8.74
2000-02-12,0.07,16.9,30.2,43.4,0.18,2.46
2000-02-13,0.00,17.3,27.0,36.7,0.51,4.63
2000-02-14,1.31,23.4,32.7,41.9,0.00,2.53
2000-02-15,0.21,24.1,36.6,49.2,0.06,3.48
