PRISM Time Series Data
Location:  Lat: 40.3487   Lon: -75.4313   Elev: 400ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.0,32.4,42.8,0.00,2.77
2000-01-02,0.00,25.1,35.0,44.9,0.04,2.78
2000-01-03,0.00,35.3,48.0,60.7,0.31,8.12
2000-01-04,0.00,46.7,53.9,61.0,0.00,4.24
2000-01-05,0.51,32.7,48.7,64.7,0.26,5.85
2000-01-06,0.00,18.1,28.2,38.4,0.27,4.55
2000-01-07,0.00,18.6,30.9,43.2,0.13,5.26
2000-01-08,0.00,19.9,33.8,47.8,0.19,6.43
2000-01-09,0.00,20.2,29.9,39.6,0.48,4.60
2000-01-10,0.00,32.6,39.1,45.6,0.24,4.21
2000-01-11,0.49,33.9,44.4,54.8,0.00,4.40
2000-01-12,0.00,33.4,42.1,50.8,0.94,7.28
2000-01-13,0.00,27.6,36.1,44.7,0.94,6.40
2000-01-14,0.00,14.4,26.4,38.4,0.58,2.44
2000-01-15,0.00,12.8,18.9,24.9,0.81,3.09
2000-01-16,0.00,14.4,22.7,31.1,0.70,2.88
2000-01-17,0.00,8.6,29.3,50.0,1.27,7.57
2000-01-18,0.00,4.3,11.1,17.9,0.68,2.56
2000-01-19,0.00,5.1,12.6,20.1,0.72,2.48
2000-01-20,0.03,14.4,23.2,32.1,0.37,3.67
2000-01-21,0.13,10.2,19.1,28.0,0.10,1.58
2000-01-22,0.00,4.4,11.5,18.6,0.56,2.27
2000-01-23,0.00,7.6,14.2,20.7,0.49,2.25
2000-01-24,0.00,15.9,21.0,26.2,0.29,1.21
2000-01-25,0.25,21.4,30.0,38.5,0.12,3.86
2000-01-26,0.41,21.3,25.0,28.7,0.19,1.76
2000-01-27,0.00,12.4,21.9,31.4,1.03,2.88
2000-01-28,0.00,8.7,14.2,19.8,1.04,2.14
2000-01-29,0.00,9.5,16.1,22.6,1.03,2.88
2000-01-30,0.00,5.4,20.2,35.1,0.34,5.38
2000-01-31,1.27,11.6,22.4,33.2,0.00,3.71
2000-02-01,0.00,14.5,24.0,33.4,0.04,3.02
2000-02-02,0.00,15.8,24.6,33.5,0.68,3.19
2000-02-03,0.00,10.0,20.3,30.7,0.47,3.76
2000-02-04,0.34,12.5,22.4,32.3,0.08,2.84
2000-02-05,0.00,22.6,28.6,34.7,0.02,2.10
2000-02-06,0.00,22.1,28.7,35.3,1.21,4.47
2000-02-07,0.00,19.7,28.4,37.1,0.64,5.04
2000-02-08,0.00,10.7,26.1,41.5,0.74,4.53
2000-02-09,0.00,6.9,19.0,31.0,0.18,4.03
2000-02-10,0.00,8.4,26.8,45.3,0.00,5.30
2000-02-11,0.02,27.8,39.0,50.3,0.26,6.93
2000-02-12,0.07,20.5,34.0,47.6,0.31,4.00
2000-02-13,0.00,9.0,20.2,31.5,0.06,3.82
2000-02-14,0.65,12.7,24.1,35.4,0.06,2.78
2000-02-15,0.03,32.0,38.7,45.4,0.59,3.59
2000-02-16,0.00,23.2,31.1,39.1,0.57,4.72
2000-02-17,0.00,24.4,38.1,51.8,1.53,6.05
2000-02-18,0.08,24.4,29.8,35.2,0.94,4.60
2000-02-19,0.70,26.7,29.5,32.3,0.01,1.39
2000-02-20,0.00,27.2,31.1,35.0,0.01,1.70
2000-02-21,0.00,21.9,30.4,38.8,0.71,3.88
2000-02-22,0.00,21.3,31.2,41.1,0.14,4.85
2000-02-23,0.00,22.6,37.4,52.2,0.14,8.15
2000-02-24,0.00,31.4,42.8,54.1,0.46,7.46
2000-02-25,0.00,33.1,48.9,64.7,0.08,12.64
2000-02-26,0.25,37.4,49.7,61.9,0.16,6.98
2000-02-27,0.01,38.3,41.8,45.3,0.01,2.16
2000-02-28,0.41,41.1,49.1,57.2,0.06,2.79
2000-02-29,0.00,32.8,42.8,52.8,1.69,8.98
2000-03-01,0.00,23.5,39.9,56.2,0.30,11.64
2000-03-02,0.00,31.0,42.8,54.7,1.22,9.99
2000-03-03,0.00,31.6,38.4,45.3,1.57,5.67
2000-03-04,0.00,28.9,38.7,48.6,1.79,9.18
2000-03-05,0.00,31.8,42.1,52.4,1.68,9.34
2000-03-06,0.00,28.6,43.5,58.5,0.73,12.16
2000-03-07,0.00,28.0,41.9,55.9,0.71,11.20
2000-03-08,0.00,35.5,51.3,67.0,1.76,16.64
2000-03-09,0.00,37.5,58.5,79.5,0.01,20.54
2000-03-10,0.00,39.4,56.4,73.4,0.00,15.84
2000-03-11,0.03,38.7,48.4,58.1,0.07,8.18
2000-03-12,0.88,38.6,40.8,43.1,0.00,0.61
2000-03-13,0.03,27.0,36.2,45.4,0.32,3.64
2000-03-14,0.00,28.6,38.3,47.9,0.82,7.40
2000-03-15,0.00,30.9,43.3,55.7,0.26,9.70
2000-03-16,0.00,36.8,52.6,68.3,0.87,17.13
2000-03-17,1.11,39.7,52.4,65.2,0.01,11.09
2000-03-18,0.00,19.9,29.8,39.6,0.62,3.36
2000-03-19,0.00,23.0,31.8,40.5,0.94,6.25
2000-03-20,0.00,28.9,37.6,46.2,0.75,5.79
2000-03-21,0.17,34.2,40.5,46.7,0.49,5.31
2000-03-22,2.33,37.1,39.0,40.9,0.13,1.67
2000-03-23,0.00,31.3,42.1,53.0,0.00,5.61
2000-03-24,0.00,33.5,49.9,66.4,0.00,12.81
2000-03-25,0.00,40.0,53.6,67.3,1.22,15.35
