PRISM Time Series Data
Location:  Lat: 40.3381   Lon: -75.1739   Elev: 407ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,25.3,32.9,40.5,0.01,2.52
2000-01-02,0.00,29.3,38.4,47.6,0.03,3.38
2000-01-03,0.00,35.4,48.0,60.7,0.87,10.49
2000-01-04,0.00,50.8,55.9,61.1,0.55,4.48
2000-01-05,0.67,34.8,49.8,64.8,0.59,5.82
2000-01-06,0.00,19.7,29.0,38.3,0.43,4.52
2000-01-07,0.00,19.4,30.7,42.0,0.09,4.81
2000-01-08,0.00,22.6,35.1,47.5,0.13,6.27
2000-01-09,0.00,23.4,31.0,38.7,0.96,4.29
2000-01-10,0.00,34.9,40.7,46.5,0.71,4.56
2000-01-11,0.54,38.8,47.8,56.8,0.00,4.27
2000-01-12,0.00,36.1,42.9,49.8,1.78,7.11
2000-01-13,0.01,30.4,37.5,44.5,1.50,6.26
2000-01-14,0.00,14.1,25.4,36.7,0.44,2.15
2000-01-15,0.00,12.6,18.0,23.4,0.86,2.76
2000-01-16,0.00,14.8,22.3,29.8,0.80,2.76
2000-01-17,0.00,8.9,29.0,49.2,1.28,7.29
2000-01-18,0.00,4.6,11.0,17.5,0.74,2.47
2000-01-19,0.00,5.1,12.6,20.1,0.77,2.46
2000-01-20,0.12,16.1,23.7,31.3,0.51,3.55
2000-01-21,0.06,10.8,19.1,27.4,0.15,1.51
2000-01-22,0.00,5.5,11.6,17.8,0.69,2.17
2000-01-23,0.01,7.8,13.9,19.9,0.40,2.12
2000-01-24,0.00,16.0,21.3,26.7,0.32,1.25
2000-01-25,0.08,22.7,30.4,38.0,0.22,3.56
2000-01-26,0.92,22.5,25.9,29.4,0.13,1.66
2000-01-27,0.00,13.0,21.9,30.9,1.02,2.71
2000-01-28,0.00,7.8,13.0,18.3,0.93,1.92
2000-01-29,0.00,8.1,14.6,21.0,0.98,2.53
2000-01-30,0.05,7.9,21.1,34.3,0.54,5.01
2000-01-31,1.01,11.1,22.8,34.4,0.00,3.81
2000-02-01,0.00,19.2,25.6,32.1,0.42,2.71
2000-02-02,0.02,19.1,26.3,33.4,0.92,3.06
2000-02-03,0.00,13.6,21.7,29.8,0.77,3.43
2000-02-04,0.22,15.2,23.2,31.2,0.07,2.69
2000-02-05,0.04,22.8,28.0,33.2,0.00,1.81
2000-02-06,0.00,23.9,28.7,33.4,1.25,3.80
2000-02-07,0.00,22.6,29.3,36.0,0.83,4.41
2000-02-08,0.00,14.3,27.5,40.8,1.05,4.19
2000-02-09,0.00,10.2,20.4,30.6,0.23,3.93
2000-02-10,0.00,15.0,30.4,45.8,0.11,5.36
2000-02-11,0.00,27.8,38.7,49.6,0.15,6.76
2000-02-12,0.04,20.9,33.8,46.7,0.22,3.52
2000-02-13,0.00,12.3,21.2,30.0,0.39,3.35
2000-02-14,0.55,14.8,25.2,35.7,0.04,2.88
2000-02-15,0.19,32.0,38.7,45.4,0.83,4.05
2000-02-16,0.00,23.6,31.1,38.5,0.67,4.53
2000-02-17,0.00,24.9,37.8,50.7,1.63,5.60
2000-02-18,0.00,24.5,29.2,33.9,1.20,4.19
2000-02-19,0.74,26.7,29.4,32.2,0.01,1.55
2000-02-20,0.07,27.6,30.9,34.1,0.02,1.40
2000-02-21,0.00,24.4,31.3,38.2,0.93,3.51
2000-02-22,0.00,23.0,31.5,40.0,0.39,4.45
2000-02-23,0.00,24.7,38.1,51.6,0.32,7.83
2000-02-24,0.00,30.6,41.8,53.0,0.50,7.12
2000-02-25,0.00,35.9,50.0,64.2,0.07,11.57
2000-02-26,0.19,37.6,48.6,59.6,0.10,5.69
2000-02-27,0.02,38.7,41.6,44.6,0.06,2.07
2000-02-28,0.39,41.0,49.3,57.6,0.02,2.93
2000-02-29,0.00,32.9,42.5,52.2,1.69,8.45
2000-03-01,0.00,27.3,41.3,55.4,0.86,11.12
2000-03-02,0.00,32.2,42.9,53.6,1.67,9.48
2000-03-03,0.00,33.1,39.2,45.3,2.01,5.63
2000-03-04,0.00,30.1,39.2,48.2,2.06,8.92
2000-03-05,0.00,32.9,42.3,51.7,2.18,8.86
2000-03-06,0.00,31.2,44.6,58.0,1.50,11.57
2000-03-07,0.00,28.9,42.1,55.3,0.98,10.70
2000-03-08,0.00,37.2,51.4,65.6,2.30,15.86
2000-03-09,0.00,40.2,58.9,77.7,0.19,18.33
2000-03-10,0.00,41.8,57.1,72.5,0.00,15.16
2000-03-11,0.00,40.2,48.4,56.5,0.24,7.09
2000-03-12,0.95,38.7,40.5,42.4,0.00,0.61
2000-03-13,0.03,27.6,37.0,46.3,0.27,3.46
2000-03-14,0.00,30.4,38.9,47.4,1.24,7.06
2000-03-15,0.00,31.7,43.2,54.7,0.53,9.37
2000-03-16,0.00,37.8,52.7,67.6,1.27,16.91
2000-03-17,1.03,41.1,53.0,65.0,0.04,10.80
2000-03-18,0.03,20.6,30.6,40.5,0.57,2.97
2000-03-19,0.00,23.6,31.0,38.5,1.00,5.60
2000-03-20,0.00,29.4,36.7,44.0,0.56,4.91
2000-03-21,0.07,33.3,39.3,45.2,0.30,4.41
2000-03-22,1.47,37.1,38.8,40.4,0.08,0.88
2000-03-23,0.00,30.2,41.2,52.3,0.00,5.36
2000-03-24,0.00,33.6,49.7,65.8,0.00,12.44
2000-03-25,0.00,41.5,54.1,66.8,1.81,15.20
2000-03-26,0.04,48.0,57.6,67.2,0.51,10.64
2000-03-27,0.00,32.3,46.9,61.5,1.32,13.39
2000-03-28,0.92,40.7,53.0,65.3,0.00,14.16
2000-03-29,0.03,39.9,49.4,59.0,1.07,11.85
2000-03-30,0.00,33.7,42.6,51.5,0.73,6.32
2000-03-31,0.00,30.5,43.8,57.1,1.19,10.31
2000-04-01,0.00,32.2,45.4,58.7,1.40,12.19
2000-04-02,0.00,44.7,54.8,64.8,3.12,16.23
2000-04-03,0.00,52.0,59.8,67.6,0.77,14.32
2000-04-04,0.48,58.2,64.1,70.0,0.33,8.34
2000-04-05,0.04,37.9,51.0,64.2,1.16,7.52
2000-04-06,0.00,34.7,41.1,47.5,1.92,7.07
2000-04-07,0.00,42.8,57.4,72.0,2.86,20.61
2000-04-08,0.00,44.3,55.7,67.2,0.01,15.17
2000-04-09,0.51,29.9,52.7,75.5,0.05,18.41
2000-04-10,0.08,28.4,39.0,49.7,0.30,8.85
2000-04-11,0.00,38.6,46.9,55.1,3.03,11.07
2000-04-12,0.05,38.4,43.5,48.7,0.01,3.92
2000-04-13,0.00,29.5,40.2,51.0,1.16,8.56
2000-04-14,0.00,31.5,41.6,51.8,0.75,9.65
