PRISM Time Series Data
Location:  Lat: 40.0598   Lon: -74.4460   Elev: 135ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.87,21.6,30.7,39.8,0.65,4.42
2000-02,2.05,27.1,36.0,44.9,0.59,5.18
2000-03,3.80,35.6,46.2,56.7,1.03,9.98
2000-04,2.87,41.7,50.6,59.6,1.03,9.19
2000-05,4.24,52.9,62.7,72.5,1.17,14.78
2000-06,3.37,61.8,71.0,80.3,1.27,17.39
2000-07,4.95,61.8,71.4,81.0,1.13,18.91
2000-08,6.10,63.2,71.6,80.0,0.65,14.87
2000-09,6.36,55.7,65.8,75.9,0.46,13.97
2000-10,0.90,43.8,55.4,66.9,0.44,11.63
2000-11,3.08,33.9,44.1,54.2,0.64,7.84
2000-12,3.54,21.1,30.7,40.2,0.45,4.12
2001-01,3.10,21.6,30.6,39.6,0.23,3.67
2001-02,2.22,27.2,36.6,46.0,0.50,5.44
2001-03,6.71,30.1,38.7,47.3,0.44,5.89
2001-04,1.71,42.2,52.5,62.9,1.09,12.13
2001-05,2.77,51.5,62.6,73.7,1.02,17.04
2001-06,4.50,60.7,71.3,81.9,0.43,18.55
2001-07,3.01,61.4,72.3,83.3,0.67,20.68
2001-08,3.82,66.2,76.8,87.4,0.37,22.15
2001-09,2.25,53.8,65.4,77.1,0.01,15.46
2001-10,1.12,44.5,56.7,68.8,0.63,14.42
2001-11,0.78,38.0,50.0,62.0,0.55,10.79
2001-12,2.24,32.6,42.5,52.5,0.52,7.28
2002-01,2.34,28.5,37.4,46.4,0.60,6.14
2002-02,0.88,28.1,39.1,50.2,0.52,7.57
2002-03,4.26,33.2,43.4,53.7,0.61,8.08
2002-04,2.68,43.9,55.0,66.2,0.81,13.81
2002-05,5.58,49.0,59.7,70.5,0.87,14.53
2002-06,4.77,59.8,70.6,81.4,0.65,18.81
2002-07,2.11,66.0,76.6,87.2,1.76,24.90
2002-08,4.07,65.5,76.4,87.2,0.81,25.40
2002-09,4.50,57.1,68.2,79.4,0.33,17.03
2002-10,7.52,46.2,55.2,64.1,0.22,8.84
2002-11,5.14,34.6,44.0,53.4,0.17,6.14
2002-12,4.52,25.4,33.8,42.3,0.43,4.06
2003-01,3.00,19.6,27.1,34.6,0.44,3.22
2003-02,5.60,20.5,28.7,37.0,0.24,3.31
2003-03,4.02,31.1,41.7,52.2,0.30,6.87
2003-04,3.30,39.3,48.6,57.9,0.67,10.31
2003-05,3.56,48.7,57.1,65.5,0.45,9.45
2003-06,7.89,59.2,68.0,76.8,0.50,14.05
2003-07,3.24,65.7,75.5,85.4,0.73,19.89
2003-08,4.71,66.8,75.8,84.8,0.74,17.17
2003-09,4.70,59.3,67.5,75.7,0.65,11.91
2003-10,4.43,42.6,52.9,63.2,0.54,10.15
2003-11,4.08,39.7,49.3,58.8,0.61,8.01
2003-12,6.03,27.3,36.3,45.2,0.69,5.11
2004-01,1.98,17.8,25.4,33.0,0.74,3.45
2004-02,2.68,24.0,33.2,42.4,0.82,5.74
2004-03,4.17,34.4,42.9,51.4,0.88,7.37
2004-04,6.36,42.1,51.9,61.7,0.86,11.15
2004-05,1.87,55.7,66.3,76.9,0.59,16.30
2004-06,1.92,60.2,69.7,79.1,1.17,17.61
