PRISM Time Series Data
Location:  Lat: 39.8020   Lon: -74.5307   Elev: 85ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.09,21.5,31.8,42.1,0.66,5.28
2000-02,1.94,27.0,37.6,48.1,0.55,6.38
2000-03,4.63,35.7,47.3,59.0,0.98,11.02
2000-04,2.77,41.9,51.9,61.9,0.95,10.28
2000-05,3.67,52.9,64.0,75.2,1.11,16.08
2000-06,3.66,62.2,72.2,82.2,1.24,19.57
2000-07,4.58,60.9,71.7,82.5,0.53,20.54
2000-08,6.08,62.2,72.0,81.8,0.20,17.05
2000-09,6.77,54.1,65.8,77.6,0.13,15.30
2000-10,1.10,42.1,56.1,70.2,0.12,13.99
2000-11,3.06,31.5,43.4,55.4,0.34,8.54
2000-12,3.24,19.4,29.9,40.3,0.33,4.20
2001-01,3.10,20.0,30.3,40.6,0.15,4.18
2001-02,2.52,25.6,36.6,47.6,0.35,6.08
2001-03,6.56,28.9,39.1,49.2,0.30,6.61
2001-04,1.64,40.8,52.9,65.1,0.77,14.37
2001-05,2.81,49.8,62.8,75.8,0.50,19.43
2001-06,4.44,59.2,71.5,83.7,0.00,20.70
2001-07,2.59,59.6,72.2,84.8,0.16,23.30
2001-08,3.97,64.1,76.3,88.4,0.00,24.05
2001-09,1.93,51.0,65.1,79.2,0.00,18.10
2001-10,1.39,42.7,56.6,70.5,0.38,16.76
2001-11,0.79,36.1,49.7,63.3,0.36,11.79
2001-12,2.22,31.2,42.2,53.2,0.34,7.52
2002-01,2.49,27.0,37.3,47.7,0.40,6.84
2002-02,0.91,26.3,39.2,52.1,0.36,8.58
2002-03,4.58,32.2,43.5,54.8,0.41,8.60
2002-04,2.96,43.0,55.4,67.8,0.57,15.08
2002-05,3.93,48.1,60.7,73.3,0.72,16.25
2002-06,4.84,58.3,70.8,83.4,0.09,21.14
2002-07,1.80,64.0,76.4,88.8,0.64,26.64
2002-08,4.33,63.9,76.6,89.2,0.04,28.54
2002-09,3.46,55.0,68.1,81.2,0.00,19.08
2002-10,6.91,44.9,55.2,65.6,0.03,10.19
2002-11,5.01,32.9,43.7,54.4,0.03,6.69
2002-12,4.39,24.2,33.9,43.5,0.33,4.37
2003-01,2.95,18.6,27.6,36.6,0.39,3.83
2003-02,5.73,18.9,28.9,38.8,0.14,3.84
2003-03,3.98,30.6,42.5,54.3,0.20,7.77
2003-04,3.25,38.8,49.2,59.6,0.50,11.24
2003-05,4.37,47.8,57.4,67.1,0.32,11.04
2003-06,6.69,58.6,68.5,78.5,0.25,16.16
2003-07,3.73,65.0,75.7,86.3,0.58,21.88
2003-08,3.32,66.0,76.1,86.2,0.19,19.36
2003-09,5.14,58.1,67.9,77.6,0.06,13.52
2003-10,4.48,41.0,53.1,65.1,0.14,11.52
2003-11,4.11,38.3,49.5,60.7,0.41,9.03
2003-12,6.21,26.1,36.0,46.0,0.55,5.22
2004-01,1.89,17.8,26.5,35.1,0.72,3.95
2004-02,3.04,22.7,33.6,44.5,0.62,6.39
2004-03,3.91,33.9,44.1,54.2,0.78,8.59
2004-04,6.12,41.5,52.5,63.4,0.72,12.25
2004-05,2.09,56.2,67.9,79.5,0.68,19.01
2004-06,2.44,59.3,70.0,80.7,0.73,19.13
2004-07,9.80,64.4,74.3,84.1,0.68,19.81
2004-08,3.99,63.4,73.3,83.1,0.35,17.71
2004-09,4.08,57.4,68.3,79.2,0.14,15.60
2004-10,3.26,43.4,53.8,64.2,0.33,10.18
2004-11,4.88,35.6,46.7,57.9,0.54,8.76
2004-12,3.15,25.9,36.2,46.5,0.55,5.51
2005-01,4.10,22.1,31.6,41.1,0.43,3.98
2005-02,2.55,23.8,34.8,45.7,0.52,6.26
2005-03,4.42,27.6,37.5,47.5,0.66,6.46
2005-04,4.42,40.0,52.6,65.2,1.07,14.83
2005-05,3.47,44.9,57.0,69.1,0.76,15.00
2005-06,5.15,61.6,72.7,83.7,0.82,21.43
2005-07,4.95,66.9,76.9,86.9,1.13,22.62
2005-08,2.92,66.4,77.1,87.7,0.99,24.52
2005-09,0.27,57.0,70.7,84.4,0.73,24.82
2005-10,9.12,47.1,56.7,66.2,0.42,10.27
2005-11,4.62,35.9,48.4,60.9,0.70,11.66
2005-12,3.98,23.9,33.7,43.5,0.55,5.08
2006-01,5.23,28.4,39.3,50.3,0.49,6.19
2006-02,1.94,23.1,33.9,44.7,0.66,6.16
2006-03,0.75,31.0,42.1,53.2,1.37,10.09
2006-04,3.20,41.4,54.7,67.9,1.26,16.25
2006-05,2.77,49.5,62.2,74.9,1.49,19.88
2006-06,3.99,60.9,71.2,81.5,0.88,18.94
2006-07,6.03,67.0,77.8,88.5,0.98,25.29
2006-08,3.41,63.9,75.7,87.5,1.08,26.07
2006-09,9.45,54.9,65.2,75.6,0.35,14.36
2006-10,6.24,43.8,54.9,66.1,0.60,12.47
2006-11,6.21,40.9,50.9,61.0,0.42,8.27
2006-12,2.12,31.1,42.4,53.6,0.56,7.57
2007-01,4.54,29.4,38.6,47.8,0.82,5.92
