PRISM Time Series Data
Location:  Lat: 38.6299   Lon: -81.4474   Elev: 873ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,24.4,39.9,55.5,0.06,9.38
2000-01-02,0.00,25.2,41.8,58.3,0.27,7.91
2000-01-03,0.06,40.3,56.9,73.5,0.00,19.01
2000-01-04,0.18,50.2,60.0,69.8,0.10,11.89
2000-01-05,0.13,29.7,44.2,58.8,0.42,5.30
2000-01-06,0.00,19.6,26.5,33.3,0.00,2.51
2000-01-07,0.00,20.5,35.2,49.8,0.22,8.24
2000-01-08,0.02,18.5,33.3,48.1,0.05,7.47
2000-01-09,0.00,18.3,31.2,44.1,0.11,5.59
2000-01-10,0.04,34.1,39.8,45.6,0.01,1.55
2000-01-11,0.04,35.6,47.4,59.3,0.31,9.67
2000-01-12,0.06,23.3,37.9,52.5,0.10,9.62
2000-01-13,0.07,22.9,39.9,57.0,0.30,10.66
2000-01-14,0.00,16.3,35.7,55.1,0.39,7.43
2000-01-15,0.00,15.4,22.6,29.8,0.44,3.16
2000-01-16,0.00,16.7,35.1,53.5,0.62,10.73
2000-01-17,0.02,16.6,36.0,55.3,0.73,7.71
2000-01-18,0.06,16.2,23.7,31.2,0.39,4.05
2000-01-19,0.11,21.0,25.4,29.8,0.13,1.46
2000-01-20,0.27,27.6,31.5,35.3,0.12,2.92
2000-01-21,0.03,10.1,21.4,32.7,0.30,2.36
2000-01-22,0.03,-1.3,10.0,21.3,0.10,2.28
2000-01-23,0.05,0.7,13.6,26.6,0.06,2.21
2000-01-24,0.00,24.6,30.3,36.0,0.23,1.82
2000-01-25,0.01,10.8,20.4,30.0,0.35,2.61
2000-01-26,0.02,9.9,17.2,24.4,0.30,2.12
2000-01-27,0.00,5.4,14.5,23.7,0.09,1.63
2000-01-28,0.00,-4.5,8.9,22.3,0.07,2.30
2000-01-29,0.00,-4.1,11.1,26.2,0.07,2.48
2000-01-30,0.10,4.7,22.1,39.5,0.00,5.21
2000-01-31,0.08,25.2,30.6,35.9,0.19,1.79
2000-02-01,0.00,23.5,27.1,30.8,0.73,2.23
2000-02-02,0.00,23.9,27.9,31.8,0.65,2.23
2000-02-03,0.00,21.3,28.9,36.6,1.09,4.33
2000-02-04,0.03,28.4,34.5,40.6,0.36,4.31
2000-02-05,0.02,27.5,31.2,34.8,0.57,2.22
2000-02-06,0.00,20.1,28.3,36.5,0.41,3.73
2000-02-07,0.00,20.3,30.0,39.7,0.42,4.52
2000-02-08,0.00,22.7,36.7,50.7,0.30,7.36
2000-02-09,0.00,22.6,36.6,50.7,0.29,7.59
2000-02-10,0.02,25.3,42.4,59.5,0.30,11.73
2000-02-11,0.05,28.7,45.3,62.0,0.27,13.06
2000-02-12,0.00,26.9,38.5,50.0,0.32,3.01
2000-02-13,0.48,27.7,33.5,39.3,0.46,3.40
2000-02-14,1.08,33.7,47.5,61.3,0.04,9.64
2000-02-15,0.05,30.8,41.7,52.5,0.27,3.60
2000-02-16,0.00,30.2,41.2,52.3,0.89,7.80
2000-02-17,0.04,27.7,45.1,62.5,0.75,11.19
2000-02-18,0.77,26.0,36.8,47.6,0.27,7.21
2000-02-19,1.86,36.8,48.8,60.8,0.09,6.11
2000-02-20,0.00,31.8,35.6,39.4,0.51,2.07
2000-02-21,0.00,25.9,31.7,37.6,0.24,2.70
2000-02-22,0.00,27.2,39.6,52.0,0.37,8.56
2000-02-23,0.00,32.3,43.0,53.8,0.61,6.63
2000-02-24,0.00,40.6,54.1,67.6,0.90,14.60
2000-02-25,0.00,42.7,56.4,70.1,0.15,14.60
2000-02-26,0.00,43.1,59.6,76.2,0.00,17.63
2000-02-27,0.07,44.6,61.6,78.6,0.00,23.60
2000-02-28,0.14,31.8,47.0,62.1,0.00,7.43
