PRISM Time Series Data
Location:  Lat: 42.1707   Lon: -80.0942   Elev: 571ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,26.6,31.1,35.5,0.31,1.95
2000-01-02,0.00,33.8,41.4,49.0,1.44,7.09
2000-01-03,0.20,44.3,51.2,58.0,0.48,5.74
2000-01-04,0.54,36.9,46.2,55.5,0.00,2.51
2000-01-05,0.16,28.2,40.8,53.3,0.59,3.44
2000-01-06,0.02,22.5,25.6,28.7,0.91,1.93
2000-01-07,0.01,29.3,33.9,38.5,0.68,3.81
2000-01-08,0.04,25.5,29.9,34.3,0.54,2.27
2000-01-09,0.00,26.6,33.6,40.7,1.29,4.86
2000-01-10,0.00,35.9,39.3,42.7,0.71,2.53
2000-01-11,0.27,37.7,42.3,47.0,0.62,4.62
2000-01-12,0.10,31.3,35.1,38.9,0.25,2.88
2000-01-13,0.14,28.4,30.9,33.3,0.11,2.00
2000-01-14,0.11,15.5,20.4,25.4,0.09,1.11
2000-01-15,0.02,18.0,20.1,22.2,0.19,1.46
2000-01-16,0.00,20.3,29.9,39.5,1.15,4.05
2000-01-17,0.01,8.3,22.5,36.8,0.62,2.42
2000-01-18,0.00,7.0,8.5,10.0,0.55,1.07
2000-01-19,0.06,12.1,17.3,22.5,0.28,1.92
2000-01-20,0.15,21.5,24.0,26.5,0.08,1.52
2000-01-21,0.16,12.4,18.8,25.1,0.14,1.38
2000-01-22,0.08,12.7,13.2,13.6,0.24,1.22
2000-01-23,0.01,11.8,15.5,19.2,0.40,1.46
2000-01-24,0.01,19.8,24.7,29.5,0.54,1.69
2000-01-25,0.02,7.9,14.2,20.6,0.20,1.28
2000-01-26,0.02,17.7,19.8,21.9,0.29,1.17
2000-01-27,0.06,10.6,15.1,19.6,0.41,0.97
2000-01-28,0.01,9.6,12.4,15.3,0.30,1.00
2000-01-29,0.00,13.1,19.0,24.8,0.12,1.31
2000-01-30,0.01,20.1,25.7,31.4,0.34,4.32
2000-01-31,0.07,21.5,28.1,34.6,0.02,1.70
2000-02-01,0.02,21.2,26.1,31.1,0.30,2.69
2000-02-02,0.10,18.8,23.2,27.7,0.30,1.76
2000-02-03,0.02,18.9,22.3,25.7,0.57,1.71
2000-02-04,0.11,24.9,28.3,31.7,0.01,1.08
2000-02-05,0.03,12.4,20.0,27.5,0.05,0.52
2000-02-06,0.01,15.7,24.4,33.1,0.05,3.17
2000-02-07,0.00,19.5,24.6,29.6,0.42,2.21
2000-02-08,0.00,4.2,18.0,31.7,0.18,1.93
2000-02-09,0.00,6.4,21.5,36.6,0.32,4.42
2000-02-10,0.00,26.2,34.4,42.5,0.09,4.39
2000-02-11,0.31,26.1,29.9,33.8,0.02,0.44
2000-02-12,0.01,10.2,17.4,24.7,0.04,1.41
2000-02-13,0.00,10.6,18.0,25.4,0.29,1.82
2000-02-14,0.30,27.1,29.3,31.4,0.03,1.85
2000-02-15,0.22,19.6,23.9,28.2,0.01,0.95
2000-02-16,0.02,21.0,30.4,39.8,0.37,2.66
2000-02-17,0.00,20.9,31.1,41.3,0.70,3.00
2000-02-18,0.03,20.9,24.9,28.9,1.02,2.09
2000-02-19,0.27,26.5,28.8,31.1,0.04,1.46
2000-02-20,0.01,26.0,28.0,30.0,0.42,1.89
2000-02-21,0.03,26.7,28.8,31.0,0.37,1.59
2000-02-22,0.00,26.6,33.2,39.9,0.42,4.22
2000-02-23,0.00,41.3,46.7,52.0,4.27,7.39
2000-02-24,0.00,47.8,51.7,55.6,3.78,7.21
2000-02-25,0.23,49.8,54.8,59.8,0.96,8.39
2000-02-26,0.00,43.7,47.2,50.7,0.04,0.76
2000-02-27,0.00,55.3,62.5,69.7,3.39,13.35
2000-02-28,0.08,35.0,46.9,58.9,0.81,6.88
2000-02-29,0.00,26.1,31.9,37.6,0.35,2.41
2000-03-01,0.03,28.3,39.9,51.5,0.77,9.87
2000-03-02,0.10,33.7,45.0,56.2,0.56,6.00
2000-03-03,0.00,29.5,31.5,33.6,0.85,2.07
2000-03-04,0.00,24.1,28.8,33.5,0.63,4.07
2000-03-05,0.00,29.6,36.0,42.4,0.76,8.08
2000-03-06,0.00,26.1,34.5,43.0,0.34,3.97
2000-03-07,0.00,28.5,36.4,44.3,0.69,5.34
2000-03-08,0.00,50.3,58.0,65.7,4.11,16.01
2000-03-09,0.00,59.1,63.8,68.6,5.71,15.21
2000-03-10,0.12,29.8,49.4,69.0,0.37,13.87
2000-03-11,0.07,29.4,29.4,29.4,0.19,1.61
2000-03-12,0.45,27.9,30.4,32.9,0.03,1.27
2000-03-13,0.00,25.6,31.1,36.7,0.27,4.12
2000-03-14,0.00,26.9,32.3,37.7,0.96,3.34
2000-03-15,0.03,35.7,41.4,47.1,0.34,5.30
2000-03-16,0.00,39.0,48.3,57.7,0.22,9.61
2000-03-17,0.29,26.5,31.3,36.1,0.08,1.66
2000-03-18,0.00,19.0,23.6,28.3,1.06,2.60
2000-03-19,0.00,21.3,28.0,34.8,1.37,4.64
2000-03-20,0.00,35.5,44.4,53.3,2.31,8.79
2000-03-21,0.06,42.3,50.9,59.5,1.90,11.06
2000-03-22,0.00,39.2,44.3,49.5,0.23,4.50
2000-03-23,0.00,40.7,43.5,46.2,0.20,2.19
2000-03-24,0.00,37.5,43.5,49.4,0.09,5.01
2000-03-25,0.11,47.3,52.1,57.0,0.98,7.33
2000-03-26,0.00,42.5,53.2,63.8,3.04,8.91
2000-03-27,0.00,38.9,43.1,47.4,2.53,7.47
2000-03-28,0.13,33.6,44.1,54.5,0.61,8.96
2000-03-29,0.10,35.0,41.0,47.0,0.27,5.99
2000-03-30,0.07,35.6,39.4,43.3,0.32,3.32
2000-03-31,0.00,28.4,34.8,41.3,0.45,3.80
2000-04-01,0.00,33.0,39.4,45.8,1.57,7.15
2000-04-02,0.12,41.5,48.7,55.8,0.71,11.39
2000-04-03,0.28,44.1,47.8,51.5,0.05,1.07
2000-04-04,0.93,43.2,49.4,55.5,0.00,0.00
2000-04-05,0.24,31.0,35.0,39.1,0.09,1.67
2000-04-06,0.03,31.2,39.0,46.9,1.17,5.39
2000-04-07,0.00,30.5,40.5,50.5,0.44,5.25
2000-04-08,1.02,37.9,43.0,48.2,0.03,5.35
2000-04-09,0.61,29.6,33.6,37.6,0.04,2.22
2000-04-10,0.10,32.3,33.1,34.0,0.48,3.14
2000-04-11,0.01,31.3,32.6,33.9,0.87,2.96
2000-04-12,0.10,31.3,33.4,35.6,0.07,1.64
2000-04-13,0.00,27.4,31.9,36.5,0.33,2.73
2000-04-14,0.00,35.9,40.3,44.6,2.10,7.51
2000-04-15,0.00,49.0,56.5,64.0,3.77,14.44
2000-04-16,0.00,47.7,56.1,64.4,0.75,8.20
2000-04-17,0.03,42.2,45.5,48.7,0.79,2.84
2000-04-18,0.02,39.7,42.1,44.5,0.51,2.45
2000-04-19,0.00,42.7,45.3,47.8,0.21,2.72
2000-04-20,0.01,50.0,52.1,54.1,1.94,4.85
2000-04-21,1.12,50.9,54.9,58.8,0.23,4.74
2000-04-22,0.16,42.5,45.3,48.0,0.01,1.26
2000-04-23,0.06,38.8,40.7,42.6,0.02,2.12
2000-04-24,0.00,37.9,43.2,48.5,0.52,4.52
2000-04-25,0.00,37.1,44.6,52.2,1.61,7.82
2000-04-26,0.00,32.0,40.1,48.3,0.84,7.61
2000-04-27,0.00,34.1,39.4,44.7,0.76,6.05
2000-04-28,0.00,32.7,40.0,47.2,0.46,4.54
2000-04-29,0.00,38.0,46.6,55.3,1.58,11.20
2000-04-30,0.00,40.5,48.3,56.1,2.18,11.39
2000-05-01,0.00,43.7,48.9,54.2,3.04,10.76
2000-05-02,0.65,45.5,54.0,62.5,0.01,8.55
2000-05-03,0.00,38.9,46.2,53.6,0.16,5.37
2000-05-04,0.00,46.1,53.5,61.0,2.27,9.55
2000-05-05,0.04,60.0,64.5,68.9,1.28,10.41
2000-05-06,0.00,63.9,67.6,71.2,3.95,11.48
2000-05-07,0.00,67.1,70.8,74.5,6.64,14.25
2000-05-08,0.00,65.5,70.4,75.3,2.29,12.02
2000-05-09,0.00,67.6,73.3,79.1,3.18,12.79
2000-05-10,0.73,59.9,69.1,78.3,0.71,12.85
2000-05-11,0.15,46.1,54.8,63.5,0.05,6.28
2000-05-12,0.00,54.8,60.5,66.3,2.25,11.64
2000-05-13,0.00,68.6,73.0,77.4,4.64,10.89
2000-05-14,0.06,49.7,56.0,62.3,1.24,9.00
2000-05-15,0.00,39.6,45.1,50.7,1.28,6.41
2000-05-16,0.00,41.8,47.5,53.2,2.36,9.06
2000-05-17,0.00,49.8,54.4,59.0,3.13,10.52
2000-05-18,0.19,59.6,65.2,70.8,1.67,11.41
