PRISM Time Series Data
Location:  Lat: 39.6170   Lon: -76.7038   Elev: 633ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.1,37.0,50.9,0.10,6.41
2000-01-02,0.00,24.0,37.3,50.6,0.18,5.46
2000-01-03,0.01,37.4,51.2,65.1,0.32,9.80
2000-01-04,0.01,50.9,57.4,64.0,0.68,6.38
2000-01-05,0.18,34.4,50.7,67.0,0.83,8.16
2000-01-06,0.00,20.8,30.9,41.1,0.37,5.18
2000-01-07,0.00,24.0,34.6,45.3,0.34,5.62
2000-01-08,0.00,21.8,35.7,49.5,0.39,7.66
2000-01-09,0.00,23.2,33.0,42.8,0.67,5.65
2000-01-10,0.12,32.6,38.7,44.8,0.17,4.36
2000-01-11,0.61,38.5,43.9,49.3,0.03,5.63
2000-01-12,0.03,31.4,41.5,51.7,1.10,8.19
2000-01-13,0.00,29.6,38.6,47.6,1.11,7.72
2000-01-14,0.00,17.7,34.9,52.2,1.23,7.53
2000-01-15,0.00,15.4,21.8,28.3,0.76,3.45
2000-01-16,0.00,15.6,25.4,35.1,0.60,3.91
2000-01-17,0.00,14.0,35.1,56.2,1.77,10.33
2000-01-18,0.00,8.9,15.5,22.1,1.10,3.20
2000-01-19,0.00,9.9,15.5,21.2,0.51,2.55
2000-01-20,0.22,17.9,27.3,36.7,0.22,4.50
2000-01-21,0.09,11.1,21.3,31.5,0.11,2.31
2000-01-22,0.00,7.1,14.1,21.0,0.60,2.24
2000-01-23,0.00,7.3,14.6,21.9,0.47,2.37
2000-01-24,0.00,20.0,24.0,27.9,0.42,1.46
2000-01-25,0.47,22.8,30.0,37.2,0.21,3.37
2000-01-26,0.31,18.7,22.1,25.5,0.18,1.63
2000-01-27,0.00,10.9,21.0,31.1,0.84,3.01
2000-01-28,0.00,8.4,14.8,21.3,0.84,2.39
2000-01-29,0.00,7.9,18.4,28.9,0.58,3.76
2000-01-30,0.07,6.2,19.7,33.3,0.30,4.53
2000-01-31,0.77,13.9,21.5,29.0,0.00,1.97
2000-02-01,0.00,17.0,26.1,35.3,0.46,3.72
2000-02-02,0.00,15.3,25.0,34.6,0.66,3.57
2000-02-03,0.00,9.1,20.0,30.9,0.43,3.75
2000-02-04,0.04,16.8,24.7,32.7,0.19,2.86
2000-02-05,0.03,23.8,29.6,35.4,0.04,2.28
2000-02-06,0.00,22.2,29.3,36.5,1.31,4.59
2000-02-07,0.00,21.9,29.3,36.8,0.88,4.34
2000-02-08,0.00,13.2,28.9,44.6,0.68,5.71
