PRISM Time Series Data
Location:  Lat: 40.4092   Lon: -75.3141   Elev: 535ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.5,32.3,42.0,0.00,2.78
2000-01-02,0.00,24.9,33.9,43.0,0.01,1.71
2000-01-03,0.00,34.0,46.7,59.3,0.44,8.02
2000-01-04,0.00,46.3,53.1,59.8,0.00,3.61
2000-01-05,0.62,33.1,48.5,63.8,0.43,5.50
2000-01-06,0.00,18.4,28.3,38.2,0.35,4.60
2000-01-07,0.00,18.8,30.7,42.7,0.14,5.17
2000-01-08,0.00,20.6,33.9,47.3,0.18,6.24
2000-01-09,0.00,20.8,30.2,39.6,0.63,4.73
2000-01-10,0.00,32.4,39.0,45.6,0.34,4.39
2000-01-11,0.48,32.5,43.3,54.1,0.00,4.34
2000-01-12,0.00,33.9,42.1,50.4,1.16,7.23
2000-01-13,0.00,27.8,36.2,44.6,0.97,6.43
2000-01-14,0.00,13.8,24.7,35.7,0.51,2.02
2000-01-15,0.00,11.7,18.0,24.3,0.75,2.97
2000-01-16,0.00,13.7,21.7,29.7,0.68,2.74
2000-01-17,0.00,8.4,28.7,49.0,1.25,7.23
2000-01-18,0.00,4.1,10.7,17.3,0.70,2.45
2000-01-19,0.00,4.9,12.5,20.1,0.75,2.51
2000-01-20,0.01,14.8,23.0,31.2,0.44,3.53
2000-01-21,0.11,10.2,18.5,26.8,0.15,1.47
2000-01-22,0.00,3.8,11.1,18.3,0.58,2.29
2000-01-23,0.00,8.0,14.5,21.0,0.48,2.33
2000-01-24,0.00,16.1,20.7,25.4,0.38,1.14
2000-01-25,0.12,21.8,30.2,38.7,0.22,4.02
2000-01-26,0.33,21.7,25.1,28.4,0.19,1.72
2000-01-27,0.00,12.4,21.9,31.5,1.03,2.88
2000-01-28,0.00,7.7,13.7,19.7,0.96,2.12
2000-01-29,0.00,8.7,15.7,22.7,0.99,2.87
2000-01-30,0.00,3.5,19.7,36.0,0.27,5.70
2000-01-31,1.55,8.8,21.0,33.2,0.00,3.76
2000-02-01,0.00,13.6,23.2,32.8,0.05,2.96
2000-02-02,0.00,15.2,24.1,33.0,0.62,3.09
2000-02-03,0.00,9.2,19.6,30.1,0.42,3.64
2000-02-04,0.60,11.8,21.0,30.1,0.08,2.51
2000-02-05,0.00,21.8,28.0,34.2,0.01,2.06
2000-02-06,0.00,21.7,28.4,35.2,1.20,4.44
2000-02-07,0.00,19.0,27.9,36.7,0.54,4.92
2000-02-08,0.00,10.3,25.5,40.7,0.75,4.33
2000-02-09,0.00,5.5,17.9,30.2,0.15,3.86
2000-02-10,0.00,6.6,25.4,44.3,0.00,4.88
2000-02-11,0.00,27.9,38.7,49.4,0.28,6.54
2000-02-12,0.11,19.9,33.3,46.6,0.29,3.66
2000-02-13,0.00,7.7,19.6,31.5,0.04,3.84
2000-02-14,0.68,11.2,22.9,34.5,0.07,2.80
2000-02-15,0.08,31.6,37.6,43.6,0.58,3.27
2000-02-16,0.00,22.5,30.5,38.6,0.53,4.61
2000-02-17,0.00,24.1,37.1,50.0,1.54,5.49
2000-02-18,0.00,23.7,29.2,34.8,0.88,4.50
2000-02-19,0.58,26.2,28.9,31.6,0.01,1.39
2000-02-20,0.00,26.5,30.4,34.4,0.00,1.57
2000-02-21,0.00,21.0,29.5,38.0,0.61,3.62
2000-02-22,0.04,20.6,30.6,40.5,0.12,4.66
2000-02-23,0.00,21.9,36.8,51.7,0.12,7.91
2000-02-24,0.00,31.5,42.5,53.4,0.48,7.17
2000-02-25,0.00,32.6,48.0,63.4,0.01,11.34
2000-02-26,0.46,37.0,48.3,59.6,0.14,5.73
2000-02-27,0.01,37.9,41.0,44.1,0.02,1.80
