PRISM Time Series Data
Location:  Lat: 40.4171   Lon: -75.3408   Elev: 522ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.3,32.3,42.3,0.00,2.83
2000-01-02,0.00,24.7,33.8,42.9,0.02,1.72
2000-01-03,0.00,34.1,46.6,59.2,0.40,7.63
2000-01-04,0.00,46.3,53.0,59.8,0.00,3.57
2000-01-05,0.61,32.8,48.3,63.8,0.39,5.52
2000-01-06,0.00,18.4,28.3,38.1,0.35,4.55
2000-01-07,0.00,19.0,30.9,42.7,0.16,5.20
2000-01-08,0.00,20.6,33.9,47.2,0.19,6.19
2000-01-09,0.00,20.9,30.2,39.5,0.63,4.69
2000-01-10,0.00,32.3,38.9,45.4,0.32,4.29
2000-01-11,0.49,32.3,43.0,53.8,0.00,4.32
2000-01-12,0.00,33.6,42.0,50.5,1.07,7.26
2000-01-13,0.00,27.8,36.2,44.6,0.96,6.46
2000-01-14,0.00,13.8,24.8,35.8,0.51,2.04
2000-01-15,0.00,11.7,18.0,24.3,0.75,2.99
2000-01-16,0.00,14.2,22.0,29.7,0.73,2.74
2000-01-17,0.00,8.2,28.6,49.0,1.24,7.22
2000-01-18,0.00,4.1,10.7,17.2,0.70,2.45
2000-01-19,0.00,5.0,12.5,20.1,0.75,2.50
2000-01-20,0.02,14.8,23.0,31.3,0.44,3.54
2000-01-21,0.13,10.1,18.5,26.9,0.15,1.48
2000-01-22,0.00,4.0,11.1,18.2,0.58,2.28
2000-01-23,0.00,8.4,14.6,20.9,0.49,2.33
2000-01-24,0.00,16.1,20.7,25.3,0.38,1.12
2000-01-25,0.14,21.5,30.0,38.5,0.19,3.98
2000-01-26,0.38,21.7,25.0,28.2,0.19,1.71
2000-01-27,0.00,12.1,21.7,31.4,1.00,2.86
2000-01-28,0.00,7.8,13.8,19.8,0.97,2.14
2000-01-29,0.00,8.8,15.8,22.7,1.00,2.88
2000-01-30,0.00,3.8,19.8,35.7,0.28,5.60
2000-01-31,1.49,9.2,21.1,32.9,0.00,3.71
2000-02-01,0.00,13.7,23.2,32.6,0.04,2.90
2000-02-02,0.00,15.6,24.3,33.0,0.66,3.07
2000-02-03,0.00,9.2,19.6,29.9,0.42,3.60
2000-02-04,0.53,11.9,20.7,29.5,0.08,2.39
2000-02-05,0.00,21.7,27.7,33.6,0.00,1.99
2000-02-06,0.00,21.7,28.3,34.9,1.21,4.33
2000-02-07,0.00,19.1,27.8,36.6,0.55,4.84
2000-02-08,0.00,10.4,25.4,40.4,0.75,4.21
2000-02-09,0.00,5.4,17.7,30.1,0.15,3.81
2000-02-10,0.00,6.5,25.1,43.8,0.00,4.63
2000-02-11,0.00,27.3,38.1,48.9,0.26,6.22
2000-02-12,0.10,19.8,33.1,46.3,0.26,3.56
2000-02-13,0.00,7.9,19.6,31.4,0.03,3.81
2000-02-14,0.68,11.2,22.8,34.4,0.07,2.78
2000-02-15,0.07,31.5,37.4,43.3,0.53,3.13
2000-02-16,0.00,22.5,30.5,38.5,0.52,4.55
2000-02-17,0.00,24.0,36.8,49.7,1.51,5.36
2000-02-18,0.00,23.6,29.2,34.8,0.83,4.49
2000-02-19,0.61,26.2,28.8,31.4,0.01,1.33
2000-02-20,0.00,26.5,30.4,34.4,0.00,1.56
2000-02-21,0.00,21.1,29.4,37.8,0.63,3.55
2000-02-22,0.02,20.5,30.4,40.3,0.09,4.54
2000-02-23,0.00,21.9,36.7,51.5,0.12,7.81
2000-02-24,0.00,31.4,42.4,53.4,0.45,7.06
2000-02-25,0.00,32.6,47.8,63.0,0.00,10.97
2000-02-26,0.40,36.9,48.2,59.5,0.13,5.64
2000-02-27,0.01,37.8,40.9,44.0,0.00,1.74
2000-02-28,0.41,40.6,47.9,55.1,0.05,1.69
2000-02-29,0.00,32.3,42.1,51.8,1.58,8.46
2000-03-01,0.00,22.4,39.2,56.0,0.21,11.66
2000-03-02,0.00,30.4,42.2,54.0,1.22,9.77
2000-03-03,0.00,30.7,37.8,44.8,1.30,5.52
2000-03-04,0.00,28.5,38.4,48.3,1.71,9.12
2000-03-05,0.00,30.9,41.6,52.3,1.51,9.32
2000-03-06,0.00,27.7,42.8,57.9,0.49,11.70
2000-03-07,0.00,27.7,41.7,55.7,0.72,11.11
2000-03-08,0.00,34.4,50.8,67.1,1.64,16.83
2000-03-09,0.00,36.9,58.0,79.2,0.01,20.23
2000-03-10,0.00,38.6,55.5,72.4,0.00,14.93
2000-03-11,0.01,37.2,46.8,56.5,0.00,7.30
2000-03-12,0.94,37.8,40.1,42.5,0.00,0.51
2000-03-13,0.03,26.6,35.7,44.9,0.16,3.50
2000-03-14,0.00,27.0,37.5,47.9,0.61,7.42
2000-03-15,0.00,29.4,42.5,55.6,0.07,9.80
2000-03-16,0.00,34.9,51.5,68.2,0.48,17.21
2000-03-17,1.13,39.1,52.1,65.1,0.00,11.10
2000-03-18,0.00,19.6,29.3,39.0,0.56,3.19
2000-03-19,0.00,22.2,31.5,40.7,0.84,6.39
2000-03-20,0.00,28.1,37.1,46.1,0.71,5.86
2000-03-21,0.12,33.7,40.8,47.9,0.35,5.87
2000-03-22,1.80,37.0,38.9,40.8,0.12,1.32
2000-03-23,0.00,30.4,42.1,53.7,0.00,6.21
2000-03-24,0.00,31.8,49.3,66.9,0.00,13.45
2000-03-25,0.00,38.2,52.7,67.2,0.83,15.50
2000-03-26,0.05,45.4,56.7,68.0,0.63,11.48
2000-03-27,0.00,29.6,45.6,61.5,0.76,13.69
2000-03-28,0.95,34.0,50.5,67.1,0.00,16.40
2000-03-29,0.03,38.9,48.6,58.4,0.80,11.27
2000-03-30,0.00,31.4,41.0,50.6,0.30,5.94
2000-03-31,0.00,27.8,42.2,56.5,0.62,9.89
2000-04-01,0.00,28.9,43.6,58.4,0.56,12.00
2000-04-02,0.00,40.2,52.4,64.5,2.08,15.91
2000-04-03,0.00,49.7,58.2,66.7,0.38,13.00
2000-04-04,0.66,56.6,63.4,70.2,0.49,9.42
2000-04-05,0.08,37.5,51.3,65.1,1.62,9.82
2000-04-06,0.00,32.9,40.0,47.1,1.16,6.90
2000-04-07,0.00,40.7,56.4,72.2,2.45,20.69
2000-04-08,0.00,44.6,55.7,66.7,0.25,15.11
2000-04-09,0.49,29.1,51.9,74.8,0.10,17.76
2000-04-10,0.06,28.6,38.6,48.7,0.42,8.41
2000-04-11,0.00,37.1,45.8,54.4,2.36,10.85
2000-04-12,0.06,35.3,42.1,48.8,0.00,4.70
2000-04-13,0.00,28.0,39.0,50.1,1.05,8.19
2000-04-14,0.00,30.2,41.3,52.3,0.67,10.10
2000-04-15,0.00,38.5,50.5,62.4,0.05,11.84
2000-04-16,0.22,49.1,55.2,61.3,0.04,2.73
2000-04-17,0.28,48.0,63.1,78.3,0.12,16.39
2000-04-18,0.52,37.5,43.2,49.0,0.10,2.85
2000-04-19,0.00,37.0,42.4,47.9,0.22,4.04
2000-04-20,0.00,45.5,54.9,64.2,1.28,9.64
2000-04-21,0.23,47.1,56.8,66.6,0.50,9.99
2000-04-22,0.95,43.8,47.3,50.7,0.06,1.23
2000-04-23,0.14,43.3,48.0,52.7,0.52,3.66
2000-04-24,0.00,43.3,48.4,53.5,1.98,5.99
2000-04-25,0.00,45.8,56.6,67.3,3.29,15.70
2000-04-26,0.00,35.9,45.7,55.5,0.29,7.74
2000-04-27,0.07,38.1,47.1,56.0,0.33,8.88
2000-04-28,0.00,39.0,43.3,47.7,0.01,2.61
2000-04-29,0.00,36.5,47.7,58.8,0.00,8.32
2000-04-30,0.00,43.2,57.0,70.7,1.00,18.88
2000-05-01,0.00,36.7,51.9,67.2,2.02,18.88
2000-05-02,0.11,43.9,57.0,70.0,0.00,16.58
2000-05-03,0.00,39.9,53.0,66.2,0.99,14.23
2000-05-04,0.00,47.3,59.1,71.0,1.35,17.03
2000-05-05,0.00,55.3,64.7,74.2,1.93,15.56
2000-05-06,0.05,57.0,71.0,85.1,0.00,24.70
2000-05-07,0.00,55.4,71.4,87.4,0.00,26.28
2000-05-08,0.03,60.3,75.1,89.9,0.08,31.48
2000-05-09,0.00,62.7,76.7,90.6,0.84,31.30
2000-05-10,0.00,65.0,76.9,88.8,1.89,26.01
2000-05-11,0.34,51.4,63.2,75.0,0.31,8.75
2000-05-12,0.27,56.2,65.3,74.4,2.72,20.15
2000-05-13,0.00,54.9,64.7,74.5,1.19,13.04
2000-05-14,0.76,49.3,65.7,82.1,0.00,14.74
2000-05-15,0.00,43.6,56.8,70.0,2.23,15.67
2000-05-16,0.00,43.1,53.7,64.2,2.03,14.14
2000-05-17,0.00,48.4,57.8,67.2,0.98,15.46
2000-05-18,0.00,52.6,62.1,71.6,0.25,13.94
2000-05-19,0.54,59.9,70.5,81.2,0.70,17.24
2000-05-20,1.12,43.2,53.3,63.4,0.00,3.41
2000-05-21,0.50,45.4,48.7,52.0,0.00,1.76
2000-05-22,0.09,49.1,53.6,58.1,0.00,2.86
2000-05-23,0.17,51.3,53.7,56.1,0.00,2.13
2000-05-24,0.61,52.9,59.0,65.0,0.00,5.63
2000-05-25,0.46,52.4,66.2,79.9,0.00,20.00
2000-05-26,0.00,50.4,62.0,73.7,0.95,18.08
2000-05-27,0.00,48.3,61.5,74.7,0.51,18.88
2000-05-28,0.01,47.6,56.2,64.9,0.06,8.84
2000-05-29,0.00,52.9,59.8,66.8,1.53,10.87
2000-05-30,0.00,49.3,57.5,65.7,1.06,11.21
2000-05-31,0.00,45.7,55.2,64.6,0.35,9.39
2000-06-01,0.00,50.8,61.6,72.5,1.16,14.99
2000-06-02,0.00,61.8,74.1,86.4,0.04,20.22
2000-06-03,0.03,58.9,73.9,88.8,2.83,21.98
2000-06-04,0.00,48.8,61.2,73.6,0.46,16.98
2000-06-05,0.00,54.5,64.0,73.4,1.69,16.45
2000-06-06,0.39,53.1,60.8,68.4,0.03,13.18
2000-06-07,0.39,50.0,53.8,57.6,0.18,3.77
2000-06-08,0.00,51.3,63.1,74.8,0.47,17.71
2000-06-09,0.00,57.3,68.3,79.4,1.08,20.38
2000-06-10,0.00,62.1,75.0,87.9,0.48,25.88
2000-06-11,0.00,66.3,78.1,89.9,0.49,25.62
2000-06-12,0.29,68.8,80.0,91.2,0.41,25.65
2000-06-13,1.41,55.7,67.7,79.7,0.00,9.86
2000-06-14,0.15,54.5,57.8,61.1,0.01,3.11
2000-06-15,0.06,54.5,57.8,61.1,0.00,2.41
2000-06-16,0.04,59.1,67.2,75.3,0.01,5.43
2000-06-17,0.00,69.9,76.8,83.7,0.77,11.61
2000-06-18,0.05,65.1,76.4,87.7,0.75,19.73
