PRISM Time Series Data
Location:  Lat: 41.0428   Lon: -74.2580   Elev: 531ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.28,16.1,26.4,36.6,0.46,4.03
2000-02,2.38,20.4,30.3,40.2,0.30,4.23
2000-03,3.57,30.5,42.1,53.8,0.38,9.06
2000-04,3.72,35.6,46.5,57.5,0.12,9.06
2000-05,4.39,46.7,58.7,70.7,0.09,15.15
2000-06,5.99,56.2,67.0,77.9,0.25,16.32
2000-07,7.49,55.9,67.4,78.8,0.09,17.77
2000-08,3.87,58.5,68.0,77.5,0.34,14.41
2000-09,3.68,52.3,62.7,73.0,0.40,12.73
2000-10,0.94,40.8,52.5,64.3,0.54,11.52
2000-11,3.73,32.6,41.1,49.6,0.81,6.45
2000-12,4.67,18.5,27.3,36.2,0.61,3.71
2001-01,2.43,15.8,26.1,36.5,0.18,3.55
2001-02,2.61,22.3,30.9,39.5,0.57,4.23
2001-03,5.28,27.2,34.7,42.3,0.57,4.89
2001-04,1.62,37.6,48.7,59.9,0.92,11.56
2001-05,3.07,48.7,59.9,71.1,1.08,16.29
2001-06,8.07,58.0,68.5,78.9,0.68,17.17
2001-07,2.52,57.5,69.0,80.4,0.64,19.33
2001-08,2.61,62.8,73.9,84.9,0.94,22.52
2001-09,3.26,51.4,63.3,75.1,0.42,16.08
2001-10,0.77,41.3,53.4,65.5,0.78,13.02
2001-11,1.40,33.9,45.6,57.3,0.66,9.13
2001-12,2.52,30.1,38.9,47.7,0.63,5.93
2002-01,1.31,23.7,33.4,43.0,0.44,5.53
2002-02,1.05,24.1,35.6,47.0,0.62,6.89
2002-03,3.68,28.9,39.3,49.7,0.72,7.20
2002-04,4.85,40.5,51.5,62.5,0.89,12.65
2002-05,4.93,44.1,55.5,67.0,0.70,13.65
2002-06,6.40,56.8,68.2,79.7,0.90,18.65
2002-07,1.39,62.9,74.1,85.2,1.62,23.70
2002-08,3.98,62.8,74.0,85.2,1.31,24.09
2002-09,3.47,53.2,64.8,76.5,0.38,15.95
2002-10,6.33,40.3,50.4,60.5,0.17,8.32
2002-11,5.02,30.7,40.3,49.9,0.24,5.91
2002-12,4.22,22.3,30.4,38.5,0.55,3.81
2003-01,2.56,14.0,22.2,30.5,0.39,2.81
2003-02,3.69,13.5,23.5,33.4,0.25,3.42
2003-03,4.88,23.5,36.5,49.5,0.23,7.01
2003-04,2.66,34.5,45.3,56.1,1.04,10.99
2003-05,3.58,45.6,55.6,65.7,0.67,11.21
2003-06,10.16,54.9,64.8,74.8,0.18,13.89
2003-07,4.36,61.1,71.8,82.5,0.55,19.05
2003-08,7.48,62.3,72.7,83.0,0.06,16.82
2003-09,7.47,52.3,63.1,73.8,0.00,11.92
2003-10,5.69,37.7,49.5,61.3,0.09,9.52
2003-11,4.90,37.1,45.9,54.7,0.64,6.76
2003-12,6.78,25.5,33.8,42.1,0.75,4.78
2004-01,2.06,14.1,21.6,29.1,0.67,2.96
2004-02,2.41,20.6,29.6,38.6,0.78,4.89
2004-03,2.60,32.7,41.5,50.4,0.92,7.57
2004-04,4.83,39.9,49.7,59.4,1.06,10.69
2004-05,5.59,51.8,63.7,75.5,0.35,16.19
2004-06,3.34,56.9,67.2,77.6,0.90,17.48
2004-07,9.25,61.8,71.1,80.4,0.92,17.02
2004-08,4.42,61.7,71.2,80.7,0.74,16.45
2004-09,8.31,56.0,66.3,76.5,0.58,14.44
2004-10,1.93,42.6,52.2,61.7,0.52,9.45
2004-11,4.44,34.5,44.7,54.9,0.77,7.86
2004-12,3.79,23.0,32.5,41.9,0.46,4.65
2005-01,4.73,18.6,26.9,35.2,0.42,3.23
2005-02,2.99,22.0,32.2,42.4,0.62,5.62
2005-03,4.58,25.8,34.5,43.2,0.77,5.48
2005-04,4.44,39.3,51.3,63.3,1.37,14.25
