PRISM Time Series Data
Location:  Lat: 41.3084   Lon: -76.3095   Elev: 1680ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.4,30.4,38.5,0.39,2.91
2000-01-02,0.03,26.1,35.8,45.4,0.51,5.16
2000-01-03,0.02,36.4,45.1,53.8,0.54,4.78
2000-01-04,0.19,47.4,51.8,56.2,0.27,3.36
2000-01-05,0.36,23.4,40.4,57.4,0.32,3.59
2000-01-06,0.00,15.2,21.8,28.3,0.39,2.52
2000-01-07,0.00,19.5,27.3,35.0,0.56,3.20
2000-01-08,0.00,17.8,28.2,38.6,0.35,3.79
2000-01-09,0.00,21.0,28.1,35.2,0.76,3.86
2000-01-10,0.07,30.2,37.9,45.7,0.46,5.60
2000-01-11,0.99,34.1,37.9,41.8,0.13,3.71
2000-01-12,0.00,29.8,36.5,43.2,0.92,5.49
2000-01-13,0.04,26.1,32.5,38.9,0.52,4.79
2000-01-14,0.09,2.9,15.1,27.4,0.06,1.35
2000-01-15,0.00,2.4,9.5,16.6,0.24,1.67
2000-01-16,0.00,6.2,16.0,25.8,0.15,2.03
2000-01-17,0.00,-1.8,18.2,38.2,0.60,4.01
2000-01-18,0.00,-3.8,1.8,7.4,0.34,1.29
2000-01-19,0.00,-2.9,4.4,11.7,0.30,1.38
2000-01-20,0.09,8.6,17.1,25.6,0.20,2.23
2000-01-21,0.20,1.0,12.3,23.7,0.16,1.36
2000-01-22,0.00,-2.8,3.1,9.0,0.29,1.29
2000-01-23,0.00,-1.2,6.6,14.5,0.27,1.54
2000-01-24,0.00,11.9,17.0,22.1,0.44,1.57
2000-01-25,0.00,12.5,21.9,31.4,0.30,3.16
2000-01-26,0.45,13.2,16.1,19.0,0.18,1.06
2000-01-27,0.01,1.1,11.3,21.5,0.24,1.60
2000-01-28,0.03,-0.6,5.4,11.4,0.41,1.44
2000-01-29,0.00,-1.3,7.7,16.6,0.42,2.26
2000-01-30,0.00,-0.1,13.8,27.8,0.33,3.78
2000-01-31,0.72,7.8,18.7,29.6,0.29,3.60
2000-02-01,0.01,19.0,22.8,26.5,0.42,1.98
2000-02-02,0.01,16.6,22.1,27.6,0.99,2.23
2000-02-03,0.00,8.5,16.1,23.8,0.57,2.65
2000-02-04,0.08,11.6,18.1,24.6,0.04,1.68
2000-02-05,0.02,15.1,22.5,30.0,0.08,1.77
2000-02-06,0.01,14.6,21.7,28.8,0.69,2.92
2000-02-07,0.00,18.3,25.4,32.4,0.99,3.97
2000-02-08,0.00,2.5,18.2,33.9,0.42,3.25
2000-02-09,0.00,4.7,16.3,27.8,0.44,3.64
2000-02-10,0.00,17.7,28.5,39.3,0.33,3.96
2000-02-11,0.03,25.5,34.3,43.1,0.22,3.96
2000-02-12,0.00,10.6,25.3,40.0,0.15,2.68
2000-02-13,0.00,9.3,17.5,25.8,0.37,2.92
2000-02-14,1.09,15.4,24.4,33.4,0.05,2.14
2000-02-15,0.29,22.7,29.8,36.9,0.08,1.84
2000-02-16,0.00,20.6,26.6,32.5,0.56,2.78
2000-02-17,0.00,16.8,28.3,39.8,0.93,3.31
2000-02-18,0.04,16.7,22.5,28.4,0.53,3.24
2000-02-19,0.73,21.7,25.2,28.7,0.00,1.19
2000-02-20,0.04,21.4,24.6,27.8,0.06,1.18
2000-02-21,0.00,18.3,24.3,30.3,0.27,2.05
2000-02-22,0.00,19.4,26.8,34.3,0.35,2.94
2000-02-23,0.00,26.3,36.2,46.1,0.97,6.04
2000-02-24,0.00,33.4,41.4,49.4,0.78,5.49
