PRISM Time Series Data
Location:  Lat: 41.7315   Lon: -73.5626   Elev: 702ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.1,28.4,36.6,0.36,5.02
2000-01-02,0.00,16.9,30.2,43.4,0.00,3.39
2000-01-03,0.03,29.9,40.8,51.7,0.16,3.19
2000-01-04,0.31,39.7,48.8,57.8,0.01,4.78
2000-01-05,0.13,27.7,43.8,59.9,0.14,4.23
2000-01-06,0.00,14.2,24.0,33.9,0.32,4.00
2000-01-07,0.00,12.1,24.4,36.7,0.03,3.62
2000-01-08,0.00,27.1,34.3,41.6,0.52,4.27
2000-01-09,0.04,22.1,29.6,37.0,0.69,4.46
2000-01-10,0.40,29.2,39.0,48.7,0.37,6.69
2000-01-11,0.25,37.2,42.9,48.6,0.19,3.51
2000-01-12,0.00,34.5,41.9,49.2,2.01,6.90
2000-01-13,0.18,24.6,32.1,39.6,0.27,5.01
2000-01-14,0.12,4.6,16.4,28.2,0.16,1.68
2000-01-15,0.00,1.9,9.7,17.6,0.51,2.16
2000-01-16,0.01,2.4,15.9,29.3,0.47,2.46
2000-01-17,0.00,-4.3,17.6,39.6,0.35,4.03
2000-01-18,0.00,-5.7,0.6,6.8,0.32,1.13
2000-01-19,0.00,-5.9,3.5,12.9,0.20,1.70
2000-01-20,0.03,1.1,12.5,23.9,0.21,3.19
2000-01-21,0.09,5.4,13.3,21.3,0.14,1.34
2000-01-22,0.00,-1.7,7.1,15.9,0.61,2.01
2000-01-23,0.00,-5.3,5.3,15.8,0.04,2.29
2000-01-24,0.00,-0.2,11.7,23.6,0.29,2.26
2000-01-25,0.58,18.3,27.6,36.9,0.39,4.40
2000-01-26,0.39,15.9,20.9,25.8,0.00,1.23
2000-01-27,0.00,11.1,19.9,28.7,0.73,2.92
2000-01-28,0.00,-2.4,7.9,18.2,0.42,2.09
2000-01-29,0.00,-1.5,10.7,22.9,0.38,2.90
2000-01-30,0.08,-4.3,13.2,30.6,0.10,4.68
2000-01-31,0.55,-3.3,16.2,35.6,0.03,4.97
2000-02-01,0.00,18.3,26.6,35.0,0.10,2.53
2000-02-02,0.00,15.8,25.1,34.4,0.69,3.57
2000-02-03,0.06,8.8,17.0,25.1,0.52,2.78
2000-02-04,0.08,11.8,18.8,25.8,0.05,1.67
2000-02-05,0.01,17.2,23.0,28.8,0.16,2.10
2000-02-06,0.01,15.3,24.3,33.4,0.53,3.93
2000-02-07,0.00,15.9,25.0,34.1,0.88,4.68
2000-02-08,0.00,4.5,22.0,39.4,0.74,4.79
2000-02-09,0.00,3.8,16.0,28.2,0.35,3.88
2000-02-10,0.00,14.5,28.2,42.0,0.17,4.51
2000-02-11,0.03,21.6,34.3,46.9,0.13,5.99
2000-02-12,0.00,16.3,30.1,43.9,0.11,3.09
2000-02-13,0.04,5.7,17.6,29.4,0.19,4.01
2000-02-14,0.67,6.8,21.4,36.1,0.00,3.90
2000-02-15,0.08,26.7,37.0,47.3,0.07,3.16
2000-02-16,0.00,19.8,28.9,38.0,0.33,4.90
2000-02-17,0.00,18.8,30.6,42.4,0.93,3.59
2000-02-18,0.23,12.1,20.3,28.5,0.65,3.63
2000-02-19,0.50,18.3,22.7,27.2,0.04,1.91
2000-02-20,0.01,24.3,28.0,31.6,0.08,1.32
2000-02-21,0.00,22.6,29.7,36.7,0.56,3.77
2000-02-22,0.00,16.4,28.6,40.8,0.12,5.24
2000-02-23,0.00,19.1,34.3,49.5,0.15,7.54
2000-02-24,0.00,28.1,39.7,51.2,0.53,7.09
2000-02-25,0.18,34.1,47.3,60.4,0.00,10.49
2000-02-26,0.16,33.3,38.4,43.5,0.14,1.55
2000-02-27,0.05,33.9,37.2,40.6,0.03,1.51
2000-02-28,0.22,36.7,45.0,53.2,0.07,2.99
2000-02-29,0.00,30.0,37.8,45.7,0.68,5.39
2000-03-01,0.00,24.6,36.6,48.5,0.58,8.48
2000-03-02,0.00,27.8,39.4,51.0,0.40,9.04
2000-03-03,0.00,27.9,35.4,42.9,0.97,5.22
2000-03-04,0.00,25.2,33.4,41.6,1.62,5.87
2000-03-05,0.00,28.0,38.2,48.4,1.37,8.82
2000-03-06,0.00,27.7,37.5,47.4,0.79,6.28
2000-03-07,0.00,26.0,37.5,49.0,0.94,8.91
2000-03-08,0.01,31.0,46.9,62.8,0.34,15.26
2000-03-09,0.14,37.0,50.6,64.2,0.20,12.49
2000-03-10,0.08,37.9,54.3,70.7,0.04,15.70
2000-03-11,0.54,32.6,38.7,44.7,0.83,4.80
2000-03-12,0.78,32.5,35.4,38.2,0.04,1.77
2000-03-13,0.07,23.8,33.1,42.5,0.00,3.24
2000-03-14,0.00,22.7,32.5,42.3,0.41,6.26
2000-03-15,0.00,27.0,40.3,53.5,0.00,8.72
2000-03-16,0.18,34.3,48.4,62.5,0.49,12.95
2000-03-17,0.80,30.3,47.1,63.9,0.02,12.60
2000-03-18,0.02,13.6,23.3,33.0,0.21,2.73
2000-03-19,0.00,15.5,26.4,37.3,0.22,5.17
2000-03-20,0.00,21.5,33.3,45.0,0.05,6.65
2000-03-21,0.00,30.3,39.7,49.1,0.46,7.26
2000-03-22,0.00,33.1,39.0,44.8,0.30,3.42
2000-03-23,0.00,27.8,40.5,53.3,0.06,7.69
2000-03-24,0.00,30.6,47.7,64.7,0.13,13.62
2000-03-25,0.01,32.1,49.2,66.4,0.65,17.54
2000-03-26,0.06,37.6,51.3,65.0,0.01,12.90
2000-03-27,0.00,28.2,44.8,61.3,0.34,13.17
2000-03-28,0.77,34.5,46.6,58.7,0.10,11.76
2000-03-29,0.04,37.7,46.5,55.3,0.07,7.41
2000-03-30,0.00,36.8,43.8,50.7,1.26,6.49
2000-03-31,0.00,27.8,39.4,50.9,0.28,7.30
2000-04-01,0.00,25.5,39.2,52.8,0.15,8.51
2000-04-02,0.00,32.8,47.9,63.0,0.73,15.25
2000-04-03,0.00,47.4,55.7,64.1,0.83,11.12
2000-04-04,0.48,50.5,58.2,66.0,0.03,7.64
2000-04-05,0.04,35.4,49.0,62.6,0.26,5.76
2000-04-06,0.00,29.8,36.7,43.6,1.33,6.01
2000-04-07,0.00,33.2,49.3,65.3,1.14,14.01
2000-04-08,0.05,44.9,53.7,62.4,1.09,13.19
2000-04-09,0.80,30.7,52.2,73.8,0.04,18.70
2000-04-10,0.04,25.7,31.1,36.5,0.05,3.86
2000-04-11,0.00,26.0,36.8,47.5,0.27,7.32
2000-04-12,0.00,30.2,35.7,41.1,0.00,3.86
2000-04-13,0.00,25.4,36.0,46.7,0.55,6.67
2000-04-14,0.00,26.1,38.3,50.5,0.49,9.68
2000-04-15,0.00,35.3,47.0,58.8,0.36,11.99
2000-04-16,0.04,48.1,58.1,68.1,0.01,9.26
2000-04-17,0.20,38.7,56.7,74.6,0.07,17.03
2000-04-18,0.23,33.4,39.6,45.8,0.15,4.43
2000-04-19,0.02,34.6,39.9,45.2,0.10,4.43
2000-04-20,0.00,40.4,48.5,56.6,0.67,6.40
2000-04-21,0.64,44.8,54.1,63.4,0.66,10.45
2000-04-22,0.64,40.0,43.4,46.8,0.11,2.03
2000-04-23,0.17,39.5,42.5,45.5,0.03,1.41
2000-04-24,0.07,39.9,43.1,46.4,0.11,3.09
2000-04-25,0.00,35.5,49.3,63.0,0.72,12.81
2000-04-26,0.04,35.5,47.7,59.9,1.60,12.09
2000-04-27,0.07,33.7,38.8,43.9,0.06,4.05
2000-04-28,0.01,36.2,43.9,51.5,0.14,5.74
2000-04-29,0.00,32.2,44.6,57.0,0.07,9.38
2000-04-30,0.00,39.6,54.4,69.2,0.92,17.69
