PRISM Time Series Data
Location:  Lat: 40.8043   Lon: -74.7792   Elev: 863ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.7,29.6,37.5,24.1,0.07,2.77
2000-01-02,0.00,22.7,34.4,46.1,29.3,0.04,4.24
2000-01-03,0.00,30.9,41.5,52.2,41.5,0.20,2.61
2000-01-04,0.00,42.9,48.7,54.5,48.7,0.02,2.03
2000-01-05,0.59,35.5,48.1,60.6,42.8,0.79,3.78
2000-01-06,0.00,15.0,26.1,37.1,13.9,0.22,4.49
2000-01-07,0.00,16.1,27.3,38.6,22.6,0.12,3.90
2000-01-08,0.00,20.4,32.8,45.2,21.1,0.24,5.72
2000-01-09,0.00,20.6,28.9,37.1,19.8,0.64,4.21
2000-01-10,0.04,30.6,40.5,50.4,32.4,0.15,6.73
2000-01-11,0.99,31.5,40.4,49.3,38.3,0.00,3.08
2000-01-12,0.00,30.7,37.8,45.0,25.8,0.63,5.32
2000-01-13,0.00,27.5,35.5,43.4,19.8,0.84,6.51
2000-01-14,0.07,8.1,18.9,29.7,11.9,0.15,1.69
2000-01-15,0.00,7.5,13.0,18.4,-0.1,0.64,1.95
2000-01-16,0.00,8.3,17.8,27.3,10.4,0.44,2.30
2000-01-17,0.00,3.6,22.1,40.6,8.8,0.79,4.20
2000-01-18,0.00,-0.2,8.3,16.7,-12.0,0.56,2.41
2000-01-19,0.00,1.7,9.4,17.1,-6.0,0.69,2.22
2000-01-20,0.00,10.3,18.5,26.7,8.1,0.41,2.92
2000-01-21,0.18,6.7,14.9,23.2,12.9,0.20,1.41
2000-01-22,0.00,-1.7,6.4,14.6,-9.4,0.37,1.89
2000-01-23,0.00,-1.4,8.8,19.0,-2.8,0.23,2.40
2000-01-24,0.00,12.9,18.7,24.5,14.2,0.59,1.71
2000-01-25,0.02,23.3,30.2,37.1,17.0,0.91,4.10
2000-01-26,1.05,18.2,22.7,27.2,18.8,0.17,1.70
2000-01-27,0.00,12.1,20.3,28.6,8.6,1.03,2.67
2000-01-28,0.00,0.1,8.5,16.9,-5.1,0.49,1.91
2000-01-29,0.00,2.4,10.6,18.9,-3.1,0.58,2.42
2000-01-30,0.00,-4.3,16.9,38.1,0.2,0.01,6.62
2000-01-31,0.82,-2.4,16.1,34.6,15.6,0.11,4.65
2000-02-01,0.00,17.0,24.5,31.9,17.2,0.25,2.60
2000-02-02,0.00,15.9,25.1,34.3,12.1,0.70,3.72
2000-02-03,0.00,6.4,16.6,26.7,-0.5,0.55,3.39
2000-02-04,0.16,8.4,17.7,27.0,16.2,0.02,2.18
2000-02-05,0.00,18.0,25.6,33.1,21.2,0.02,2.15
2000-02-06,0.00,17.6,26.9,36.2,12.2,0.74,4.89
2000-02-07,0.00,17.8,27.5,37.3,10.6,0.88,5.86
2000-02-08,0.00,12.7,27.1,41.5,9.6,1.48,5.35
2000-02-09,0.00,5.0,18.7,32.4,1.4,0.30,4.89
2000-02-10,0.00,6.1,23.3,40.5,19.9,0.05,4.21
2000-02-11,0.04,22.6,35.8,48.9,28.1,0.23,6.97
2000-02-12,0.04,17.6,32.2,46.9,21.5,0.25,4.14
2000-02-13,0.00,5.6,19.3,33.0,4.7,0.14,4.79
2000-02-14,0.67,5.6,19.7,33.8,19.7,0.08,3.30
2000-02-15,0.31,29.2,35.2,41.3,29.9,0.39,2.30
2000-02-16,0.00,18.1,27.5,36.9,16.2,0.23,4.55
2000-02-17,0.00,22.7,34.1,45.4,21.4,1.69,4.69
2000-02-18,0.00,17.8,24.1,30.5,8.5,0.63,3.63
2000-02-19,0.69,22.0,26.2,30.3,22.6,0.10,2.42
2000-02-20,0.00,26.1,29.1,32.0,26.2,0.08,1.33
2000-02-21,0.00,17.8,27.4,37.0,20.1,0.20,3.60
2000-02-22,0.00,17.4,28.3,39.2,18.5,0.14,4.69
2000-02-23,0.00,22.7,34.9,47.2,23.5,0.46,6.34
2000-02-24,0.00,27.9,38.1,48.2,29.4,0.63,5.84
2000-02-25,0.00,28.3,43.4,58.4,34.4,0.09,9.40
2000-02-26,0.03,31.4,38.1,44.9,36.7,0.00,1.37
2000-02-27,0.02,33.9,36.1,38.2,35.8,0.01,0.58
2000-02-28,0.37,35.7,42.8,49.9,42.5,0.01,0.85
2000-02-29,0.00,30.0,39.3,48.6,23.8,1.27,7.24
2000-03-01,0.00,26.7,38.2,49.7,18.8,1.03,8.96
2000-03-02,0.00,28.2,37.3,46.4,27.9,0.57,6.69
2000-03-03,0.00,30.2,36.8,43.5,23.1,1.16,5.23
2000-03-04,0.00,25.1,33.3,41.6,13.6,1.30,6.76
2000-03-05,0.00,30.1,39.6,49.0,20.6,1.60,8.24
2000-03-06,0.00,30.3,41.8,53.3,24.0,1.47,9.35
2000-03-07,0.00,27.3,39.1,50.8,19.8,1.07,9.33
2000-03-08,0.00,27.7,45.4,63.1,30.8,0.38,14.50
2000-03-09,0.00,37.5,55.9,74.2,41.3,0.20,17.31
2000-03-10,0.09,38.1,54.7,71.3,45.5,0.13,14.95
2000-03-11,0.00,37.3,44.4,51.4,32.9,0.95,6.31
2000-03-12,1.36,36.0,37.3,38.7,35.0,0.23,1.09
2000-03-13,0.03,26.0,33.7,41.4,24.4,0.22,3.19
2000-03-14,0.00,23.7,33.8,43.9,21.1,0.27,6.07
2000-03-15,0.00,24.2,37.4,50.6,28.9,0.00,7.23
2000-03-16,0.00,28.4,47.1,65.8,32.2,0.00,16.11
2000-03-17,1.16,33.9,46.5,59.0,40.7,0.06,7.22
2000-03-18,0.02,15.8,26.0,36.3,15.6,0.35,2.89
2000-03-19,0.00,20.2,29.6,39.0,9.6,0.90,6.19
2000-03-20,0.00,26.1,33.8,41.5,22.2,0.45,5.23
2000-03-21,0.00,28.2,36.4,44.6,29.0,0.28,5.17
2000-03-22,0.03,34.0,37.7,41.5,34.5,0.10,2.01
2000-03-23,0.00,27.8,37.7,47.6,33.5,0.00,4.02
2000-03-24,0.00,32.2,48.3,64.4,37.8,0.08,12.52
2000-03-25,0.00,32.2,49.8,67.3,33.3,0.02,16.90
2000-03-26,0.07,40.0,51.9,63.8,43.7,0.00,10.71
2000-03-27,0.00,27.8,43.2,58.6,25.2,0.42,11.97
2000-03-28,0.92,30.5,44.6,58.8,38.6,0.00,11.10
2000-03-29,0.01,37.8,46.1,54.4,35.0,0.43,9.06
2000-03-30,0.01,30.5,38.7,47.0,31.0,0.25,4.60
2000-03-31,0.00,25.7,37.1,48.5,27.4,0.08,6.47
2000-04-01,0.00,25.0,39.2,53.3,25.6,0.10,9.21
2000-04-02,0.00,34.4,47.6,60.8,28.4,1.24,14.20
2000-04-03,0.00,38.3,52.1,65.8,46.4,0.08,12.73
2000-04-04,0.60,53.5,58.5,63.4,54.1,0.32,5.31
2000-04-05,0.14,36.2,47.2,58.3,38.4,1.02,4.90
2000-04-06,0.00,29.8,34.9,40.0,21.4,1.01,4.73
2000-04-07,0.00,31.4,48.6,65.9,32.0,1.35,15.45
2000-04-08,0.00,43.2,50.5,57.8,35.7,0.49,10.31
2000-04-09,0.41,26.4,50.2,74.1,41.2,0.06,18.23
2000-04-10,0.12,26.5,33.7,41.0,21.1,0.23,6.13
2000-04-11,0.00,30.1,38.9,47.7,22.1,0.81,7.80
2000-04-12,0.21,32.9,34.7,36.6,34.2,0.09,1.69
2000-04-13,0.00,24.2,34.0,43.7,20.8,0.44,5.90
2000-04-14,0.00,22.4,36.3,50.2,18.6,0.00,9.58
2000-04-15,0.00,34.3,46.9,59.5,34.4,0.04,10.87
2000-04-16,0.25,46.3,53.0,59.7,52.9,0.02,3.30
2000-04-17,0.00,45.6,60.0,74.4,46.9,0.80,14.97
2000-04-18,0.60,34.1,39.4,44.7,36.2,0.05,2.39
2000-04-19,0.00,34.6,39.0,43.4,34.5,0.41,3.27
2000-04-20,0.00,40.5,50.7,60.8,42.9,0.61,8.18
2000-04-21,0.05,46.2,54.0,61.7,44.2,0.79,8.17
2000-04-22,1.02,40.4,41.7,42.9,41.7,0.00,0.39
2000-04-23,0.08,40.3,44.5,48.6,41.1,0.05,2.42
2000-04-24,0.01,41.3,44.2,47.0,36.7,1.33,4.01
2000-04-25,0.00,44.1,54.1,64.1,32.8,3.25,14.10
2000-04-26,0.00,33.8,44.5,55.1,31.6,0.49,8.80
2000-04-27,0.00,35.2,43.7,52.2,32.0,0.34,7.67
2000-04-28,0.00,38.2,41.4,44.7,38.3,0.40,2.33
2000-04-29,0.00,33.8,45.2,56.7,35.6,0.22,9.05
2000-04-30,0.00,34.5,50.3,66.1,34.4,0.00,15.63
2000-05-01,0.00,32.3,45.7,59.1,22.8,1.10,13.47
2000-05-02,0.08,37.8,51.6,65.4,39.7,0.00,14.22
2000-05-03,0.05,35.8,48.6,61.5,36.9,0.68,11.91
2000-05-04,0.00,42.1,54.7,67.3,40.3,0.26,15.05
2000-05-05,0.00,53.8,62.6,71.4,50.5,1.40,14.20
2000-05-06,0.00,55.6,69.4,83.2,58.9,0.09,21.84
2000-05-07,0.00,56.4,70.3,84.2,58.8,0.65,22.62
2000-05-08,0.11,58.9,73.9,88.9,60.3,0.00,30.32
2000-05-09,0.00,61.5,75.2,88.8,61.2,0.76,29.21
2000-05-10,0.00,63.3,75.2,87.1,61.7,2.18,24.65
2000-05-11,0.39,49.4,58.1,66.8,50.4,0.11,4.79
2000-05-12,0.00,48.9,59.1,69.4,45.2,0.37,15.42
2000-05-13,0.07,52.7,60.2,67.6,52.2,0.72,10.40
