PRISM Time Series Data
Location:  Lat: 39.2546   Lon: -79.6972   Elev: 1978ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.6,34.3,48.0,0.17,6.31
2000-01-02,0.00,23.1,34.2,45.4,0.37,3.52
2000-01-03,0.00,33.3,49.8,66.3,0.61,13.45
2000-01-04,0.10,48.0,55.7,63.5,0.13,7.54
2000-01-05,0.33,26.5,44.0,61.5,0.50,6.37
2000-01-06,0.05,14.9,22.1,29.2,0.00,1.81
2000-01-07,0.00,16.3,30.3,44.2,0.03,5.94
2000-01-08,0.00,16.6,28.4,40.2,0.15,4.85
2000-01-09,0.00,16.4,28.6,40.9,0.25,5.52
2000-01-10,0.06,29.8,36.5,43.2,0.03,3.58
2000-01-11,0.12,34.2,44.7,55.2,0.03,8.08
2000-01-12,0.15,25.7,35.4,45.1,0.49,6.29
2000-01-13,0.28,24.8,37.6,50.4,0.32,8.32
2000-01-14,0.10,13.4,31.6,49.8,0.35,4.79
2000-01-15,0.01,8.6,14.4,20.2,0.19,1.55
2000-01-16,0.00,8.9,27.4,45.9,0.10,7.54
2000-01-17,0.00,10.6,28.9,47.2,0.86,6.15
2000-01-18,0.00,11.6,17.2,22.9,0.87,2.94
2000-01-19,0.08,19.7,22.2,24.8,0.46,2.05
2000-01-20,0.32,22.6,24.7,26.7,0.11,1.41
2000-01-21,0.20,7.8,16.9,26.0,0.18,1.38
2000-01-22,0.05,-6.2,1.8,9.8,0.05,0.83
2000-01-23,0.03,-6.1,7.0,20.1,0.08,1.86
2000-01-24,0.00,19.5,26.2,32.8,0.24,1.70
2000-01-25,0.00,15.2,22.7,30.1,0.46,2.51
2000-01-26,0.00,12.1,14.6,17.0,0.30,0.86
2000-01-27,0.08,6.1,13.0,19.8,0.27,1.03
2000-01-28,0.00,-4.8,4.4,13.7,0.07,1.31
2000-01-29,0.00,-5.9,6.2,18.3,0.00,1.14
2000-01-30,0.08,-5.7,16.5,38.7,0.00,5.57
2000-01-31,0.19,19.8,25.8,31.8,0.01,1.36
2000-02-01,0.04,20.2,22.3,24.4,0.52,1.28
2000-02-02,0.12,17.8,20.9,24.1,0.33,1.11
2000-02-03,0.00,10.7,19.5,28.3,0.32,2.58
2000-02-04,0.14,18.5,27.2,35.9,0.02,3.23
2000-02-05,0.17,20.4,24.6,28.8,0.25,0.79
2000-02-06,0.00,18.6,24.1,29.6,0.57,2.39
2000-02-07,0.00,18.4,26.0,33.6,0.30,3.13
2000-02-08,0.00,16.1,26.3,36.5,0.38,2.62
2000-02-09,0.00,14.7,27.1,39.6,0.30,4.72
