PRISM Time Series Data
Location:  Lat: 40.4915   Lon: -75.2410   Elev: 571ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.9,31.7,40.5,0.01,2.56
2000-01-02,0.00,26.6,35.5,44.3,0.05,2.46
2000-01-03,0.01,34.1,45.5,57.0,0.48,5.82
2000-01-04,0.00,48.0,53.9,59.7,0.11,3.70
2000-01-05,0.70,33.4,48.5,63.6,0.52,5.49
2000-01-06,0.00,17.6,28.1,38.5,0.30,4.75
2000-01-07,0.00,19.6,30.5,41.5,0.20,4.80
2000-01-08,0.00,20.7,33.8,46.9,0.17,6.13
2000-01-09,0.00,22.4,30.5,38.6,0.82,4.40
2000-01-10,0.00,32.4,40.0,47.6,0.40,5.27
2000-01-11,0.55,34.5,43.5,52.6,0.00,4.16
2000-01-12,0.00,34.3,41.9,49.5,1.38,6.99
2000-01-13,0.00,28.7,36.8,44.8,1.12,6.59
2000-01-14,0.00,12.9,23.5,34.0,0.41,1.86
2000-01-15,0.00,11.3,16.8,22.2,0.76,2.54
2000-01-16,0.00,15.7,22.2,28.7,0.97,2.63
2000-01-17,0.00,7.5,27.4,47.3,1.17,6.61
2000-01-18,0.00,3.9,10.5,17.1,0.71,2.43
2000-01-19,0.00,5.3,12.8,20.2,0.82,2.54
2000-01-20,0.02,15.1,22.8,30.4,0.48,3.35
2000-01-21,0.26,9.7,18.1,26.5,0.15,1.48
2000-01-22,0.00,4.7,11.1,17.5,0.67,2.20
2000-01-23,0.00,7.1,13.8,20.5,0.46,2.28
2000-01-24,0.00,15.4,20.6,25.8,0.38,1.33
2000-01-25,0.26,22.4,30.3,38.2,0.35,3.95
2000-01-26,0.83,21.6,25.2,28.8,0.20,1.74
2000-01-27,0.00,13.2,21.8,30.4,1.09,2.72
2000-01-28,0.00,6.8,12.5,18.2,0.87,1.97
2000-01-29,0.00,7.3,14.4,21.5,0.90,2.67
2000-01-30,0.00,3.6,19.6,35.7,0.28,5.69
2000-01-31,0.97,7.8,20.2,32.7,0.00,3.88
2000-02-01,0.00,17.0,24.7,32.4,0.34,2.87
2000-02-02,0.00,17.5,25.4,33.4,0.83,3.22
2000-02-03,0.00,11.1,20.4,29.7,0.65,3.61
2000-02-04,0.12,13.5,21.2,29.0,0.08,2.29
2000-02-05,0.02,21.0,26.8,32.7,0.01,1.91
2000-02-06,0.00,22.6,28.3,33.9,1.21,4.08
2000-02-07,0.00,20.8,28.5,36.3,0.82,4.81
2000-02-08,0.00,11.8,26.1,40.4,0.93,4.31
2000-02-09,0.00,6.2,18.2,30.3,0.19,3.95
2000-02-10,0.00,8.8,25.8,42.9,0.00,4.42
2000-02-11,0.00,25.6,37.0,48.4,0.23,6.10
2000-02-12,0.04,19.2,32.7,46.2,0.28,3.58
