PRISM Time Series Data
Location:  Lat: 41.2099   Lon: -75.7900   Elev: 1850ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.8,29.3,37.7,0.28,2.71
2000-01-02,0.00,22.1,34.3,46.4,0.44,5.86
2000-01-03,0.00,37.4,46.0,54.6,0.70,7.87
2000-01-04,0.07,49.3,53.3,57.3,0.14,3.76
2000-01-05,0.37,24.8,41.4,58.0,0.21,3.77
2000-01-06,0.00,14.9,21.7,28.6,0.43,2.63
2000-01-07,0.00,17.7,26.4,35.2,0.59,3.42
2000-01-08,0.00,18.4,28.4,38.5,0.27,3.56
2000-01-09,0.00,18.4,26.7,35.0,0.58,3.89
2000-01-10,0.04,31.7,39.3,46.8,0.48,5.92
2000-01-11,0.87,33.4,38.1,42.7,0.03,3.60
2000-01-12,0.00,30.8,36.9,43.1,1.30,5.46
2000-01-13,0.02,26.2,32.7,39.3,0.57,5.09
2000-01-14,0.13,4.5,15.9,27.3,0.07,1.24
2000-01-15,0.00,3.8,9.4,15.0,0.39,1.49
2000-01-16,0.00,8.5,17.3,26.2,0.42,2.16
2000-01-17,0.00,-1.3,18.0,37.3,0.56,3.94
2000-01-18,0.00,-3.7,2.5,8.6,0.33,1.38
2000-01-19,0.00,-3.1,4.1,11.2,0.31,1.35
2000-01-20,0.06,8.1,15.7,23.4,0.22,2.05
2000-01-21,0.17,2.5,12.3,22.2,0.13,1.18
2000-01-22,0.00,-0.7,4.0,8.8,0.42,1.30
2000-01-23,0.00,-0.2,6.8,13.7,0.30,1.56
2000-01-24,0.00,10.3,16.8,23.2,0.33,1.77
2000-01-25,0.00,16.8,24.3,31.7,0.73,3.22
2000-01-26,0.74,15.4,18.1,20.8,0.29,1.40
2000-01-27,0.02,4.5,12.6,20.8,0.38,1.47
2000-01-28,0.00,0.3,5.2,10.2,0.51,1.39
2000-01-29,0.00,0.6,8.2,15.8,0.53,2.18
2000-01-30,0.00,3.0,15.1,27.2,0.46,3.99
2000-01-31,0.92,6.9,18.3,29.7,0.48,4.09
2000-02-01,0.00,21.8,24.1,26.4,0.32,2.00
2000-02-02,0.00,17.0,23.0,29.0,0.88,2.48
2000-02-03,0.00,9.2,15.9,22.6,0.70,2.68
2000-02-04,0.12,14.3,20.8,27.4,0.14,2.45
2000-02-05,0.00,16.5,22.9,29.3,0.20,1.65
2000-02-06,0.00,18.0,23.8,29.7,1.00,3.17
2000-02-07,0.00,20.2,25.6,31.0,1.52,3.81
2000-02-08,0.00,6.4,19.9,33.5,0.53,3.38
2000-02-09,0.00,3.7,15.8,27.9,0.48,3.75
2000-02-10,0.00,18.8,29.5,40.1,0.69,4.19
2000-02-11,0.06,24.1,34.2,44.3,0.20,4.70
2000-02-12,0.00,11.2,26.3,41.4,0.14,3.32
2000-02-13,0.00,7.5,17.1,26.8,0.31,3.24
2000-02-14,0.86,13.1,23.4,33.7,0.01,2.70
2000-02-15,0.20,25.0,31.9,38.8,0.40,2.48
2000-02-16,0.00,20.4,25.8,31.1,0.69,2.91
2000-02-17,0.00,17.2,29.6,42.1,0.98,4.04
2000-02-18,0.00,15.8,22.2,28.7,0.46,3.47
2000-02-19,0.59,20.3,23.5,26.7,0.00,1.24
2000-02-20,0.00,22.0,25.5,29.0,0.02,1.40
2000-02-21,0.00,19.3,24.6,29.8,0.40,1.73
2000-02-22,0.00,18.9,26.2,33.5,0.42,2.75
2000-02-23,0.00,25.1,36.2,47.2,0.96,6.73
2000-02-24,0.00,34.1,41.8,49.5,0.98,6.11
2000-02-25,0.02,35.4,46.8,58.2,0.03,9.29
2000-02-26,0.10,34.1,42.0,50.0,0.09,2.95
2000-02-27,0.00,34.1,36.8,39.4,0.37,1.34
2000-02-28,0.72,34.6,42.8,51.1,0.03,1.86
2000-02-29,0.00,27.1,35.0,43.0,0.79,5.24
2000-03-01,0.00,26.0,36.6,47.3,0.93,7.43
2000-03-02,0.02,30.7,39.4,48.1,0.77,8.22
2000-03-03,0.00,25.9,31.0,36.2,0.61,3.40
2000-03-04,0.00,24.6,32.4,40.2,1.00,6.61
2000-03-05,0.00,26.3,36.1,45.8,0.97,6.85
2000-03-06,0.00,31.9,39.7,47.5,2.22,6.79
2000-03-07,0.00,28.9,38.5,48.0,1.71,7.88
2000-03-08,0.02,34.4,48.6,62.7,1.21,14.09
2000-03-09,0.00,43.0,57.5,72.0,1.38,15.87
2000-03-10,0.03,35.7,53.3,70.9,0.84,15.97
2000-03-11,0.77,33.1,38.4,43.8,0.70,4.12
2000-03-12,0.72,32.8,36.3,39.8,0.00,1.06
2000-03-13,0.26,22.3,29.9,37.6,0.12,2.85
2000-03-14,0.00,23.2,31.5,39.8,0.91,4.29
2000-03-15,0.00,29.5,39.0,48.5,0.57,6.57
2000-03-16,0.00,35.6,48.6,61.7,1.38,13.46
2000-03-17,1.03,28.3,44.4,60.4,0.00,10.67
2000-03-18,0.00,11.8,20.2,28.7,0.47,2.41
2000-03-19,0.00,16.9,27.2,37.4,1.24,5.88
2000-03-20,0.00,25.3,33.6,41.8,1.16,5.34
2000-03-21,0.20,31.7,39.8,47.9,1.09,8.08
2000-03-22,0.49,32.2,35.8,39.5,0.20,1.42
2000-03-23,0.00,31.5,43.7,55.9,0.01,8.50
2000-03-24,0.00,36.2,47.8,59.4,0.38,9.48
2000-03-25,0.00,40.2,52.7,65.2,1.41,15.72
2000-03-26,0.06,42.3,53.7,65.0,1.11,11.47
2000-03-27,0.00,29.0,41.9,54.8,1.75,11.52
2000-03-28,1.08,34.0,46.8,59.5,0.01,12.81
2000-03-29,0.00,33.3,42.1,50.8,0.24,7.69
2000-03-30,0.03,34.3,37.8,41.3,0.94,3.22
2000-03-31,0.00,26.8,36.6,46.3,0.70,6.33
2000-04-01,0.00,27.3,39.5,51.7,0.71,9.13
2000-04-02,0.00,38.5,49.5,60.4,3.50,14.84
2000-04-03,0.01,48.1,53.9,59.7,0.41,8.10
2000-04-04,0.71,52.5,60.4,68.3,0.22,11.15
2000-04-05,0.20,31.1,43.6,56.2,0.71,4.66
2000-04-06,0.00,27.1,33.5,39.9,0.83,4.84
2000-04-07,0.00,37.8,51.9,65.9,2.66,16.64
2000-04-08,0.00,42.0,48.3,54.6,1.13,8.62
2000-04-09,0.71,23.2,46.4,69.7,0.02,14.39
2000-04-10,0.02,22.6,30.9,39.1,0.24,5.60
2000-04-11,0.00,30.3,37.6,44.9,1.09,7.13
2000-04-12,0.03,30.1,37.0,43.9,0.08,4.16
2000-04-13,0.00,24.0,32.1,40.3,0.78,5.10
2000-04-14,0.00,28.6,38.6,48.6,1.12,9.06
2000-04-15,0.00,38.7,49.2,59.8,0.71,11.08
2000-04-16,0.00,48.9,57.6,66.3,0.06,8.49
2000-04-17,0.13,41.0,57.0,73.0,0.14,15.11
2000-04-18,0.78,33.1,38.5,43.9,0.01,2.05
2000-04-19,0.22,32.8,37.3,41.8,0.09,2.76
2000-04-20,0.00,41.3,49.8,58.4,0.51,6.35
2000-04-21,0.08,44.0,52.3,60.7,0.16,8.02
2000-04-22,0.66,39.0,43.2,47.4,0.00,1.43
2000-04-23,0.10,36.5,41.8,47.0,0.01,2.37
2000-04-24,0.02,36.5,40.1,43.8,0.20,2.88
2000-04-25,0.00,38.2,49.1,60.0,2.18,11.76
2000-04-26,0.00,34.1,46.1,58.1,1.20,11.38
2000-04-27,0.00,35.2,43.4,51.6,0.67,7.89
2000-04-28,0.04,37.4,41.8,46.2,0.25,2.91
2000-04-29,0.00,33.8,44.8,55.8,0.15,9.36
2000-04-30,0.00,42.6,53.8,65.0,2.59,15.40
2000-05-01,0.00,31.9,44.7,57.4,2.11,12.93
2000-05-02,0.16,37.7,51.5,65.4,0.00,14.42
2000-05-03,0.00,31.1,45.4,59.7,0.61,11.65
2000-05-04,0.00,40.5,54.7,68.9,0.47,17.16
2000-05-05,0.04,53.4,62.7,72.1,0.82,14.02
2000-05-06,0.05,53.5,66.0,78.5,0.00,17.51
2000-05-07,0.00,56.4,69.7,83.1,0.97,22.84
2000-05-08,0.07,58.6,71.9,85.2,0.24,25.97
2000-05-09,0.00,58.7,72.4,86.1,0.21,27.07
2000-05-10,0.00,61.3,73.7,86.1,1.52,24.21
2000-05-11,1.08,50.4,61.5,72.5,0.19,8.23
2000-05-12,0.04,51.2,60.3,69.5,1.55,17.18
2000-05-13,0.07,54.0,61.9,69.9,1.43,11.57
2000-05-14,0.38,47.9,62.5,77.2,0.28,13.14
2000-05-15,0.00,33.9,49.4,64.8,0.34,13.33
2000-05-16,0.00,33.2,46.1,59.0,0.31,11.78
2000-05-17,0.00,41.1,51.9,62.8,1.63,13.47
2000-05-18,0.07,51.9,59.9,67.9,0.62,13.06
2000-05-19,0.76,53.8,64.6,75.5,0.20,12.44
2000-05-20,0.38,41.4,47.6,53.9,0.00,1.69
2000-05-21,0.50,42.2,45.1,48.0,0.01,1.29
2000-05-22,0.05,48.6,51.7,54.8,0.11,2.24
2000-05-23,0.46,51.8,52.5,53.2,0.09,1.38
2000-05-24,0.59,53.4,57.1,60.8,0.01,4.01
2000-05-25,0.23,49.8,61.2,72.6,0.00,13.66
2000-05-26,0.00,51.7,60.0,68.3,1.55,14.16
2000-05-27,0.00,43.1,55.6,68.1,0.02,13.66
2000-05-28,0.00,39.0,50.6,62.1,0.00,8.56
2000-05-29,0.00,50.9,57.4,63.9,2.41,10.36
2000-05-30,0.00,39.3,51.7,64.2,0.00,10.83
2000-05-31,0.00,40.8,53.5,66.2,0.01,12.57
2000-06-01,0.00,44.6,58.3,71.9,0.12,13.88
2000-06-02,0.00,53.9,66.9,79.8,0.53,15.76
2000-06-03,0.18,51.4,67.3,83.2,1.59,18.89
2000-06-04,0.00,42.7,54.8,66.8,0.66,13.70
2000-06-05,0.29,49.4,58.8,68.2,0.61,12.82
2000-06-06,1.21,47.6,51.1,54.6,0.01,3.44
2000-06-07,0.77,47.7,50.2,52.6,0.31,2.42
2000-06-08,0.00,48.6,58.7,68.7,0.74,13.86
2000-06-09,0.00,56.3,64.0,71.8,2.25,14.42
2000-06-10,0.00,56.3,68.1,79.9,0.03,17.06
2000-06-11,0.00,60.0,72.5,85.0,0.07,21.45
2000-06-12,0.88,66.5,75.9,85.3,0.40,20.14
2000-06-13,0.90,55.1,64.1,73.0,0.00,5.92
2000-06-14,0.13,52.6,55.3,57.9,0.15,1.55
2000-06-15,0.03,53.9,57.1,60.3,0.25,2.84
2000-06-16,0.04,58.0,64.5,71.0,0.00,5.52
2000-06-17,0.00,66.3,73.1,79.9,0.00,11.22
2000-06-18,0.31,57.3,68.5,79.7,0.05,13.66
2000-06-19,0.24,51.6,58.4,65.1,0.03,3.91
2000-06-20,0.00,46.0,56.9,67.9,0.00,10.06
2000-06-21,0.00,56.8,67.3,77.9,1.40,17.79
2000-06-22,0.85,65.1,69.0,72.9,0.32,5.77
2000-06-23,0.01,56.9,67.6,78.4,1.04,18.93
2000-06-24,0.00,51.9,63.3,74.7,0.07,16.01
2000-06-25,0.00,64.4,71.6,78.8,2.54,16.30
2000-06-26,0.58,67.5,75.5,83.5,0.39,16.27
2000-06-27,0.16,64.2,72.6,81.1,0.00,12.27
2000-06-28,0.43,54.7,64.1,73.5,0.02,10.99
2000-06-29,0.05,55.1,65.3,75.5,0.24,16.13
2000-06-30,0.13,51.8,62.5,73.3,0.00,12.03
2000-07-01,0.00,51.6,61.6,71.6,0.57,14.16
2000-07-02,0.00,52.5,64.5,76.5,0.16,17.91
2000-07-03,0.00,56.1,67.5,78.9,0.12,19.79
2000-07-04,0.11,64.4,70.9,77.4,0.03,12.02
2000-07-05,0.17,61.2,69.7,78.3,0.33,11.03
2000-07-06,0.00,45.1,60.9,76.8,0.34,18.69
2000-07-07,0.00,49.0,60.3,71.6,1.37,14.70
2000-07-08,0.00,45.9,57.4,68.9,0.80,13.77
2000-07-09,0.00,47.9,60.4,72.9,0.12,16.54
2000-07-10,0.06,65.5,70.9,76.3,0.30,15.65
2000-07-11,0.00,55.3,68.1,80.9,0.88,18.53
2000-07-12,0.00,48.7,63.5,78.3,1.30,21.44
2000-07-13,0.00,51.0,64.2,77.5,0.65,20.90
2000-07-14,0.00,58.1,67.9,77.7,1.19,18.53
2000-07-15,0.41,58.3,67.4,76.6,0.00,11.40
2000-07-16,0.58,57.9,63.6,69.4,0.00,5.65
2000-07-17,0.63,54.0,64.3,74.6,0.00,10.71
2000-07-18,0.03,55.0,66.3,77.6,0.00,13.94
2000-07-19,0.03,48.9,63.1,77.2,0.41,16.15
2000-07-20,0.05,52.6,58.1,63.7,0.31,6.81
2000-07-21,0.00,48.5,60.5,72.6,0.14,15.44
2000-07-22,0.47,53.7,63.4,73.2,0.00,12.51
2000-07-23,0.00,51.7,61.4,71.1,0.35,12.36
2000-07-24,0.00,52.5,62.7,72.8,0.08,14.99
2000-07-25,0.00,53.2,61.7,70.1,0.00,9.68
2000-07-26,0.00,53.6,63.5,73.3,0.00,12.21
2000-07-27,0.17,62.5,64.0,65.5,0.13,1.75
2000-07-28,0.00,63.0,67.4,71.8,0.12,6.21
2000-07-29,0.49,64.2,71.8,79.3,0.17,13.44
2000-07-30,0.18,65.6,70.9,76.2,0.06,10.20
2000-07-31,0.56,65.9,69.9,74.0,0.00,4.11
2000-08-01,1.15,66.2,71.9,77.6,0.03,7.52
2000-08-02,0.71,63.8,70.1,76.3,0.01,7.58
2000-08-03,0.22,66.8,73.2,79.6,0.01,11.57
2000-08-04,0.65,58.5,68.4,78.2,0.05,10.08
2000-08-05,0.00,50.2,60.8,71.5,0.45,11.66
2000-08-06,0.00,53.0,63.6,74.1,0.77,16.68
2000-08-07,0.64,59.5,64.8,70.1,0.00,3.50
2000-08-08,0.02,65.4,72.8,80.3,0.29,11.04
2000-08-09,0.12,67.8,74.3,80.8,2.01,17.30
2000-08-10,0.06,61.6,71.1,80.7,0.13,12.69
2000-08-11,0.00,61.1,69.1,77.0,0.57,14.11
2000-08-12,0.27,60.6,67.4,74.2,1.36,9.38
2000-08-13,0.15,57.4,62.4,67.4,0.75,7.11
2000-08-14,0.02,58.0,63.8,69.5,0.29,9.34
2000-08-15,0.20,56.8,62.0,67.2,0.21,5.37
2000-08-16,0.04,60.2,69.6,79.0,0.01,15.94
2000-08-17,0.00,54.1,64.1,74.0,2.64,16.23
2000-08-18,0.00,50.9,60.0,69.1,0.52,11.86
2000-08-19,0.06,54.1,57.8,61.6,0.01,4.15
2000-08-20,0.00,45.9,57.6,69.3,0.50,12.74
2000-08-21,0.00,43.3,54.5,65.8,0.20,12.28
2000-08-22,0.00,45.7,57.1,68.6,0.16,13.34
2000-08-23,0.00,49.5,61.4,73.4,0.79,14.59
2000-08-24,0.37,61.1,63.4,65.7,0.04,4.16
2000-08-25,0.00,51.7,63.6,75.5,0.02,14.49
2000-08-26,0.00,51.2,63.0,74.8,0.37,16.92
2000-08-27,0.00,57.7,67.5,77.4,0.77,17.74
2000-08-28,0.03,60.9,68.9,76.9,0.37,13.24
2000-08-29,0.10,61.8,68.7,75.6,0.14,9.58
2000-08-30,0.00,61.1,67.7,74.3,1.19,9.45
2000-08-31,0.00,62.2,69.3,76.3,0.07,9.80
2000-09-01,0.10,68.4,74.0,79.6,0.19,11.32
2000-09-02,0.47,69.5,73.2,76.9,0.01,4.42
2000-09-03,0.01,68.5,75.0,81.5,0.15,12.98
2000-09-04,0.08,67.6,73.8,80.0,0.79,11.27
2000-09-05,0.05,42.8,60.9,78.9,1.05,12.93
2000-09-06,0.00,37.0,50.6,64.3,0.01,13.25
2000-09-07,0.00,37.6,52.9,68.2,0.00,14.68
2000-09-08,0.00,47.5,58.8,70.1,0.07,13.40
2000-09-09,0.00,50.6,62.3,74.1,0.01,11.71
2000-09-10,0.00,59.8,69.6,79.3,0.12,14.32
2000-09-11,0.00,61.8,69.6,77.3,0.39,11.14
2000-09-12,0.04,64.7,67.2,69.7,1.46,6.05
2000-09-13,1.30,60.9,67.1,73.3,0.07,4.00
2000-09-14,0.00,42.6,56.9,71.3,0.02,15.39
2000-09-15,0.33,49.0,60.4,71.7,0.01,13.29
2000-09-16,0.04,47.1,55.6,64.0,0.65,9.95
2000-09-17,0.00,40.1,48.4,56.8,0.06,7.10
2000-09-18,0.00,46.8,55.6,64.5,1.40,10.14
2000-09-19,0.00,51.1,61.5,72.0,0.34,12.97
2000-09-20,0.46,53.1,58.8,64.6,0.00,3.25
2000-09-21,0.00,56.9,67.8,78.8,0.35,15.95
2000-09-22,0.00,41.5,53.6,65.7,0.53,10.71
2000-09-23,0.00,42.7,53.0,63.3,0.01,10.37
2000-09-24,0.04,55.7,58.9,62.1,0.26,2.14
2000-09-25,0.00,43.0,52.6,62.2,0.03,3.45
2000-09-26,0.13,44.3,49.9,55.4,0.29,6.54
2000-09-27,0.22,34.7,42.9,51.1,0.00,2.69
2000-09-28,0.00,40.9,51.9,63.0,0.00,8.56
2000-09-29,0.00,26.9,42.7,58.4,0.30,8.37
2000-09-30,0.00,28.6,43.7,58.9,0.01,12.06
2000-10-01,0.00,38.2,50.9,63.7,0.02,10.33
2000-10-02,0.00,43.6,55.3,67.1,0.02,10.93
2000-10-03,0.05,48.0,58.6,69.2,0.08,11.58
2000-10-04,0.00,45.3,59.5,73.6,0.19,15.98
2000-10-05,0.15,47.9,57.0,66.0,0.03,8.72
2000-10-06,0.38,50.3,54.7,59.1,0.02,2.82
2000-10-07,0.00,41.0,51.2,61.5,0.08,5.52
2000-10-08,0.00,32.2,41.0,49.8,0.40,5.99
2000-10-09,0.00,29.1,37.1,45.2,0.23,5.02
2000-10-10,0.00,29.7,34.2,38.7,0.01,3.01
