PRISM Time Series Data
Location:  Lat: 40.4758   Lon: -75.1442   Elev: 397ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.7,31.9,40.0,0.00,2.42
2000-01-02,0.00,27.9,36.8,45.8,0.04,2.91
2000-01-03,0.00,34.9,46.7,58.5,0.64,7.90
2000-01-04,0.00,49.1,54.8,60.6,0.22,4.20
2000-01-05,0.71,34.1,49.2,64.3,0.51,5.73
2000-01-06,0.00,18.1,28.3,38.6,0.31,4.73
2000-01-07,0.00,19.7,30.8,41.9,0.18,4.89
2000-01-08,0.00,21.3,34.2,47.2,0.16,6.23
2000-01-09,0.00,23.0,30.8,38.6,0.90,4.36
2000-01-10,0.00,33.4,40.6,47.8,0.49,5.25
2000-01-11,0.56,36.6,45.6,54.6,0.00,4.29
2000-01-12,0.00,35.2,42.4,49.7,1.65,7.05
2000-01-13,0.00,29.3,37.1,44.8,1.25,6.53
2000-01-14,0.00,13.3,24.1,35.0,0.40,1.98
2000-01-15,0.00,11.7,17.1,22.4,0.80,2.56
2000-01-16,0.00,15.5,22.4,29.4,0.95,2.69
2000-01-17,0.00,7.9,27.9,47.9,1.21,6.84
2000-01-18,0.00,4.0,10.7,17.3,0.72,2.45
2000-01-19,0.00,5.4,12.8,20.2,0.83,2.53
2000-01-20,0.03,15.4,23.1,30.7,0.51,3.44
2000-01-21,0.24,10.0,18.5,27.0,0.15,1.51
2000-01-22,0.00,5.0,11.4,17.7,0.68,2.22
2000-01-23,0.00,7.1,13.7,20.4,0.42,2.25
2000-01-24,0.00,15.8,21.1,26.4,0.38,1.35
2000-01-25,0.25,22.6,30.5,38.4,0.28,3.92
2000-01-26,0.84,21.9,25.7,29.5,0.18,1.73
2000-01-27,0.00,13.3,22.1,30.9,1.08,2.79
2000-01-28,0.00,7.1,12.7,18.3,0.90,1.96
2000-01-29,0.00,7.3,14.4,21.5,0.93,2.65
2000-01-30,0.00,4.6,20.0,35.4,0.34,5.51
2000-01-31,0.96,8.6,21.2,33.8,0.00,3.98
2000-02-01,0.00,18.7,25.7,32.7,0.40,2.87
2000-02-02,0.00,18.2,26.0,33.8,0.87,3.29
2000-02-03,0.00,12.0,21.0,30.0,0.67,3.61
2000-02-04,0.13,14.3,22.5,30.6,0.10,2.55
2000-02-05,0.02,21.7,27.6,33.5,0.00,1.98
2000-02-06,0.00,23.2,28.6,34.0,1.19,4.07
2000-02-07,0.00,21.7,29.0,36.4,0.88,4.82
2000-02-08,0.00,12.5,26.7,41.0,0.95,4.44
2000-02-09,0.00,7.7,19.4,31.0,0.19,4.11
2000-02-10,0.00,11.2,27.6,44.0,0.01,4.81
2000-02-11,0.00,26.6,38.0,49.4,0.21,6.60
2000-02-12,0.04,19.8,33.3,46.8,0.28,3.75
2000-02-13,0.00,10.8,21.0,31.1,0.27,3.76
2000-02-14,0.69,12.5,23.9,35.4,0.06,2.93
2000-02-15,0.14,31.5,38.2,44.9,0.60,3.66
2000-02-16,0.00,23.5,31.1,38.8,0.66,4.71
2000-02-17,0.00,24.3,37.1,49.9,1.58,5.47
2000-02-18,0.00,23.2,28.8,34.3,0.95,4.36
2000-02-19,0.26,25.9,28.9,31.8,0.02,1.52
2000-02-20,0.00,26.9,30.4,33.9,0.02,1.45
2000-02-21,0.00,22.3,30.0,37.7,0.72,3.54
2000-02-22,0.63,21.4,30.9,40.5,0.21,4.70
2000-02-23,0.00,23.5,37.4,51.3,0.25,7.75
2000-02-24,0.00,31.3,42.3,53.2,0.53,7.11
2000-02-25,0.00,34.0,48.4,62.8,0.08,10.86
2000-02-26,0.03,37.0,46.7,56.5,0.12,4.25
2000-02-27,0.00,37.7,40.9,44.0,0.01,1.92
2000-02-28,0.39,40.3,48.1,55.8,0.03,2.28
2000-02-29,0.00,32.2,42.1,51.9,1.63,8.49
2000-03-01,0.00,25.9,40.6,55.2,0.68,11.16
2000-03-02,0.00,31.8,42.4,53.1,1.36,9.35
2000-03-03,0.00,32.3,38.8,45.3,1.73,5.72
2000-03-04,0.00,28.7,38.3,47.9,1.83,8.93
2000-03-05,0.00,31.8,41.9,52.1,1.81,9.20
2000-03-06,0.00,30.2,43.9,57.6,1.23,11.46
2000-03-07,0.00,28.0,41.5,55.0,0.80,10.74
2000-03-08,0.00,36.0,51.0,66.0,1.73,16.10
2000-03-09,0.00,39.0,58.5,77.9,0.21,18.96
2000-03-10,0.00,41.6,57.1,72.5,0.03,15.25
2000-03-11,0.00,39.6,48.0,56.4,0.24,7.26
2000-03-12,1.09,37.6,40.1,42.5,0.00,0.78
2000-03-13,0.02,27.1,36.4,45.6,0.24,3.57
2000-03-14,0.00,28.0,37.7,47.5,0.68,7.21
2000-03-15,0.00,29.7,42.3,54.9,0.15,9.45
2000-03-16,0.00,34.7,51.4,68.0,0.50,17.25
2000-03-17,1.16,39.1,51.7,64.2,0.01,10.23
2000-03-18,0.02,19.6,29.6,39.6,0.52,3.07
2000-03-19,0.00,22.6,31.2,39.9,0.93,6.13
2000-03-20,0.00,28.6,36.7,44.8,0.53,5.43
2000-03-21,0.06,33.1,39.9,46.7,0.30,5.28
2000-03-22,1.05,36.9,39.1,41.2,0.10,1.37
2000-03-23,0.00,30.1,41.2,52.2,0.00,5.55
2000-03-24,0.00,33.4,50.0,66.7,0.00,13.32
2000-03-25,0.00,38.4,53.0,67.6,0.88,16.24
2000-03-26,0.02,46.5,57.1,67.6,0.47,11.26
2000-03-27,0.00,30.5,46.0,61.6,0.91,13.66
2000-03-28,1.02,38.0,52.0,66.0,0.00,15.27
2000-03-29,0.02,39.4,49.0,58.7,0.79,11.43
2000-03-30,0.00,33.3,42.4,51.4,0.65,6.42
2000-03-31,0.00,29.1,42.7,56.3,0.85,9.87
2000-04-01,0.00,29.8,44.1,58.5,0.77,11.99
2000-04-02,0.00,40.5,52.6,64.8,1.99,16.16
2000-04-03,0.00,49.2,58.4,67.6,0.37,13.86
2000-04-04,0.59,57.1,63.7,70.3,0.48,9.45
2000-04-05,0.08,37.9,51.2,64.5,1.49,8.41
2000-04-06,0.00,33.0,40.3,47.6,1.36,7.16
2000-04-07,0.00,40.7,56.3,72.0,2.56,20.60
2000-04-08,0.00,44.1,55.3,66.5,0.12,14.94
2000-04-09,0.48,29.3,52.7,76.0,0.12,19.29
2000-04-10,0.28,28.6,38.9,49.2,0.35,8.73
2000-04-11,0.00,36.4,45.7,55.0,2.28,11.07
2000-04-12,0.05,35.9,41.8,47.7,0.00,4.21
2000-04-13,0.00,27.8,39.2,50.6,0.96,8.44
2000-04-14,0.00,29.7,41.1,52.4,0.60,10.09
2000-04-15,0.00,38.7,50.7,62.6,0.10,11.73
2000-04-16,0.21,49.2,55.5,61.8,0.05,2.71
2000-04-17,0.28,48.0,63.0,78.1,0.18,16.05
2000-04-18,0.45,37.3,43.1,48.9,0.08,2.99
2000-04-19,0.00,37.7,42.7,47.7,0.30,3.99
2000-04-20,0.00,45.1,54.3,63.4,1.05,9.11
2000-04-21,0.72,47.2,56.7,66.3,0.53,9.89
2000-04-22,0.35,43.7,47.0,50.3,0.06,1.14
2000-04-23,0.27,43.2,48.0,52.8,0.32,3.69
2000-04-24,0.00,43.6,48.3,53.0,2.02,5.78
2000-04-25,0.00,46.0,56.8,67.7,3.32,16.10
2000-04-26,0.00,37.2,46.4,55.6,0.63,7.88
2000-04-27,0.03,38.4,47.0,55.5,0.44,8.64
2000-04-28,0.00,40.4,44.5,48.6,0.29,3.12
2000-04-29,0.02,37.5,48.3,59.1,0.04,8.61
2000-04-30,0.00,43.5,57.1,70.7,1.23,18.88
2000-05-01,0.00,35.6,50.5,65.4,1.79,17.26
2000-05-02,0.11,46.3,58.0,69.7,0.03,16.39
2000-05-03,0.00,39.8,53.2,66.6,0.96,14.53
2000-05-04,0.00,44.7,58.0,71.3,0.33,17.33
2000-05-05,0.00,54.4,64.7,74.9,1.87,16.59
2000-05-06,0.02,57.9,71.6,85.2,0.04,25.03
2000-05-07,0.00,59.4,73.3,87.2,0.78,26.06
2000-05-08,0.24,61.7,76.2,90.6,0.60,32.80
2000-05-09,0.00,64.8,78.1,91.5,2.15,33.18
2000-05-10,0.00,65.6,77.6,89.5,2.05,26.98
2000-05-11,0.48,51.0,61.8,72.7,0.20,6.74
