PRISM Time Series Data
Location:  Lat: 39.4115   Lon: -76.8251   Elev: 600ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.81,22.4,31.9,41.4,0.69,5.33
2000-02,2.61,27.3,37.4,47.6,0.72,6.42
2000-03,4.40,36.2,47.8,59.4,1.07,11.42
2000-04,4.44,41.8,52.5,63.2,0.85,11.03
2000-05,3.23,53.5,65.3,77.0,0.95,18.71
2000-06,3.93,62.1,72.2,82.4,0.83,18.59
2000-07,5.37,61.9,71.8,81.6,0.87,18.73
2000-08,3.07,63.5,72.7,81.9,1.00,17.06
2000-09,6.08,54.5,65.0,75.6,0.44,14.02
2000-10,0.34,44.5,56.6,68.6,0.54,13.11
2000-11,1.79,33.8,43.4,53.0,0.98,7.85
2000-12,3.17,20.4,28.7,37.1,0.58,3.81
2001-01,3.28,22.8,31.0,39.2,0.59,4.04
2001-02,1.99,27.9,37.5,47.2,0.75,6.25
2001-03,4.72,31.0,40.4,49.7,0.95,7.47
2001-04,2.35,42.8,54.5,66.2,1.23,13.99
2001-05,4.28,51.5,63.6,75.7,1.08,18.81
2001-06,5.30,61.8,72.2,82.7,1.04,20.46
2001-07,2.77,61.1,72.4,83.7,1.27,21.95
2001-08,2.84,66.7,76.6,86.5,1.10,21.78
2001-09,3.65,54.7,66.1,77.4,0.75,16.98
2001-10,1.03,44.0,56.1,68.2,1.07,14.47
2001-11,1.38,39.0,50.4,61.8,0.93,10.73
2001-12,1.91,33.8,42.6,51.5,0.83,6.99
2002-01,2.23,28.7,38.0,47.3,0.86,6.76
2002-02,0.42,27.8,39.2,50.6,0.85,7.94
2002-03,3.30,32.7,43.8,54.9,0.81,8.91
