PRISM Time Series Data
Location:  Lat: 40.5377   Lon: -76.2060   Elev: 1093ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.89,17.1,25.4,33.6,0.52,3.29
2000-02,2.62,21.9,30.2,38.5,0.56,3.78
2000-03,6.54,32.9,43.2,53.5,1.10,8.92
2000-04,3.70,37.6,47.6,57.6,0.75,8.95
2000-05,5.17,49.5,60.0,70.4,0.84,13.84
2000-06,6.91,57.8,67.1,76.3,0.46,13.01
2000-07,1.73,58.6,67.9,77.3,0.59,14.77
2000-08,4.20,59.4,68.4,77.5,0.45,13.68
2000-09,6.13,51.2,61.1,71.0,0.38,11.18
2000-10,2.02,40.5,51.6,62.8,0.39,10.07
2000-11,2.85,31.6,39.9,48.3,0.84,6.28
2000-12,4.79,15.9,24.0,32.0,0.43,2.91
2001-01,2.40,18.2,26.2,34.2,0.34,2.89
2001-02,2.31,23.7,31.1,38.4,0.73,3.83
2001-03,4.26,25.6,33.9,42.2,0.55,4.91
2001-04,2.93,37.9,48.2,58.6,0.93,9.99
2001-05,3.93,47.8,58.8,69.8,0.89,14.58
2001-06,4.53,58.0,67.8,77.5,0.83,15.91
2001-07,4.03,58.2,68.8,79.4,0.71,17.54
2001-08,3.60,62.4,72.5,82.6,0.65,18.07
2001-09,5.63,50.4,61.5,72.6,0.40,13.57
2001-10,1.32,40.3,51.8,63.2,0.52,11.08
2001-11,1.88,34.2,44.8,55.4,0.64,7.52
2001-12,2.82,27.6,36.5,45.3,0.48,5.06
2002-01,1.88,24.0,32.5,40.9,0.48,4.66
2002-02,0.78,24.0,33.8,43.5,0.77,5.58
2002-03,4.46,28.4,38.1,47.8,0.73,6.54
2002-04,4.67,39.5,50.4,61.4,0.86,10.90
2002-05,4.62,44.4,55.4,66.5,0.65,12.21
2002-06,4.98,57.1,67.7,78.2,0.54,15.72
2002-07,1.39,61.7,73.1,84.6,0.90,21.29
2002-08,2.90,61.7,73.4,85.1,1.07,23.51
2002-09,5.20,53.8,65.0,76.2,0.64,15.70
2002-10,7.48,41.9,50.3,58.8,0.23,6.92
2002-11,5.33,31.0,38.9,46.8,0.27,4.74
2002-12,5.26,19.6,27.9,36.2,0.34,3.23
2003-01,2.65,13.7,21.2,28.8,0.32,2.38
2003-02,5.46,16.7,24.3,31.8,0.35,2.78
2003-03,4.43,25.9,36.7,47.6,0.38,5.79
2003-04,3.02,35.8,46.3,56.8,0.87,10.28
2003-05,3.69,47.4,55.4,63.4,0.67,8.68
2003-06,10.43,55.0,63.9,72.8,0.17,11.49
2003-07,7.21,60.8,70.9,81.0,0.35,17.00
2003-08,4.51,63.6,72.3,81.0,0.13,13.65
2003-09,8.30,54.9,63.3,71.6,0.28,9.88
2003-10,5.87,38.5,48.4,58.4,0.14,7.65
2003-11,4.86,36.4,44.9,53.4,0.52,5.89
