PRISM Time Series Data
Location:  Lat: 40.8959   Lon: -73.2587   Elev: 85ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,4.71,21.8,30.1,38.3,0.79,4.05
2000-02,1.63,27.6,34.4,41.3,0.63,3.96
2000-03,4.30,35.1,43.7,52.3,0.74,7.59
2000-04,5.14,40.6,48.4,56.1,0.67,7.65
2000-05,4.87,51.7,60.4,69.1,0.98,13.14
2000-06,4.84,60.6,69.2,77.8,1.04,15.70
2000-07,5.60,62.9,71.2,79.4,1.49,17.33
2000-08,4.81,64.8,71.5,78.2,1.16,13.06
2000-09,5.47,57.7,65.7,73.6,0.78,11.65
2000-10,0.44,46.2,55.5,64.9,0.85,10.38
2000-11,3.37,37.4,44.5,51.6,1.05,6.10
2000-12,4.08,23.3,30.4,37.6,0.69,3.45
2001-01,3.31,23.2,30.1,36.9,0.44,3.05
2001-02,2.69,25.8,33.8,41.9,0.70,4.47
2001-03,7.98,30.8,37.2,43.7,0.64,4.78
2001-04,1.77,41.6,50.9,60.2,1.04,11.07
2001-05,2.83,52.2,61.4,70.7,1.45,14.93
2001-06,4.93,63.1,71.0,78.8,1.95,16.85
2001-07,3.99,62.4,71.2,80.1,1.56,17.36
2001-08,2.87,68.4,76.4,84.3,1.54,18.98
2001-09,2.81,58.2,67.0,75.9,1.10,14.86
2001-10,1.84,46.5,56.6,66.8,0.98,12.36
2001-11,2.01,41.8,49.6,57.5,1.07,7.41
2001-12,2.36,35.5,42.6,49.7,0.79,5.57
2002-01,2.66,30.4,37.9,45.5,0.63,5.58
2002-02,1.34,29.1,38.0,46.8,0.66,5.83
2002-03,5.26,33.1,41.2,49.4,0.78,5.89
2002-04,4.53,43.3,52.8,62.3,1.07,11.97
2002-05,4.06,48.8,58.3,67.8,1.11,13.54
2002-06,5.19,60.6,69.7,78.8,1.56,17.38
2002-07,1.13,67.6,76.0,84.5,3.09,21.97
2002-08,5.72,67.9,75.8,83.8,2.45,20.24
2002-09,5.59,60.5,68.9,77.4,1.17,15.10
2002-10,4.29,47.4,55.3,63.2,0.99,8.79
2002-11,3.92,37.7,44.1,50.6,0.59,4.88
2002-12,4.98,28.6,34.5,40.5,0.84,3.75
2003-01,2.51,20.2,26.5,32.8,0.72,3.02
2003-02,4.88,20.9,27.9,34.8,0.57,3.24
2003-03,4.15,29.8,39.3,48.9,0.42,5.94
2003-04,4.12,38.8,47.0,55.3,0.91,9.58
2003-05,5.46,48.4,57.1,65.8,0.56,10.75
2003-06,8.82,59.1,66.6,74.0,1.11,12.93
2003-07,2.96,66.9,74.6,82.3,1.64,17.38
2003-08,3.53,69.0,75.6,82.1,1.33,14.63
2003-09,3.69,60.9,67.4,73.9,1.17,10.68
2003-10,4.86,46.4,54.1,61.9,1.22,8.74
2003-11,3.88,42.1,49.0,55.9,1.10,6.62
2003-12,4.98,30.1,36.8,43.5,1.04,4.64
2004-01,3.34,17.8,24.0,30.3,0.79,2.86
2004-02,2.52,25.1,32.2,39.3,1.11,4.61
2004-03,3.76,33.4,40.6,47.9,0.71,5.86
2004-04,6.64,42.1,50.6,59.1,0.89,9.39
2004-05,3.28,52.8,62.0,71.3,0.51,11.95
2004-06,1.66,60.3,68.5,76.7,1.29,16.03
2004-07,4.80,65.6,72.8,79.9,1.08,15.00
2004-08,4.40,65.8,72.7,79.6,0.85,13.11
2004-09,11.68,60.5,68.2,76.0,1.35,13.31
2004-10,1.85,48.8,55.3,61.8,1.50,8.42
2004-11,4.58,39.3,46.9,54.4,1.31,6.97
2004-12,3.98,29.0,36.1,43.2,0.95,4.31
2005-01,3.98,23.2,29.6,36.1,0.60,2.75
2005-02,2.99,26.2,33.5,40.7,0.81,4.58
2005-03,5.03,28.9,36.1,43.3,0.99,5.22
2005-04,4.44,42.0,51.5,61.1,1.42,11.94
2005-05,2.84,47.8,55.9,63.9,1.33,11.10
2005-06,1.80,62.7,70.9,79.2,1.38,16.22
2005-07,4.03,67.2,74.8,82.4,1.69,17.04
2005-08,1.75,69.7,77.2,84.6,2.20,19.80
2005-09,2.72,61.9,70.8,79.8,2.25,17.78
2005-10,18.27,50.8,56.8,62.8,1.11,7.51
2005-11,4.34,39.4,47.8,56.2,0.99,7.38
2005-12,4.78,28.6,34.8,41.1,0.85,3.98
2006-01,5.37,30.7,38.0,45.4,0.69,4.29
2006-02,2.64,26.1,33.5,41.0,1.03,4.79
2006-03,0.90,32.5,39.9,47.3,1.63,7.18
2006-04,6.58,42.9,52.6,62.3,1.67,12.59
2006-05,4.85,51.6,60.1,68.6,1.67,13.20
2006-06,5.43,62.4,69.4,76.4,1.59,13.36
2006-07,3.97,68.8,76.2,83.7,2.39,17.80
2006-08,5.79,67.2,74.9,82.6,3.39,20.54
2006-09,2.94,57.6,65.1,72.6,1.66,12.33
2006-10,6.62,47.8,55.5,63.2,1.84,9.78
2006-11,5.70,44.1,50.3,56.4,1.12,6.17
2006-12,2.19,34.8,42.2,49.6,1.31,5.82
2007-01,5.12,29.3,36.0,42.7,0.92,4.52
2007-02,2.94,20.4,26.8,33.3,1.04,3.58
2007-03,5.61,30.2,38.6,46.9,1.28,6.60
2007-04,7.58,40.0,47.7,55.4,1.58,9.59
2007-05,1.50,51.9,62.1,72.3,2.27,17.52
2007-06,3.63,60.3,69.4,78.4,1.81,17.38
2007-07,6.08,65.5,73.4,81.3,2.40,18.35
2007-08,3.27,65.6,73.2,80.9,2.43,17.97
2007-09,1.89,60.4,68.5,76.7,2.54,16.23
2007-10,3.06,55.4,62.3,69.3,1.62,10.41
2007-11,2.54,38.2,44.8,51.4,1.61,6.10
