PRISM Time Series Data
Location:  Lat: 40.3044   Lon: -75.4657   Elev: 276ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.8,32.4,42.9,0.00,2.67
2000-01-02,0.00,25.6,35.6,45.7,0.04,3.24
2000-01-03,0.00,36.5,49.1,61.7,0.28,8.24
2000-01-04,0.00,47.5,54.5,61.5,0.00,4.45
2000-01-05,0.49,32.5,48.9,65.4,0.16,6.12
2000-01-06,0.00,17.9,28.2,38.4,0.21,4.50
2000-01-07,0.00,18.5,30.9,43.2,0.13,5.25
2000-01-08,0.00,19.4,33.8,48.2,0.19,6.63
2000-01-09,0.00,19.7,29.5,39.3,0.37,4.38
2000-01-10,0.00,32.9,39.4,45.9,0.22,4.26
2000-01-11,0.49,35.8,46.0,56.3,0.00,4.52
2000-01-12,0.00,33.0,41.9,50.9,0.75,7.19
2000-01-13,0.00,27.5,36.1,44.7,0.98,6.40
2000-01-14,0.00,15.1,27.6,40.1,0.66,2.71
2000-01-15,0.00,13.9,19.5,25.1,0.89,3.11
2000-01-16,0.00,15.4,23.9,32.4,0.79,3.02
2000-01-17,0.00,8.9,29.8,50.7,1.30,7.80
2000-01-18,0.00,4.3,11.2,18.2,0.65,2.61
2000-01-19,0.00,5.2,12.6,19.9,0.69,2.44
2000-01-20,0.04,13.7,23.2,32.7,0.31,3.80
2000-01-21,0.16,10.2,19.5,28.8,0.05,1.63
2000-01-22,0.00,4.9,11.8,18.7,0.56,2.23
2000-01-23,0.00,7.4,14.0,20.5,0.49,2.17
2000-01-24,0.00,15.4,21.1,26.8,0.20,1.24
2000-01-25,0.33,21.1,29.7,38.3,0.06,3.67
2000-01-26,0.51,20.9,25.1,29.3,0.17,1.79
2000-01-27,0.00,12.9,22.1,31.2,1.09,2.87
2000-01-28,0.00,9.6,14.6,19.6,1.12,2.12
2000-01-29,0.00,9.8,16.0,22.2,1.05,2.83
2000-01-30,0.00,7.5,20.8,34.2,0.45,5.01
2000-01-31,1.12,13.5,23.4,33.4,0.01,3.67
2000-02-01,0.00,16.3,25.0,33.6,0.14,3.03
2000-02-02,0.00,16.5,25.2,33.8,0.74,3.30
2000-02-03,0.00,10.9,20.9,31.0,0.51,3.79
2000-02-04,0.15,13.1,23.7,34.2,0.08,3.11
2000-02-05,0.00,23.4,29.3,35.1,0.05,2.12
2000-02-06,0.00,22.6,28.8,35.1,1.22,4.38
2000-02-07,0.00,20.7,28.9,37.2,0.72,5.01
2000-02-08,0.00,12.2,27.3,42.3,0.79,4.73
2000-02-09,0.00,9.2,20.4,31.6,0.22,4.11
2000-02-10,0.00,10.7,28.4,46.0,0.00,5.43
2000-02-11,0.01,28.1,39.6,51.1,0.24,7.26
2000-02-12,0.05,21.3,34.9,48.5,0.33,4.25
2000-02-13,0.00,10.8,21.0,31.2,0.15,3.69
2000-02-14,0.61,14.4,25.3,36.1,0.06,2.77
2000-02-15,0.02,32.5,39.9,47.4,0.63,4.02
2000-02-16,0.00,23.9,31.7,39.6,0.61,4.83
2000-02-17,0.00,24.9,39.1,53.3,1.52,6.52
2000-02-18,0.41,25.0,30.2,35.4,1.00,4.62
2000-02-19,0.43,27.2,30.1,32.9,0.00,1.39
2000-02-20,0.00,28.2,31.8,35.4,0.03,1.76
2000-02-21,0.00,23.0,31.3,39.7,0.82,4.15
2000-02-22,0.00,22.2,31.9,41.7,0.22,5.07
2000-02-23,0.00,23.4,38.0,52.5,0.18,8.28
2000-02-24,0.00,31.3,42.9,54.5,0.45,7.57
2000-02-25,0.00,33.9,49.7,65.6,0.09,13.21
2000-02-26,0.13,38.0,50.7,63.4,0.18,7.71
2000-02-27,0.01,38.8,42.5,46.2,0.02,2.40
2000-02-28,0.45,41.5,50.3,59.0,0.04,3.59
2000-02-29,0.00,33.1,43.3,53.6,1.73,9.30
2000-03-01,0.00,26.0,41.1,56.3,0.58,11.62
2000-03-02,0.00,31.8,43.3,54.9,1.26,9.98
2000-03-03,0.00,33.0,39.2,45.5,2.02,5.75
2000-03-04,0.00,29.2,39.0,48.8,1.88,9.21
2000-03-05,0.00,33.0,42.7,52.4,1.96,9.32
2000-03-06,0.00,29.9,44.4,58.9,1.08,12.43
2000-03-07,0.00,28.6,42.2,55.8,0.79,11.23
2000-03-08,0.00,37.2,51.8,66.5,1.99,16.19
2000-03-09,0.00,38.7,59.0,79.4,0.06,20.45
2000-03-10,0.00,41.3,57.7,74.0,0.07,16.19
2000-03-11,0.02,41.0,50.1,59.3,0.40,8.82
2000-03-12,0.61,39.5,41.6,43.7,0.00,0.62
2000-03-13,0.03,27.4,36.7,46.0,0.41,3.76
2000-03-14,0.00,30.5,39.0,47.5,1.10,7.11
2000-03-15,0.00,32.7,44.0,55.2,0.55,9.32
2000-03-16,0.00,38.6,53.3,68.0,1.24,16.84
2000-03-17,1.06,40.4,52.9,65.4,0.01,10.97
2000-03-18,0.00,20.4,30.3,40.3,0.64,3.50
2000-03-19,0.00,23.8,31.9,40.1,1.02,6.05
2000-03-20,0.00,30.1,38.1,46.1,0.85,5.68
2000-03-21,0.18,34.4,39.9,45.4,0.56,4.67
2000-03-22,2.70,37.3,39.2,41.0,0.15,2.11
2000-03-23,0.00,31.9,41.9,51.9,0.00,4.90
2000-03-24,0.00,35.4,50.4,65.5,0.04,11.92
2000-03-25,0.00,41.8,54.4,67.0,1.71,14.93
2000-03-26,0.04,48.0,58.1,68.3,0.88,11.58
2000-03-27,0.00,31.1,46.8,62.4,0.97,14.10
2000-03-28,1.05,40.3,53.6,66.8,1.23,16.70
2000-03-29,0.00,39.6,49.5,59.4,1.27,12.26
2000-03-30,0.00,31.8,41.9,52.0,0.26,6.63
2000-03-31,0.00,29.5,43.4,57.3,0.77,10.00
2000-04-01,0.00,30.4,44.5,58.6,0.67,11.95
2000-04-02,0.00,41.1,53.0,64.8,2.15,15.79
2000-04-03,0.00,51.3,58.9,66.4,0.59,12.66
2000-04-04,0.59,57.1,64.0,70.9,0.32,9.41
2000-04-05,0.04,36.8,50.9,65.0,1.05,8.44
2000-04-06,0.00,33.1,40.5,47.9,0.84,7.03
2000-04-07,0.00,43.1,58.4,73.7,3.08,21.79
2000-04-08,0.00,45.7,56.7,67.7,0.17,15.51
2000-04-09,0.38,28.9,52.3,75.6,0.08,18.42
2000-04-10,0.04,28.2,39.1,50.1,0.21,8.68
2000-04-11,0.00,37.7,46.9,56.0,2.22,11.40
2000-04-12,0.03,39.5,45.0,50.5,0.18,5.52
2000-04-13,0.00,29.0,40.1,51.3,1.21,8.50
2000-04-14,0.00,30.4,41.3,52.2,0.56,9.89
2000-04-15,0.00,39.6,50.8,62.1,0.37,12.04
2000-04-16,0.28,47.8,54.9,62.0,0.01,3.13
2000-04-17,0.23,49.1,64.2,79.3,0.08,17.24
2000-04-18,0.56,38.3,43.7,49.1,0.16,2.50
2000-04-19,0.00,38.7,43.3,47.8,0.32,3.78
2000-04-20,0.00,45.8,54.8,63.8,1.41,9.02
2000-04-21,0.11,47.9,57.6,67.3,0.41,10.23
2000-04-22,1.11,44.3,48.2,52.2,0.01,1.31
2000-04-23,0.05,42.7,47.7,52.7,0.54,3.62
2000-04-24,0.00,43.0,48.6,54.2,1.83,6.15
2000-04-25,0.00,47.1,57.6,68.0,3.50,15.91
2000-04-26,0.00,35.7,45.5,55.3,0.22,7.32
2000-04-27,0.07,38.8,47.7,56.7,0.20,8.88
2000-04-28,0.00,41.8,44.8,47.7,0.45,2.65
2000-04-29,0.00,37.8,48.5,59.1,0.01,7.95
2000-04-30,0.00,43.8,57.4,71.1,0.83,19.03
2000-05-01,0.00,36.3,51.8,67.4,1.54,18.78
2000-05-02,0.12,47.1,59.0,71.0,0.02,16.98
2000-05-03,0.00,41.7,54.2,66.7,1.09,14.34
2000-05-04,0.00,48.6,60.3,72.0,1.45,17.43
2000-05-05,0.00,57.4,66.1,74.7,2.14,15.41
2000-05-06,0.00,60.1,72.8,85.6,0.55,25.06
2000-05-07,0.00,60.0,74.2,88.3,0.54,27.16
2000-05-08,0.00,61.8,76.3,90.8,0.55,33.01
2000-05-09,0.00,65.9,78.5,91.1,2.48,31.10
2000-05-10,0.00,66.6,78.0,89.4,2.11,26.12
2000-05-11,0.38,51.1,64.3,77.5,0.47,10.74
2000-05-12,0.05,56.6,65.8,75.1,3.00,20.79
2000-05-13,0.00,56.5,66.6,76.8,1.29,13.99
2000-05-14,0.61,51.4,67.7,83.9,0.00,16.23
2000-05-15,0.00,44.5,58.3,72.1,2.42,17.18
2000-05-16,0.00,41.5,53.5,65.6,1.83,15.02
2000-05-17,0.00,50.5,59.7,68.9,0.78,16.58
2000-05-18,0.00,55.1,63.9,72.7,0.34,14.36
2000-05-19,0.22,61.7,71.7,81.7,2.34,20.36
2000-05-20,1.08,45.3,55.5,65.6,0.00,5.52
2000-05-21,0.56,47.2,49.6,52.1,0.00,1.37
2000-05-22,0.10,50.3,54.9,59.4,0.00,3.24
2000-05-23,0.59,52.3,54.6,57.0,0.00,2.26
2000-05-24,0.52,54.4,60.2,66.0,0.00,6.06
2000-05-25,0.39,52.6,66.9,81.2,0.00,21.72
2000-05-26,0.00,51.5,63.3,75.1,0.97,19.34
2000-05-27,0.00,49.8,62.8,75.7,0.88,19.71
2000-05-28,0.01,48.5,56.5,64.4,0.00,8.10
2000-05-29,0.00,53.0,60.0,66.9,0.98,10.57
2000-05-30,0.00,49.3,57.5,65.8,1.04,11.00
2000-05-31,0.00,46.5,55.7,64.8,0.35,9.30
2000-06-01,0.00,51.4,62.0,72.6,1.17,14.59
2000-06-02,0.00,62.5,74.9,87.3,0.02,21.29
2000-06-03,0.03,60.5,75.4,90.2,2.55,23.91
2000-06-04,0.00,50.2,61.7,73.3,0.54,16.24
2000-06-05,0.00,56.2,65.4,74.5,3.29,16.74
2000-06-06,0.39,53.5,61.5,69.5,0.05,14.55
2000-06-07,0.33,50.8,54.7,58.5,0.21,4.58
2000-06-08,0.00,52.4,64.3,76.2,0.50,18.90
2000-06-09,0.00,59.2,69.9,80.7,1.73,21.63
2000-06-10,0.00,62.9,75.9,88.9,0.90,27.83
2000-06-11,0.00,67.7,79.3,91.0,1.00,27.69
2000-06-12,0.13,69.6,81.2,92.8,0.98,28.70
2000-06-13,1.74,55.7,69.1,82.5,0.00,11.96
2000-06-14,0.20,55.4,58.9,62.3,0.00,3.37
2000-06-15,0.05,56.6,59.1,61.7,0.01,2.26
2000-06-16,0.04,59.2,68.0,76.8,0.00,6.17
2000-06-17,0.00,71.1,77.7,84.4,1.36,12.36
2000-06-18,0.13,67.1,78.0,88.9,0.79,21.23
2000-06-19,0.39,59.8,68.6,77.4,0.22,8.75
2000-06-20,0.00,53.6,62.4,71.1,0.02,9.19
2000-06-21,0.00,59.5,71.4,83.3,0.00,22.17
2000-06-22,1.09,67.3,74.2,81.0,0.00,13.42
2000-06-23,0.00,63.1,74.1,85.1,0.64,19.80
2000-06-24,0.00,59.8,71.3,82.8,0.28,22.17
2000-06-25,0.00,66.9,76.3,85.6,0.50,21.69
2000-06-26,0.04,69.5,79.9,90.2,0.42,23.52
2000-06-27,0.05,70.4,79.3,88.3,0.52,18.26
2000-06-28,0.00,65.7,74.9,84.0,0.53,16.26
2000-06-29,0.15,62.7,71.6,80.5,0.07,16.59
2000-06-30,0.04,58.4,68.0,77.7,0.07,12.50
2000-07-01,0.00,57.2,68.1,79.0,1.16,19.83
2000-07-02,0.00,58.2,70.7,83.2,0.80,24.90
2000-07-03,0.00,64.9,74.9,84.8,1.62,25.82
2000-07-04,0.11,66.7,77.4,88.2,0.04,22.51
2000-07-05,0.00,66.4,76.3,86.2,1.20,17.50
2000-07-06,0.00,60.2,73.1,86.0,4.64,27.86
2000-07-07,0.02,60.8,70.7,80.5,2.57,23.20
2000-07-08,0.00,53.9,66.5,79.2,3.38,22.88
2000-07-09,0.00,57.2,68.5,79.8,2.01,23.15
2000-07-10,0.07,68.8,76.9,85.1,0.80,24.16
2000-07-11,0.00,67.0,78.4,89.8,4.24,27.56
2000-07-12,0.00,57.6,70.9,84.1,3.45,26.43
2000-07-13,0.00,56.7,70.1,83.5,0.40,26.25
2000-07-14,0.00,64.4,74.4,84.3,2.19,25.56
2000-07-15,0.17,64.1,70.4,76.8,0.01,9.65
2000-07-16,0.03,62.8,69.3,75.7,0.08,10.68
2000-07-17,0.08,62.0,71.4,80.9,0.09,15.66
2000-07-18,0.00,63.7,73.1,82.4,0.71,17.62
2000-07-19,0.00,61.4,74.8,88.3,3.16,26.59
2000-07-20,0.29,57.6,62.4,67.1,0.13,8.24
2000-07-21,0.00,54.7,67.1,79.4,0.03,19.94
2000-07-22,0.22,60.1,70.7,81.3,0.07,20.47
2000-07-23,0.00,56.2,68.1,80.0,1.13,20.19
2000-07-24,0.00,62.2,71.1,80.0,1.70,19.96
2000-07-25,0.08,61.8,68.4,75.0,0.20,10.94
2000-07-26,0.43,63.0,70.3,77.5,0.17,14.97
2000-07-27,0.38,64.5,67.9,71.3,0.03,2.72
2000-07-28,0.00,65.6,70.5,75.3,0.06,7.44
2000-07-29,0.00,66.7,74.2,81.7,0.43,15.17
2000-07-30,0.06,69.1,74.9,80.7,0.14,12.54
2000-07-31,0.42,70.6,78.5,86.4,0.08,18.04
2000-08-01,0.64,68.8,78.3,87.9,0.00,20.02
2000-08-02,0.26,69.4,77.6,85.7,0.34,14.86
2000-08-03,0.07,71.3,79.5,87.7,0.46,18.99
2000-08-04,1.44,66.6,75.1,83.6,0.02,11.97
2000-08-05,0.00,58.2,69.1,80.1,1.08,13.15
2000-08-06,0.00,57.2,69.0,80.9,0.51,22.70
2000-08-07,0.20,64.7,70.6,76.5,0.08,9.02
2000-08-08,0.16,68.4,79.5,90.6,0.15,23.20
2000-08-09,0.29,69.8,78.9,88.1,0.21,23.67
2000-08-10,0.00,70.5,79.1,87.8,1.83,19.56
2000-08-11,0.00,63.4,74.8,86.3,0.01,21.35
2000-08-12,0.10,62.4,73.8,85.2,0.05,18.94
2000-08-13,0.06,60.8,69.6,78.5,0.52,13.51
2000-08-14,0.04,61.7,66.8,71.9,0.62,9.12
2000-08-15,0.85,60.6,64.8,69.0,0.06,4.89
2000-08-16,0.00,67.0,75.5,83.9,0.87,20.17
2000-08-17,0.00,58.8,71.1,83.4,3.00,24.34
2000-08-18,0.06,60.3,68.0,75.7,0.61,17.10
2000-08-19,0.07,54.9,60.2,65.5,0.02,3.13
2000-08-20,0.00,51.7,64.3,76.9,0.42,16.97
2000-08-21,0.00,51.4,62.6,73.9,1.67,17.40
2000-08-22,0.00,50.4,62.7,75.0,0.29,17.27
2000-08-23,0.00,58.9,68.9,78.8,1.43,18.41
2000-08-24,0.09,63.2,68.9,74.6,0.00,9.83
2000-08-25,0.00,56.1,68.7,81.4,0.06,15.03
2000-08-26,0.00,53.6,67.8,81.9,0.09,22.73
2000-08-27,0.00,58.0,70.7,83.4,0.00,23.49
2000-08-28,0.41,64.3,73.7,83.1,0.00,16.47
