PRISM Time Series Data
Location:  Lat: 40.4339   Lon: -75.1191   Elev: 400ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,24.3,32.1,39.8,0.00,2.38
2000-01-02,0.00,28.4,37.2,46.0,0.03,2.87
2000-01-03,0.00,34.7,47.0,59.3,0.75,9.17
2000-01-04,0.00,49.3,55.0,60.6,0.25,4.27
2000-01-05,0.69,34.6,49.5,64.4,0.55,5.72
2000-01-06,0.00,18.6,28.4,38.1,0.34,4.54
2000-01-07,0.00,19.2,30.6,41.9,0.13,4.83
2000-01-08,0.00,21.8,34.5,47.2,0.15,6.21
2000-01-09,0.00,22.8,30.7,38.6,0.89,4.33
2000-01-10,0.00,34.0,40.6,47.2,0.57,4.92
2000-01-11,0.56,37.8,46.9,55.9,0.00,4.33
2000-01-12,0.00,35.5,42.5,49.6,1.69,6.97
2000-01-13,0.00,29.6,37.1,44.6,1.33,6.37
2000-01-14,0.00,13.6,24.4,35.2,0.43,1.98
2000-01-15,0.00,12.1,17.4,22.7,0.84,2.62
2000-01-16,0.00,14.8,22.0,29.3,0.86,2.69
2000-01-17,0.00,8.3,28.3,48.2,1.24,6.94
2000-01-18,0.00,4.2,10.7,17.2,0.73,2.44
2000-01-19,0.00,5.1,12.5,20.0,0.79,2.48
2000-01-20,0.05,15.5,23.2,30.9,0.50,3.47
2000-01-21,0.18,10.4,18.7,27.0,0.15,1.49
2000-01-22,0.00,5.1,11.4,17.6,0.68,2.18
2000-01-23,0.00,7.4,13.7,20.1,0.40,2.19
2000-01-24,0.00,16.0,21.3,26.6,0.38,1.33
2000-01-25,0.21,22.5,30.4,38.3,0.24,3.81
2000-01-26,0.80,22.0,25.8,29.5,0.16,1.70
2000-01-27,0.00,13.0,22.0,31.0,1.03,2.79
2000-01-28,0.00,7.4,12.8,18.3,0.91,1.94
2000-01-29,0.00,7.5,14.4,21.3,0.95,2.60
2000-01-30,0.00,5.8,20.4,34.9,0.41,5.34
2000-01-31,0.99,9.2,21.7,34.1,0.00,3.94
2000-02-01,0.00,19.0,25.8,32.6,0.42,2.83
2000-02-02,0.00,18.8,26.2,33.7,0.93,3.21
2000-02-03,0.00,12.5,21.2,29.9,0.70,3.55
2000-02-04,0.18,14.5,22.6,30.7,0.09,2.59
2000-02-05,0.02,22.1,27.8,33.6,0.00,1.95
2000-02-06,0.00,23.6,28.8,33.9,1.21,4.02
