PRISM Time Series Data
Location:  Lat: 41.3289   Lon: -74.0102   Elev: 531ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,23.1,30.2,37.3,0.15,3.75
2000-01-02,0.00,25.7,36.1,46.5,0.05,4.38
2000-01-03,0.00,40.2,47.6,54.9,0.40,3.96
2000-01-04,0.00,47.1,52.8,58.4,0.52,4.34
2000-01-05,0.60,31.3,45.8,60.3,0.23,4.13
2000-01-06,0.00,17.3,26.2,35.2,0.65,4.07
2000-01-07,0.00,18.9,29.0,39.1,0.28,4.06
2000-01-08,0.00,25.0,34.8,44.6,0.38,5.44
2000-01-09,0.00,25.1,31.6,38.1,1.19,4.56
2000-01-10,0.16,32.4,41.6,50.7,0.53,7.11
2000-01-11,1.01,38.1,44.2,50.3,0.11,3.65
2000-01-12,0.00,35.6,42.0,48.4,2.33,6.64
2000-01-13,0.00,28.6,35.8,43.0,1.09,6.29
2000-01-14,0.18,8.7,19.1,29.6,0.22,1.72
2000-01-15,0.00,5.8,12.7,19.7,0.63,2.31
2000-01-16,0.00,7.8,19.5,31.1,0.66,2.61
2000-01-17,0.00,3.5,21.9,40.3,0.80,4.22
2000-01-18,0.00,-0.5,6.0,12.5,0.55,1.74
2000-01-19,0.00,-0.6,7.1,14.7,0.52,1.85
2000-01-20,0.00,5.0,15.3,25.7,0.25,3.16
2000-01-21,0.16,10.9,16.5,22.1,0.23,1.33
2000-01-22,0.00,3.6,9.5,15.4,0.81,1.93
2000-01-23,0.00,4.6,10.7,16.8,0.60,2.17
2000-01-24,0.00,8.9,16.4,23.9,0.52,1.89
2000-01-25,0.18,21.6,29.0,36.5,0.52,3.84
2000-01-26,0.51,19.4,23.6,27.8,0.12,1.53
2000-01-27,0.00,10.5,19.4,28.2,0.71,2.76
2000-01-28,0.00,3.7,10.5,17.2,0.71,1.89
