PRISM Time Series Data
Location:  Lat: 40.5202   Lon: -79.9007   Elev: 1037ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,27.3,37.0,46.7,0.33,5.35
2000-01-02,0.03,24.8,40.0,55.1,0.37,8.89
2000-01-03,0.26,42.9,54.3,65.7,0.52,12.97
2000-01-04,0.70,51.5,57.4,63.3,0.18,7.18
2000-01-05,0.16,30.0,44.8,59.7,0.38,4.75
2000-01-06,0.00,22.5,27.6,32.8,0.26,2.41
2000-01-07,0.00,23.7,34.0,44.2,0.80,5.54
2000-01-08,0.00,23.3,31.9,40.4,0.65,4.43
2000-01-09,0.00,21.7,30.7,39.7,0.51,4.70
2000-01-10,0.06,32.4,40.7,49.1,0.12,6.16
2000-01-11,0.15,39.0,46.9,54.8,0.45,6.94
2000-01-12,0.01,28.1,37.6,47.2,0.61,6.46
2000-01-13,0.02,28.2,36.1,44.0,0.38,5.91
2000-01-14,0.00,16.6,26.5,36.4,0.40,1.70
2000-01-15,0.00,15.6,19.7,23.8,0.46,1.85
2000-01-16,0.00,17.0,30.7,44.3,0.72,6.33
2000-01-17,0.00,12.4,29.6,46.8,0.72,5.73
2000-01-18,0.00,10.9,16.4,21.8,0.84,2.66
2000-01-19,0.04,17.9,23.1,28.3,0.56,3.43
2000-01-20,0.11,24.1,27.4,30.7,0.13,2.37
2000-01-21,0.08,11.0,19.6,28.2,0.32,1.63
2000-01-22,0.04,2.1,8.7,15.4,0.22,1.25
2000-01-23,0.03,-0.6,9.3,19.1,0.15,1.30
2000-01-24,0.00,17.8,24.5,31.2,0.24,1.33
2000-01-25,0.00,13.8,20.5,27.2,0.45,2.32
2000-01-26,0.00,11.0,16.9,22.8,0.23,1.59
2000-01-27,0.00,9.8,17.7,25.5,0.39,1.77
2000-01-28,0.00,6.4,12.9,19.4,0.37,1.72
2000-01-29,0.00,6.2,14.6,22.9,0.17,1.58
2000-01-30,0.14,6.8,20.8,34.9,0.03,4.41
2000-01-31,0.16,23.7,28.9,34.1,0.19,1.26
2000-02-01,0.02,21.6,25.2,28.9,0.43,1.74
2000-02-02,0.06,17.5,22.9,28.3,0.31,1.61
2000-02-03,0.00,12.5,20.6,28.6,0.29,2.47
2000-02-04,0.19,26.3,29.7,33.1,0.03,1.81
2000-02-05,0.04,17.3,25.5,33.8,0.20,1.54
2000-02-06,0.00,18.9,25.4,31.8,0.56,2.76
2000-02-07,0.00,21.6,27.5,33.5,0.63,2.86
2000-02-08,0.00,12.4,25.3,38.2,0.22,2.96
2000-02-09,0.00,14.5,26.2,37.9,0.33,4.80
2000-02-10,0.01,26.9,39.2,51.6,0.63,8.23
2000-02-11,0.19,30.2,40.4,50.5,0.19,6.52
2000-02-12,0.03,18.3,31.2,44.1,0.07,1.94
2000-02-13,0.00,19.6,27.6,35.5,0.75,4.57
2000-02-14,1.11,27.1,34.4,41.6,0.00,2.21
2000-02-15,0.14,27.0,35.8,44.5,0.06,1.50
2000-02-16,0.01,28.6,34.3,40.0,0.84,2.55
2000-02-17,0.00,20.6,33.4,46.2,0.07,3.57
2000-02-18,0.10,22.8,29.4,35.9,0.25,3.80
2000-02-19,0.67,30.8,34.3,37.7,0.08,1.10
2000-02-20,0.00,28.5,30.5,32.5,0.30,1.50
2000-02-21,0.03,28.7,31.0,33.2,0.63,2.07
2000-02-22,0.00,29.0,37.4,45.8,1.00,5.90
2000-02-23,0.00,32.5,45.2,57.9,1.61,9.87
2000-02-24,0.00,44.2,53.2,62.2,2.12,11.60
2000-02-25,0.00,47.2,57.4,67.5,2.36,14.88
2000-02-26,0.00,47.3,60.1,72.9,0.06,13.30
2000-02-27,0.00,48.4,62.0,75.5,0.52,18.78
2000-02-28,0.32,35.6,48.9,62.2,0.29,7.74
2000-02-29,0.00,26.7,39.4,52.0,0.60,9.00
2000-03-01,0.01,31.8,44.8,57.8,1.47,12.30
2000-03-02,0.23,35.9,46.7,57.4,1.39,8.07
2000-03-03,0.00,27.6,33.0,38.4,0.91,3.11
2000-03-04,0.00,25.9,36.4,47.0,0.81,7.63
2000-03-05,0.00,30.5,42.8,55.1,1.78,11.57
2000-03-06,0.00,31.3,45.6,59.9,1.17,12.46
2000-03-07,0.00,33.0,46.7,60.4,1.21,12.60
2000-03-08,0.00,40.4,57.2,74.0,2.57,20.26
2000-03-09,0.00,53.6,66.6,79.5,4.71,24.46
2000-03-10,0.03,40.6,56.8,73.0,1.96,16.81
2000-03-11,0.00,33.3,40.9,48.5,0.76,5.19
2000-03-12,0.48,30.0,36.7,43.5,0.05,1.74
2000-03-13,0.00,24.9,31.8,38.6,0.46,4.16
2000-03-14,0.00,28.6,37.5,46.4,1.42,6.44
2000-03-15,0.00,36.2,46.4,56.6,1.88,10.40
2000-03-16,0.00,43.1,55.8,68.6,2.19,17.74
2000-03-17,0.32,29.7,42.1,54.5,0.12,4.28
2000-03-18,0.00,19.8,28.9,37.9,0.81,4.17
2000-03-19,0.00,23.6,35.3,47.0,1.93,8.08
2000-03-20,0.00,37.7,47.0,56.4,2.02,8.68
2000-03-21,0.62,38.2,43.0,47.8,0.64,4.76
2000-03-22,0.29,36.5,40.6,44.7,0.27,2.28
2000-03-23,0.00,40.9,47.7,54.5,0.99,5.99
2000-03-24,0.00,38.0,48.7,59.5,0.30,7.43
2000-03-25,0.00,42.0,57.2,72.3,1.00,16.84
2000-03-26,0.00,41.8,58.3,74.8,3.07,16.78
2000-03-27,0.00,35.8,47.4,59.1,2.05,11.96
2000-03-28,0.07,33.4,44.9,56.5,0.28,9.80
2000-03-29,0.11,35.2,42.5,49.7,0.34,5.05
2000-03-30,0.00,32.7,41.9,51.2,0.39,6.84
2000-03-31,0.00,29.1,41.0,53.0,0.77,8.18
2000-04-01,0.00,29.8,45.1,60.4,0.76,12.80
2000-04-02,0.00,34.9,51.5,68.1,0.91,18.37
2000-04-03,0.33,49.5,55.7,62.0,0.01,7.08
2000-04-04,1.02,49.8,58.6,67.4,0.19,6.92
2000-04-05,0.29,32.1,41.7,51.3,0.36,4.27
2000-04-06,0.00,33.5,42.9,52.4,1.69,7.86
2000-04-07,0.00,40.9,53.8,66.7,2.12,16.72
2000-04-08,0.08,41.0,46.8,52.6,0.88,6.06
2000-04-09,0.66,29.2,39.8,50.4,0.16,2.92
2000-04-10,0.07,30.3,35.9,41.5,0.26,4.45
2000-04-11,0.00,34.8,43.1,51.5,1.59,8.97
2000-04-12,0.20,33.3,42.5,51.7,0.17,5.85
2000-04-13,0.00,29.3,37.5,45.7,0.94,5.96
2000-04-14,0.00,34.6,45.2,55.8,1.69,10.24
2000-04-15,0.00,46.1,58.8,71.5,1.96,16.65
2000-04-16,0.00,53.3,65.0,76.8,1.11,17.91
2000-04-17,0.69,53.5,65.8,78.1,0.08,18.82
2000-04-18,0.11,46.6,56.2,65.7,0.36,6.68
2000-04-19,0.00,45.8,51.8,57.8,1.08,6.10
2000-04-20,0.00,47.1,53.6,60.0,0.75,6.35
2000-04-21,0.43,52.1,63.6,75.1,0.20,15.26
2000-04-22,0.25,45.5,53.3,61.2,0.15,7.44
2000-04-23,0.06,42.2,45.6,49.1,0.11,2.27
2000-04-24,0.00,41.2,49.8,58.5,0.56,8.54
2000-04-25,0.00,44.7,56.3,67.8,2.21,14.97
2000-04-26,0.00,37.2,52.3,67.5,2.56,16.13
2000-04-27,0.00,32.5,46.9,61.3,1.08,13.56
2000-04-28,0.00,37.8,48.5,59.1,1.17,11.35
2000-04-29,0.00,43.3,55.9,68.5,1.51,16.66
2000-04-30,0.00,42.5,56.7,70.9,1.34,17.66
2000-05-01,0.00,42.9,55.6,68.3,2.63,18.05
2000-05-02,0.27,43.1,58.6,74.1,0.01,19.31
2000-05-03,0.00,40.6,53.0,65.5,0.34,11.77
2000-05-04,0.00,48.3,62.2,76.0,1.16,20.57
2000-05-05,0.00,58.5,67.5,76.5,0.68,13.97
2000-05-06,0.06,59.6,71.1,82.6,0.43,19.31
2000-05-07,0.00,60.0,72.7,85.4,1.39,23.84
2000-05-08,0.00,62.0,74.3,86.6,1.52,25.93
2000-05-09,0.00,64.7,74.5,84.2,3.89,22.33
2000-05-10,0.00,65.8,74.2,82.6,3.36,16.89
2000-05-11,0.00,46.8,60.0,73.2,0.68,13.11
2000-05-12,0.02,53.9,64.2,74.5,3.19,21.86
2000-05-13,0.00,67.9,76.8,85.7,3.37,19.44
2000-05-14,0.08,48.4,63.2,77.9,1.20,15.86
2000-05-15,0.00,44.7,55.2,65.7,3.05,14.68
2000-05-16,0.00,38.9,51.8,64.8,0.73,15.14
2000-05-17,0.02,53.0,61.5,70.0,3.48,18.28
2000-05-18,0.09,61.9,69.5,77.1,4.45,17.27
