PRISM Time Series Data
Location:  Lat: 39.8571   Lon: -76.3485   Elev: 518ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.8,35.2,47.5,0.01,4.60
2000-01-02,0.00,25.6,36.6,47.6,0.11,3.81
2000-01-03,0.02,36.8,49.7,62.5,0.37,8.09
2000-01-04,0.00,47.7,54.9,62.2,0.00,4.97
2000-01-05,0.18,34.5,50.3,66.1,0.64,7.25
2000-01-06,0.00,21.1,30.2,39.3,0.47,4.73
2000-01-07,0.00,22.9,33.5,44.1,0.28,5.31
2000-01-08,0.00,21.7,35.0,48.3,0.31,6.93
2000-01-09,0.00,22.7,31.9,41.1,0.66,5.07
2000-01-10,0.00,34.4,39.4,44.5,0.30,4.12
2000-01-11,0.50,38.0,44.2,50.4,0.00,5.41
2000-01-12,0.02,33.4,42.0,50.5,1.37,7.48
2000-01-13,0.00,30.2,37.9,45.6,1.23,6.72
2000-01-14,0.00,16.1,31.0,45.8,0.91,4.47
2000-01-15,0.00,14.4,20.5,26.5,0.75,3.22
2000-01-16,0.00,14.9,23.7,32.6,0.61,3.24
2000-01-17,0.00,11.0,31.7,52.4,1.42,8.69
2000-01-18,0.00,5.5,12.4,19.4,0.76,2.79
2000-01-19,0.00,7.9,14.0,20.1,0.59,2.48
2000-01-20,0.06,17.1,25.9,34.8,0.27,4.07
2000-01-21,0.08,11.5,20.7,29.9,0.12,1.87
2000-01-22,0.00,6.6,13.1,19.6,0.57,2.12
2000-01-23,0.00,6.8,14.0,21.1,0.43,2.21
2000-01-24,0.00,18.9,22.8,26.7,0.39,1.23
2000-01-25,0.30,22.3,29.9,37.6,0.19,3.57
2000-01-26,0.40,20.7,23.4,26.1,0.19,1.64
2000-01-27,0.00,11.1,20.9,30.7,0.86,2.85
2000-01-28,0.00,8.7,14.9,21.1,0.91,2.38
2000-01-29,0.00,9.5,17.9,26.3,0.83,3.40
2000-01-30,0.02,6.6,19.7,32.9,0.34,4.48
2000-01-31,0.71,14.0,22.3,30.5,0.03,2.55
2000-02-01,0.00,16.3,25.1,33.8,0.36,3.22
2000-02-02,0.00,15.3,24.4,33.5,0.61,3.16
2000-02-03,0.00,9.2,19.2,29.2,0.41,3.21
2000-02-04,0.03,13.9,22.3,30.8,0.11,2.42
2000-02-05,0.04,23.9,28.6,33.4,0.01,1.89
2000-02-06,0.00,22.3,28.4,34.4,1.26,4.03
2000-02-07,0.00,20.9,28.6,36.2,0.78,4.21
2000-02-08,0.00,12.2,27.2,42.2,0.68,4.57
2000-02-09,0.00,9.2,20.0,30.7,0.19,3.66
2000-02-10,0.00,10.7,27.7,44.6,0.01,5.03
2000-02-11,0.00,22.9,35.6,48.4,0.14,5.83
2000-02-12,0.02,23.1,35.9,48.7,0.65,4.38
2000-02-13,0.00,13.8,22.3,30.8,0.24,3.31
2000-02-14,0.34,18.5,26.9,35.3,0.05,2.21
2000-02-15,0.00,31.6,39.5,47.4,0.30,4.02
2000-02-16,0.00,25.4,32.4,39.4,0.69,4.38
2000-02-17,0.00,25.2,39.9,54.6,1.38,7.07
2000-02-18,0.31,25.7,30.9,36.0,0.65,4.66
2000-02-19,0.71,27.3,30.7,34.1,0.00,1.05
2000-02-20,0.00,30.6,35.0,39.4,0.07,2.46
2000-02-21,0.00,27.3,33.9,40.6,1.32,4.34
2000-02-22,0.00,23.8,32.7,41.7,0.26,4.72
2000-02-23,0.00,25.7,38.8,51.9,0.35,7.81
2000-02-24,0.00,32.1,43.5,55.0,0.36,7.87
2000-02-25,0.00,35.3,50.5,65.7,0.28,12.84
2000-02-26,0.03,38.6,54.3,70.0,0.17,11.87
2000-02-27,0.00,39.5,42.8,46.1,0.00,2.04
2000-02-28,0.62,39.7,48.5,57.2,0.02,2.42
2000-02-29,0.00,30.7,42.3,53.8,1.27,9.49
2000-03-01,0.00,29.0,43.3,57.5,0.76,12.35
2000-03-02,0.00,34.1,45.0,55.9,1.44,9.96
2000-03-03,0.00,33.4,40.0,46.6,2.35,6.26
2000-03-04,0.00,28.7,39.8,50.8,1.74,10.04
