PRISM Time Series Data
Location:  Lat: 41.1677   Lon: -75.0948   Elev: 1148ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.2,28.4,36.6,0.14,2.62
2000-01-02,0.00,22.1,34.2,46.3,0.16,5.41
2000-01-03,0.00,36.8,45.4,53.9,0.44,3.78
2000-01-04,0.02,48.0,53.3,58.7,0.35,4.17
2000-01-05,0.26,28.4,44.3,60.1,0.43,4.15
2000-01-06,0.00,13.0,23.8,34.6,0.17,3.82
2000-01-07,0.00,14.7,25.6,36.5,0.25,3.54
2000-01-08,0.00,19.5,31.8,44.0,0.31,5.38
2000-01-09,0.00,18.8,27.3,35.9,0.62,4.12
2000-01-10,0.19,30.1,39.9,49.7,0.44,6.69
2000-01-11,0.73,33.3,39.1,45.0,0.16,3.53
2000-01-12,0.00,31.3,38.7,46.1,1.03,6.18
2000-01-13,0.06,26.3,33.9,41.5,0.65,5.80
2000-01-14,0.13,5.7,17.5,29.3,0.12,1.55
2000-01-15,0.00,3.7,10.3,16.9,0.39,1.77
2000-01-16,0.00,8.6,18.0,27.5,0.55,2.23
2000-01-17,0.00,-1.0,19.0,38.9,0.58,4.09
2000-01-18,0.00,-4.2,3.4,10.9,0.35,1.62
2000-01-19,0.00,-2.4,6.8,15.9,0.47,2.15
2000-01-20,0.05,8.8,16.6,24.4,0.38,2.42
2000-01-21,0.14,3.7,13.0,22.4,0.19,1.32
2000-01-22,0.00,-0.6,6.2,12.9,0.50,1.76
2000-01-23,0.01,-1.1,7.0,15.1,0.38,1.86
2000-01-24,0.00,8.4,15.1,21.8,0.33,1.98
2000-01-25,0.30,19.3,27.4,35.5,0.82,4.57
2000-01-26,0.73,15.8,21.0,26.2,0.24,2.16
2000-01-27,0.00,7.8,16.6,25.3,0.81,2.50
2000-01-28,0.00,0.6,6.9,13.2,0.55,1.83
2000-01-29,0.00,-1.2,8.0,17.2,0.42,2.54
2000-01-30,0.00,0.9,17.4,33.9,0.48,6.54
