PRISM Time Series Data
Location:  Lat: 42.3372   Lon: -75.2992   Elev: 1207ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,15.1,25.5,35.8,0.27,3.33
2000-01-02,0.00,21.4,34.9,48.4,0.33,7.15
2000-01-03,0.04,34.4,45.9,57.4,0.36,7.38
2000-01-04,0.59,42.2,49.3,56.5,0.33,4.65
2000-01-05,0.26,21.1,40.8,60.6,0.30,5.21
2000-01-06,0.00,12.0,19.7,27.4,0.19,2.67
2000-01-07,0.00,16.8,25.5,34.3,0.53,3.16
2000-01-08,0.01,18.5,28.8,39.0,0.20,3.65
2000-01-09,0.00,18.5,28.0,37.5,0.47,4.63
2000-01-10,0.00,29.4,36.4,43.4,0.32,4.33
2000-01-11,0.91,34.1,38.1,42.2,0.15,3.41
2000-01-12,0.07,29.8,36.7,43.6,0.63,4.71
2000-01-13,0.26,20.7,28.7,36.8,0.21,4.07
2000-01-14,0.16,0.1,12.9,25.7,0.20,1.53
2000-01-15,0.00,-6.9,2.2,11.4,0.06,1.18
2000-01-16,0.00,-4.7,11.0,26.8,0.22,2.15
2000-01-17,0.03,-10.1,12.0,34.2,0.19,2.78
2000-01-18,0.00,-14.2,-5.9,2.5,0.07,0.85
2000-01-19,0.00,-12.5,-1.6,9.3,0.09,1.26
2000-01-20,0.05,-0.7,10.3,21.2,0.19,2.10
2000-01-21,0.20,0.0,11.8,23.6,0.17,1.19
2000-01-22,0.00,-9.9,-1.9,6.1,0.14,1.04
2000-01-23,0.00,-10.2,-0.3,9.6,0.11,1.30
2000-01-24,0.00,-1.8,10.8,23.5,0.19,1.64
2000-01-25,0.00,2.6,17.1,31.6,0.08,3.47
2000-01-26,0.60,10.4,15.8,21.1,0.16,1.24
2000-01-27,0.09,-1.7,9.1,19.9,0.16,1.18
2000-01-28,0.00,-7.3,1.6,10.5,0.14,1.23
2000-01-29,0.00,-9.6,2.7,15.0,0.07,1.65
2000-01-30,0.00,-7.5,11.3,30.1,0.11,4.79
