PRISM Time Series Data
Location:  Lat: 41.3740   Lon: -72.3210   Elev: 141ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,3.71,17.1,26.4,35.7,0.60,3.80
2000-02,2.70,24.2,32.8,41.3,0.46,4.43
2000-03,4.71,31.9,42.5,53.1,0.61,8.84
2000-04,6.37,37.6,46.8,56.0,0.39,7.99
2000-05,4.02,47.1,57.9,68.7,0.53,14.08
2000-06,5.76,56.1,66.6,77.2,0.51,16.39
2000-07,4.22,59.0,69.0,79.0,0.81,17.50
2000-08,4.03,60.2,69.4,78.6,0.53,15.14
2000-09,5.07,52.4,63.0,73.5,0.34,12.94
2000-10,0.72,41.4,52.5,63.7,0.42,10.82
2000-11,3.47,33.8,42.3,50.8,0.64,6.21
2000-12,4.42,18.6,27.7,36.8,0.45,3.54
2001-01,3.13,17.0,26.7,36.4,0.24,3.27
2001-02,2.72,21.8,31.4,40.9,0.50,4.52
2001-03,9.21,27.4,35.2,43.0,0.49,5.20
2001-04,1.66,37.6,48.5,59.4,0.92,11.84
2001-05,4.74,47.4,59.3,71.1,0.96,16.74
2001-06,7.55,59.5,69.3,79.1,1.13,17.08
2001-07,2.86,58.2,69.1,79.9,0.62,18.04
2001-08,4.10,64.3,73.9,83.5,0.87,19.31
2001-09,3.39,53.9,64.5,75.1,0.41,14.54
2001-10,2.02,42.7,54.0,65.2,0.66,11.71
2001-11,0.74,37.0,46.8,56.6,0.59,7.76
2001-12,2.21,30.5,39.5,48.5,0.43,5.60
2002-01,2.48,26.0,34.5,43.1,0.35,5.08
2002-02,1.94,25.4,35.5,45.6,0.51,5.87
2002-03,4.73,29.3,39.4,49.5,0.60,7.03
2002-04,3.64,40.8,51.3,61.7,0.91,12.52
2002-05,5.66,44.8,55.5,66.2,0.85,13.52
2002-06,4.01,55.0,66.0,76.9,0.82,16.64
2002-07,1.78,62.4,73.1,83.8,1.37,21.82
2002-08,3.22,62.7,73.2,83.7,1.08,22.00
2002-09,6.63,56.3,65.9,75.6,0.54,13.98
2002-10,2.83,41.9,51.6,61.4,0.56,8.71
2002-11,5.62,32.7,41.3,49.9,0.34,5.52
2002-12,5.54,23.2,31.5,39.7,0.56,4.01
2003-01,2.55,16.6,24.1,31.6,0.57,3.02
2003-02,4.01,16.1,25.3,34.4,0.40,3.42
2003-03,5.79,25.0,36.2,47.5,0.30,6.26
2003-04,4.42,35.8,45.2,54.5,0.82,10.01
2003-05,4.21,45.3,55.0,64.7,0.48,10.78
2003-06,7.47,56.7,65.2,73.7,0.86,13.65
2003-07,3.40,62.8,72.4,82.0,0.96,18.05
2003-08,4.23,64.9,73.6,82.4,0.69,16.42
2003-09,6.03,56.1,65.3,74.5,0.49,12.26
2003-10,6.41,40.3,50.8,61.3,0.40,9.12
2003-11,1.57,36.3,45.5,54.7,0.64,6.82
2003-12,4.91,25.5,34.0,42.5,0.62,4.69
2004-01,1.82,13.2,21.1,29.0,0.61,2.94
2004-02,2.60,20.9,30.0,39.1,0.88,4.84
2004-03,2.13,29.8,38.6,47.4,0.49,6.18
2004-04,10.20,38.5,48.1,57.8,0.77,9.66
2004-05,3.94,48.8,59.3,69.9,0.43,11.91
2004-06,1.17,55.7,65.8,75.8,0.93,16.44
2004-07,2.99,62.1,70.8,79.5,0.70,15.92
2004-08,5.06,62.2,70.6,78.9,0.56,13.70
2004-09,8.33,55.6,65.0,74.5,0.58,12.74
2004-10,2.33,42.4,51.8,61.2,0.43,8.75
2004-11,4.88,33.1,43.2,53.4,0.59,7.19
2004-12,4.90,23.6,32.8,42.1,0.51,4.32
2005-01,4.52,18.0,26.4,34.8,0.35,2.80
2005-02,3.32,20.6,30.6,40.6,0.47,4.88
2005-03,4.78,23.1,32.8,42.5,0.54,5.41
2005-04,6.55,37.5,49.1,60.7,0.89,12.16
2005-05,3.01,43.8,53.6,63.4,0.73,11.43
2005-06,1.25,58.3,68.4,78.6,0.69,16.44
2005-07,2.13,63.1,72.6,82.1,0.90,17.76
2005-08,1.92,64.4,74.3,84.2,1.00,21.03
2005-09,3.86,56.2,67.4,78.7,1.00,17.73
2005-10,15.64,46.6,54.2,61.9,0.69,8.17
2005-11,4.18,33.6,44.3,54.9,0.51,7.83
2005-12,5.50,22.3,31.1,39.9,0.51,3.88
2006-01,6.43,26.3,35.0,43.8,0.41,4.13
2006-02,3.56,22.6,31.4,40.1,0.79,4.83
