PRISM Time Series Data
Location:  Lat: 40.1098   Lon: -75.4270   Elev: 180ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.8,33.3,43.9,0.00,2.95
2000-01-02,0.00,27.2,36.8,46.5,0.04,2.92
2000-01-03,0.00,37.3,50.0,62.7,0.30,8.73
2000-01-04,0.50,48.6,55.4,62.2,0.02,4.88
2000-01-05,0.40,33.4,49.9,66.4,0.14,6.69
2000-01-06,0.00,18.7,28.9,39.1,0.24,4.73
2000-01-07,0.00,19.4,31.6,43.9,0.16,5.32
2000-01-08,0.00,20.1,34.7,49.3,0.20,7.17
2000-01-09,0.00,20.4,30.1,39.9,0.41,4.54
2000-01-10,0.00,33.5,40.0,46.4,0.24,4.35
2000-01-11,0.45,36.9,47.0,57.1,0.00,4.77
2000-01-12,0.00,33.2,42.4,51.6,0.86,7.45
2000-01-13,0.00,28.4,36.8,45.3,0.99,6.58
2000-01-14,0.03,15.5,29.0,42.5,0.61,3.24
2000-01-15,0.00,14.1,19.7,25.3,0.89,3.13
2000-01-16,0.00,15.7,24.4,33.2,0.81,3.11
2000-01-17,0.00,9.4,30.4,51.4,1.33,8.17
2000-01-18,0.00,4.7,11.8,18.9,0.72,2.70
2000-01-19,0.03,5.5,12.9,20.2,0.70,2.48
2000-01-20,0.05,14.4,23.7,33.1,0.32,3.90
2000-01-21,0.18,10.5,20.1,29.6,0.05,1.70
2000-01-22,0.00,5.0,12.1,19.2,0.53,2.27
2000-01-23,0.00,6.9,14.0,21.0,0.43,2.20
2000-01-24,0.00,15.9,21.7,27.4,0.17,1.24
2000-01-25,0.66,21.6,30.2,38.7,0.00,3.61
