PRISM Time Series Data
Location:  Lat: 39.6553   Lon: -78.4828   Elev: 1010ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,22.6,37.4,52.3,0.22,7.91
2000-01-02,0.00,24.4,38.8,53.2,0.45,8.02
2000-01-03,0.00,37.0,51.1,65.1,0.76,11.32
2000-01-04,0.10,46.2,55.4,64.5,0.00,7.65
2000-01-05,0.04,31.8,47.7,63.5,0.77,6.42
2000-01-06,0.00,18.0,28.2,38.5,0.06,4.25
2000-01-07,0.00,19.0,32.1,45.2,0.19,5.83
2000-01-08,0.00,21.1,33.1,45.1,0.49,6.30
2000-01-09,0.00,23.8,33.7,43.6,0.76,6.37
2000-01-10,0.00,29.6,37.0,44.3,0.07,4.67
2000-01-11,0.28,33.3,41.8,50.3,0.00,6.43
2000-01-12,0.08,31.4,39.7,48.0,1.06,7.04
2000-01-13,0.05,31.4,41.0,50.6,1.35,9.39
2000-01-14,0.02,16.3,34.4,52.5,1.00,7.21
2000-01-15,0.00,15.7,21.6,27.4,0.71,3.00
2000-01-16,0.00,15.3,26.8,38.2,0.67,5.06
2000-01-17,0.00,13.2,34.4,55.6,1.44,9.83
2000-01-18,0.00,12.7,19.2,25.7,1.43,3.78
2000-01-19,0.02,14.7,21.3,27.9,0.58,3.20
2000-01-20,0.24,20.9,26.5,32.1,0.12,2.96
2000-01-21,0.12,12.2,21.4,30.5,0.18,2.21
2000-01-22,0.02,6.6,12.9,19.2,0.63,1.91
2000-01-23,0.03,8.1,15.1,22.0,0.42,2.28
2000-01-24,0.00,18.9,24.0,29.1,0.36,1.57
2000-01-25,0.00,20.4,27.4,34.3,0.36,3.03
2000-01-26,0.00,17.5,21.7,25.8,0.28,2.10
2000-01-27,0.00,12.4,20.3,28.2,1.01,2.56
2000-01-28,0.00,12.8,16.8,20.8,1.17,2.31
2000-01-29,0.00,10.5,20.3,30.1,0.58,3.52
2000-01-30,0.05,10.3,22.9,35.6,0.19,5.14
2000-01-31,0.30,20.1,25.4,30.7,0.05,1.98
2000-02-01,0.00,21.5,27.0,32.5,0.86,3.04
2000-02-02,0.02,20.4,26.1,31.9,0.89,2.85
2000-02-03,0.00,17.3,24.1,30.9,1.02,3.63
2000-02-04,0.04,20.7,28.6,36.6,0.19,3.91
2000-02-05,0.00,23.9,31.2,38.6,0.47,3.36
2000-02-06,0.00,25.8,30.4,35.1,1.79,3.97
2000-02-07,0.00,25.9,31.9,37.9,1.48,4.57
2000-02-08,0.00,18.9,31.2,43.5,0.88,5.29
2000-02-09,0.00,17.2,27.5,37.7,0.55,4.77
2000-02-10,0.00,18.3,36.6,54.8,0.48,9.81
2000-02-11,0.05,29.4,43.5,57.7,0.58,10.84
2000-02-12,0.00,23.3,38.2,53.0,0.63,5.23
2000-02-13,0.00,19.3,25.4,31.6,0.55,3.09
2000-02-14,0.58,24.7,29.8,34.9,0.02,1.52
2000-02-15,0.06,29.6,41.7,53.8,0.21,6.08
2000-02-16,0.00,26.5,34.2,42.0,0.69,4.43
2000-02-17,0.00,25.0,43.8,62.7,1.11,12.26
2000-02-18,0.16,25.2,32.2,39.2,0.36,5.48
2000-02-19,1.50,28.9,37.9,46.9,0.08,2.41
2000-02-20,0.00,31.1,38.6,46.1,0.32,3.82
2000-02-21,0.00,30.6,35.9,41.1,1.65,4.55
2000-02-22,0.00,26.2,37.3,48.4,0.61,7.21
2000-02-23,0.00,28.8,42.8,56.8,1.10,10.76
2000-02-24,0.00,36.3,48.0,59.7,1.03,10.99
2000-02-25,0.00,42.7,57.6,72.5,2.15,18.78
2000-02-26,0.00,43.4,59.7,75.9,0.20,17.06
2000-02-27,0.00,40.8,44.2,47.6,0.00,1.36
2000-02-28,0.41,38.6,54.0,69.4,0.15,12.60
2000-02-29,0.00,30.0,42.4,54.8,1.69,10.44
2000-03-01,0.00,33.1,47.0,60.9,1.75,15.25
2000-03-02,0.04,33.7,46.8,59.9,1.33,10.49
2000-03-03,0.00,30.1,38.0,45.8,1.81,6.08
2000-03-04,0.00,26.1,38.8,51.4,1.41,10.23
2000-03-05,0.00,30.8,44.7,58.7,2.02,13.49
2000-03-06,0.00,31.0,46.8,62.6,1.60,15.27
2000-03-07,0.00,30.0,46.5,63.0,1.07,15.27
2000-03-08,0.00,33.7,54.9,76.1,1.86,23.95
2000-03-09,0.00,51.0,66.9,82.8,4.02,28.75
2000-03-10,0.01,45.7,61.1,76.5,2.74,20.53
2000-03-11,0.04,40.5,53.8,67.1,1.14,14.71
2000-03-12,0.99,36.1,41.6,47.0,0.03,2.52
2000-03-13,0.00,25.7,32.5,39.3,0.98,4.00
2000-03-14,0.00,26.4,37.2,48.1,0.85,7.61
2000-03-15,0.00,29.8,44.4,59.1,0.67,11.99
2000-03-16,0.00,37.6,54.3,71.0,1.93,20.15
2000-03-17,0.22,38.1,51.5,64.8,0.11,12.60
2000-03-18,0.00,17.9,29.7,41.5,0.83,5.10
2000-03-19,0.00,24.5,33.7,42.9,1.51,6.93
2000-03-20,0.00,31.7,38.9,46.2,0.97,4.83
2000-03-21,0.54,34.3,38.3,42.4,0.13,3.08
2000-03-22,0.63,34.0,37.3,40.6,0.01,1.01
2000-03-23,0.02,36.6,42.3,48.1,0.07,2.19
2000-03-24,0.00,33.0,46.2,59.4,0.03,7.52
2000-03-25,0.00,36.2,51.8,67.4,0.28,13.65
2000-03-26,0.00,45.1,60.7,76.4,2.73,19.75
2000-03-27,0.00,31.5,47.1,62.8,1.12,15.15
2000-03-28,0.05,35.3,48.7,62.1,0.38,12.87
2000-03-29,0.12,36.3,44.9,53.6,0.64,7.70
2000-03-30,0.00,30.2,41.9,53.5,0.29,8.24
2000-03-31,0.00,28.9,45.1,61.3,0.92,13.16
2000-04-01,0.00,29.3,45.0,60.8,1.02,14.28
2000-04-02,0.00,38.1,54.3,70.5,2.15,20.99
2000-04-03,0.12,50.9,56.0,61.1,0.14,7.64
2000-04-04,0.51,52.7,64.1,75.4,0.36,14.88
2000-04-05,0.07,31.1,44.5,57.8,0.62,7.09
