PRISM Time Series Data
Location:  Lat: 40.9971   Lon: -75.0493   Elev: 1076ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.2,28.9,36.6,0.13,2.49
2000-01-02,0.00,23.3,34.6,45.8,0.20,4.47
2000-01-03,0.00,36.1,44.6,53.2,0.30,2.52
2000-01-04,0.00,48.3,53.3,58.2,0.31,3.68
2000-01-05,0.28,30.1,45.0,59.9,0.42,3.88
2000-01-06,0.00,14.1,25.3,36.4,0.23,4.40
2000-01-07,0.00,17.2,27.2,37.2,0.30,3.66
2000-01-08,0.00,20.2,32.1,44.1,0.27,5.39
2000-01-09,0.00,20.6,28.1,35.7,0.70,3.89
2000-01-10,0.07,30.2,39.7,49.3,0.29,6.46
2000-01-11,0.98,32.6,39.0,45.3,0.01,3.13
2000-01-12,0.00,32.4,39.0,45.6,1.32,5.81
2000-01-13,0.03,27.4,34.9,42.3,0.78,6.10
2000-01-14,0.08,7.7,18.6,29.6,0.20,1.60
2000-01-15,0.00,5.5,11.3,17.2,0.50,1.82
2000-01-16,0.00,11.3,19.1,26.9,0.72,2.16
2000-01-17,0.00,2.0,20.7,39.4,0.75,4.12
2000-01-18,0.00,-1.5,5.7,12.9,0.46,1.85
2000-01-19,0.00,1.3,9.2,17.1,0.67,2.26
2000-01-20,0.03,11.4,18.3,25.2,0.47,2.53
2000-01-21,0.16,5.8,14.0,22.3,0.21,1.31
2000-01-22,0.00,1.4,7.6,13.8,0.63,1.86
2000-01-23,0.07,1.2,8.9,16.5,0.42,2.02
2000-01-24,0.00,9.8,15.9,22.1,0.34,1.66
2000-01-25,0.23,21.3,28.8,36.2,0.88,4.17
2000-01-26,0.72,17.7,22.8,27.9,0.24,1.95
2000-01-27,0.00,11.0,18.8,26.6,1.06,2.55
2000-01-28,0.00,2.5,8.4,14.3,0.70,1.85
2000-01-29,0.00,1.4,10.0,18.6,0.54,2.55
2000-01-30,0.00,2.0,18.6,35.1,0.47,6.32
2000-01-31,1.01,4.2,17.8,31.4,0.27,4.93
2000-02-01,0.00,18.4,24.5,30.6,0.43,2.47
2000-02-02,0.00,16.0,24.3,32.6,0.81,3.34
