PRISM Time Series Data
Location:  Lat: 41.1162   Lon: -75.7241   Elev: 1506ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,19.3,28.6,38.0,0.14,2.73
2000-01-02,0.00,22.1,34.7,47.4,0.21,6.63
2000-01-03,0.00,37.4,46.5,55.6,0.68,7.66
2000-01-04,0.00,48.7,53.3,58.0,0.40,3.81
2000-01-05,0.42,23.7,41.6,59.5,0.33,4.41
2000-01-06,0.00,13.3,20.7,28.1,0.19,2.28
2000-01-07,0.00,16.8,26.1,35.3,0.41,3.42
2000-01-08,0.00,17.6,28.7,39.7,0.35,3.81
2000-01-09,0.00,17.8,26.9,36.0,0.61,4.34
2000-01-10,0.00,31.3,39.4,47.6,0.60,6.15
2000-01-11,0.82,34.1,39.1,44.0,0.19,3.85
2000-01-12,0.00,31.4,38.1,44.9,1.14,5.97
2000-01-13,0.00,25.7,32.6,39.4,0.61,5.09
2000-01-14,0.15,4.3,16.1,27.8,0.10,1.31
2000-01-15,0.00,3.1,9.1,15.2,0.32,1.43
2000-01-16,0.00,8.3,17.4,26.4,0.50,2.21
2000-01-17,0.00,-2.2,17.6,37.3,0.51,3.76
2000-01-18,0.00,-4.5,1.3,7.0,0.30,1.19
2000-01-19,0.00,-4.6,3.1,10.8,0.29,1.40
2000-01-20,0.01,7.1,15.3,23.5,0.22,2.02
2000-01-21,0.14,2.1,13.0,23.9,0.17,1.42
2000-01-22,0.00,-1.0,4.0,9.0,0.45,1.29
2000-01-23,0.00,-0.9,6.2,13.4,0.37,1.57
2000-01-24,0.00,10.7,16.9,23.0,0.42,1.85
2000-01-25,0.00,16.2,24.2,32.2,0.59,3.70
2000-01-26,0.83,14.7,17.5,20.3,0.27,1.58
2000-01-27,0.04,4.5,12.8,21.1,0.49,1.75
2000-01-28,0.00,-0.1,5.1,10.3,0.45,1.52
2000-01-29,0.00,-1.1,7.1,15.3,0.44,2.28
2000-01-30,0.00,-0.0,13.5,27.1,0.40,4.50
2000-01-31,0.95,3.8,17.0,30.2,0.27,5.01
2000-02-01,0.00,19.6,23.2,26.9,0.45,2.06
2000-02-02,0.00,15.1,22.2,29.4,0.68,2.45
2000-02-03,0.00,5.4,14.1,22.7,0.58,2.80
2000-02-04,0.09,12.8,19.8,26.9,0.07,2.34
2000-02-05,0.00,16.4,23.1,29.8,0.10,1.84
2000-02-06,0.00,16.6,23.2,29.8,0.90,3.19
2000-02-07,0.00,18.3,24.8,31.4,1.14,3.86
2000-02-08,0.00,3.1,18.6,34.2,0.61,3.40
2000-02-09,0.00,-0.7,13.8,28.4,0.29,3.95
2000-02-10,0.00,17.9,29.2,40.4,0.50,4.30
2000-02-11,0.04,23.3,34.0,44.7,0.40,5.10
2000-02-12,0.00,9.7,25.4,41.2,0.28,3.21
2000-02-13,0.00,5.4,16.4,27.3,0.25,3.44
2000-02-14,0.81,11.8,23.2,34.7,0.14,3.05
2000-02-15,0.18,24.3,31.7,39.1,0.35,2.57
2000-02-16,0.00,19.4,25.6,31.8,0.50,3.00
2000-02-17,0.00,16.4,29.4,42.4,1.09,4.03
2000-02-18,0.00,14.2,21.9,29.6,0.43,3.78
2000-02-19,0.57,19.6,23.3,27.0,0.01,1.49
2000-02-20,0.00,20.9,25.1,29.2,0.02,1.38
2000-02-21,0.00,17.0,23.8,30.6,0.22,1.85
2000-02-22,0.00,17.9,26.0,34.0,0.21,2.85
2000-02-23,0.00,24.2,36.1,48.0,0.78,7.04
2000-02-24,0.00,33.3,41.7,50.2,1.09,6.65
2000-02-25,0.01,35.2,46.4,57.7,0.39,9.35
2000-02-26,0.06,33.8,41.1,48.4,0.19,2.36
2000-02-27,0.00,34.0,37.3,40.6,0.15,1.44
2000-02-28,0.73,34.1,42.9,51.7,0.05,2.09
2000-02-29,0.00,26.7,35.4,44.0,0.62,5.49
2000-03-01,0.00,25.2,36.2,47.1,0.81,7.38
2000-03-02,0.00,30.2,38.9,47.5,0.92,8.06
2000-03-03,0.00,25.9,31.2,36.5,0.54,3.37
2000-03-04,0.00,24.3,32.2,40.0,1.00,6.64
2000-03-05,0.00,26.3,36.1,45.9,0.98,6.75
2000-03-06,0.00,32.1,39.8,47.5,2.12,6.65
2000-03-07,0.00,27.4,37.5,47.6,1.23,7.71
2000-03-08,0.00,32.7,47.7,62.8,1.17,14.37
2000-03-09,0.00,41.1,56.8,72.5,0.93,16.13
2000-03-10,0.01,35.2,53.1,71.1,0.76,15.61
2000-03-11,0.33,32.9,38.1,43.2,0.60,3.80
2000-03-12,0.58,32.7,36.1,39.5,0.01,1.43
2000-03-13,0.86,21.9,30.0,38.2,0.10,2.88
2000-03-14,0.00,23.4,31.7,40.1,0.91,4.27
2000-03-15,0.00,29.1,39.1,49.2,0.39,6.72
2000-03-16,0.00,34.4,48.3,62.1,1.24,14.06
2000-03-17,1.12,27.8,44.2,60.6,0.07,10.96
2000-03-18,0.00,11.5,20.3,29.1,0.54,2.47
2000-03-19,0.00,16.4,27.1,37.9,0.99,6.05
2000-03-20,0.00,25.8,34.1,42.5,1.33,5.88
2000-03-21,0.15,29.9,39.2,48.6,0.79,8.61
2000-03-22,0.52,31.8,36.1,40.4,0.22,1.62
2000-03-23,0.00,29.9,43.1,56.4,0.03,8.78
2000-03-24,0.00,35.1,47.5,59.8,0.46,9.41
2000-03-25,0.00,38.0,51.7,65.4,1.07,15.48
2000-03-26,0.02,41.1,53.4,65.7,0.76,11.57
2000-03-27,0.00,27.7,41.5,55.3,1.12,11.60
2000-03-28,0.99,33.9,47.1,60.3,0.00,13.29
2000-03-29,0.00,32.6,41.6,50.5,0.01,7.12
2000-03-30,0.00,34.3,38.2,42.0,0.86,3.11
2000-03-31,0.00,25.7,35.8,45.9,0.36,6.02
2000-04-01,0.00,25.6,39.0,52.5,0.57,9.43
2000-04-02,0.00,35.6,48.5,61.3,2.67,15.69
2000-04-03,0.00,46.9,53.9,60.8,0.40,9.03
2000-04-04,0.56,51.9,60.4,68.8,0.45,12.05
2000-04-05,0.14,30.2,43.8,57.4,0.56,5.03
2000-04-06,0.00,26.0,33.4,40.8,0.57,5.20
2000-04-07,0.00,36.4,51.9,67.4,2.33,17.86
2000-04-08,0.00,41.1,48.3,55.6,1.03,9.51
2000-04-09,0.58,23.4,47.3,71.2,0.11,15.86
2000-04-10,0.02,22.3,31.4,40.6,0.07,6.12
2000-04-11,0.00,28.6,37.4,46.2,0.74,7.51
2000-04-12,0.02,29.5,36.5,43.4,0.02,4.09
2000-04-13,0.00,22.9,32.3,41.7,0.48,5.42
2000-04-14,0.00,27.4,38.2,49.0,1.00,9.44
2000-04-15,0.00,37.7,48.7,59.8,0.46,11.13
2000-04-16,0.00,47.7,56.5,65.2,0.13,7.66
2000-04-17,0.08,41.0,57.6,74.3,0.52,16.66
2000-04-18,0.70,32.9,38.6,44.3,0.04,2.23
2000-04-19,0.09,32.9,37.4,42.0,0.22,2.88
2000-04-20,0.00,40.6,49.9,59.3,0.35,6.75
2000-04-21,0.06,43.9,52.6,61.4,0.43,8.32
2000-04-22,0.66,38.8,43.1,47.5,0.03,1.83
2000-04-23,0.07,36.7,42.3,48.0,0.01,2.79
2000-04-24,0.01,36.7,40.6,44.5,0.36,3.16
2000-04-25,0.00,38.0,49.7,61.4,2.04,12.77
2000-04-26,0.00,32.6,45.8,59.0,0.84,11.94
2000-04-27,0.01,33.9,43.3,52.6,0.51,8.53
2000-04-28,0.03,35.8,41.2,46.5,0.13,3.05
2000-04-29,0.00,32.2,44.4,56.5,0.33,10.14
2000-04-30,0.00,40.6,53.6,66.5,2.18,16.90
2000-05-01,0.00,28.6,43.7,58.8,1.29,14.04
2000-05-02,0.17,34.6,50.6,66.7,0.00,15.73
2000-05-03,0.00,29.4,45.2,60.9,0.74,12.57
2000-05-04,0.00,38.2,54.0,69.8,0.20,18.19
2000-05-05,0.05,51.0,62.0,73.0,0.37,15.51
2000-05-06,0.06,51.4,65.7,80.0,0.00,19.65
2000-05-07,0.00,54.2,69.4,84.6,1.00,26.31
2000-05-08,0.05,56.2,71.5,86.9,0.00,28.92
2000-05-09,0.00,56.5,72.5,88.4,0.10,31.48
2000-05-10,0.00,59.2,73.5,87.7,1.48,26.94
2000-05-11,1.38,48.8,61.3,73.7,0.27,9.12
2000-05-12,0.04,49.8,60.3,70.7,1.58,18.68
2000-05-13,0.04,52.6,61.6,70.6,1.35,12.11
2000-05-14,0.38,46.0,62.0,78.1,0.04,13.72
2000-05-15,0.00,31.6,49.0,66.5,0.01,14.90
2000-05-16,0.00,30.0,45.7,61.4,0.00,13.38
2000-05-17,0.00,38.7,51.7,64.7,1.35,15.73
