PRISM Time Series Data
Location:  Lat: 41.0029   Lon: -74.9141   Elev: 502ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,21.0,29.9,38.8,0.03,2.77
2000-01-02,0.00,23.9,34.5,45.1,0.04,3.01
2000-01-03,0.00,34.0,44.5,55.0,0.16,2.82
2000-01-04,0.00,46.4,52.6,58.9,0.11,3.34
2000-01-05,0.29,32.0,47.2,62.5,0.22,4.53
2000-01-06,0.00,15.6,25.9,36.3,0.10,4.10
2000-01-07,0.00,18.2,29.1,40.0,0.14,4.31
2000-01-08,0.00,21.0,33.6,46.2,0.13,5.95
2000-01-09,0.00,21.5,29.5,37.5,0.56,4.02
2000-01-10,0.09,31.5,40.8,50.1,0.08,6.29
2000-01-11,0.66,32.5,41.3,50.2,0.00,2.83
2000-01-12,0.00,33.8,41.2,48.7,1.21,6.19
2000-01-13,0.02,28.3,36.5,44.8,0.76,6.94
2000-01-14,0.08,9.5,20.5,31.4,0.13,1.80
2000-01-15,0.00,8.1,13.9,19.7,0.62,2.13
2000-01-16,0.00,12.5,20.8,29.1,0.77,2.35
2000-01-17,0.00,4.3,23.7,43.1,0.84,4.74
2000-01-18,0.00,0.9,8.0,15.1,0.58,2.11
2000-01-19,0.00,2.5,10.8,19.1,0.73,2.43
2000-01-20,0.02,12.3,20.3,28.3,0.44,3.12
2000-01-21,0.17,8.1,16.6,25.1,0.20,1.53
2000-01-22,0.00,3.3,9.5,15.7,0.74,2.01
2000-01-23,0.00,4.2,11.5,18.9,0.51,2.29
2000-01-24,0.00,12.2,18.5,24.8,0.43,1.65
2000-01-25,0.20,21.7,29.8,37.9,0.49,4.10
2000-01-26,0.84,19.5,24.4,29.2,0.18,1.79
2000-01-27,0.00,11.2,20.2,29.1,0.91,2.68
2000-01-28,0.00,4.1,10.4,16.7,0.79,1.87
2000-01-29,0.00,3.9,12.3,20.6,0.63,2.53
2000-01-30,0.00,0.8,18.6,36.4,0.21,6.20
2000-01-31,0.89,4.0,18.1,32.3,0.11,4.56
2000-02-01,0.00,18.2,25.2,32.2,0.39,2.63
2000-02-02,0.00,17.0,25.7,34.4,0.78,3.67
2000-02-03,0.00,8.4,18.1,27.9,0.62,3.57
2000-02-04,0.15,13.2,20.5,27.8,0.09,2.25
2000-02-05,0.02,19.5,25.2,30.8,0.09,1.83
2000-02-06,0.00,20.1,27.0,34.0,0.93,4.23
2000-02-07,0.00,20.4,28.3,36.1,1.09,5.34
2000-02-08,0.00,7.5,23.8,40.1,0.79,4.67
2000-02-09,0.00,3.1,17.2,31.2,0.18,4.44
2000-02-10,0.00,10.0,25.6,41.3,0.13,4.33
2000-02-11,0.05,20.8,34.6,48.4,0.17,6.48
2000-02-12,0.02,16.8,31.2,45.5,0.11,3.46
2000-02-13,0.00,8.3,20.2,32.2,0.24,4.39
2000-02-14,0.72,9.5,21.9,34.2,0.06,3.16
2000-02-15,0.19,29.2,36.5,43.9,0.24,2.57
2000-02-16,0.00,21.2,29.6,38.0,0.48,4.80
2000-02-17,0.00,21.8,34.0,46.2,1.57,4.71
2000-02-18,0.00,18.5,25.4,32.3,0.58,4.01
2000-02-19,0.69,20.6,24.7,28.7,0.00,1.58
2000-02-20,0.00,24.5,28.2,31.9,0.00,1.25
2000-02-21,0.00,18.1,27.3,36.5,0.22,3.42
2000-02-22,0.00,17.2,28.8,40.5,0.11,5.09
2000-02-23,0.00,21.2,35.8,50.5,0.28,7.83
2000-02-24,0.00,29.6,40.2,50.9,0.59,6.74
2000-02-25,0.02,33.2,46.1,58.9,0.37,9.44
2000-02-26,0.08,33.5,40.1,46.7,0.12,1.62
2000-02-27,0.01,34.2,37.1,40.0,0.00,1.17
2000-02-28,0.49,36.0,43.6,51.1,0.00,0.80
2000-02-29,0.00,29.4,39.4,49.5,0.88,7.54
2000-03-01,0.00,24.9,38.4,51.9,0.59,9.83
2000-03-02,0.02,30.3,39.5,48.6,0.98,7.64
2000-03-03,0.00,30.3,36.9,43.5,1.18,5.21
2000-03-04,0.00,26.0,35.3,44.7,1.42,7.83
2000-03-05,0.00,30.1,41.1,52.1,1.47,9.63
2000-03-06,0.00,30.8,42.4,54.0,1.46,9.59
2000-03-07,0.00,27.0,40.5,54.0,0.81,10.70
2000-03-08,0.01,33.9,49.8,65.7,1.01,16.12
2000-03-09,0.00,36.9,56.5,76.2,0.19,18.47
2000-03-10,0.13,40.1,56.2,72.3,0.09,15.72
2000-03-11,0.02,35.9,44.5,53.1,0.22,6.76
2000-03-12,1.30,34.6,37.4,40.2,0.00,1.09
2000-03-13,0.01,25.3,34.3,43.3,0.12,3.52
2000-03-14,0.00,23.9,35.3,46.7,0.38,7.22
2000-03-15,0.00,26.9,40.2,53.5,0.00,8.69
2000-03-16,0.00,31.9,49.1,66.3,0.04,16.27
2000-03-17,1.09,35.6,48.8,62.1,0.08,9.85
2000-03-18,0.07,17.1,27.3,37.5,0.39,3.02
2000-03-19,0.00,19.9,29.7,39.4,0.68,6.12
2000-03-20,0.00,26.0,35.4,44.9,0.34,5.98
2000-03-21,0.01,29.9,39.0,48.2,0.29,6.68
2000-03-22,0.01,33.8,38.0,42.2,0.00,2.04
2000-03-23,0.00,28.5,39.7,50.8,0.00,5.33
2000-03-24,0.00,33.5,50.3,67.1,0.12,14.32
2000-03-25,0.00,36.0,52.1,68.3,0.65,17.67
2000-03-26,0.07,43.4,54.9,66.4,0.41,11.64
2000-03-27,0.00,28.4,43.5,58.6,0.51,12.06
2000-03-28,0.89,36.3,49.9,63.6,0.00,14.14
2000-03-29,0.02,36.9,47.0,57.2,0.19,10.50
2000-03-30,0.00,33.4,42.3,51.1,0.72,6.48
2000-03-31,0.00,27.3,40.5,53.6,0.35,8.54
