PRISM Time Series Data
Location:  Lat: 40.8419   Lon: -75.3824   Elev: 978ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2022-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-22
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,20.8,29.9,39.1,0.07,2.58
2000-01-02,0.00,23.8,34.7,45.5,0.19,4.08
2000-01-03,0.00,36.1,44.3,52.6,0.33,2.35
2000-01-04,0.03,48.9,53.2,57.5,0.31,2.87
2000-01-05,0.27,29.5,45.1,60.6,0.31,4.30
2000-01-06,0.00,15.2,25.8,36.4,0.23,4.22
2000-01-07,0.00,20.1,29.3,38.5,0.41,3.96
2000-01-08,0.00,19.2,31.5,43.8,0.27,5.16
2000-01-09,0.00,20.8,28.7,36.6,0.65,4.00
2000-01-10,0.00,31.4,40.1,48.9,0.36,6.03
2000-01-11,0.89,32.9,39.0,45.1,0.00,3.50
2000-01-12,0.00,32.9,39.7,46.5,1.21,6.26
2000-01-13,0.00,27.5,35.8,44.0,0.74,6.67
2000-01-14,0.06,9.0,19.0,29.0,0.19,1.38
2000-01-15,0.00,8.2,13.2,18.1,0.59,1.84
2000-01-16,0.00,15.1,21.2,27.4,1.03,2.29
2000-01-17,0.00,3.3,22.5,41.7,0.86,4.83
2000-01-18,0.00,1.1,7.7,14.3,0.56,2.01
2000-01-19,0.00,3.0,10.7,18.4,0.71,2.37
2000-01-20,0.20,12.7,19.8,27.0,0.44,2.67
2000-01-21,0.19,6.3,15.3,24.2,0.18,1.37
2000-01-22,0.00,3.3,8.8,14.3,0.65,1.84
2000-01-23,0.03,4.8,11.9,19.0,0.48,2.23
2000-01-24,0.00,12.8,18.5,24.3,0.36,1.74
2000-01-25,0.15,23.3,29.8,36.2,1.03,4.15
2000-01-26,0.72,19.3,23.0,26.7,0.27,1.97
2000-01-27,0.00,11.8,19.1,26.4,1.08,2.49
2000-01-28,0.00,4.0,9.5,15.0,0.71,1.90
2000-01-29,0.00,4.4,12.2,19.9,0.70,2.67
2000-01-30,0.00,2.5,18.6,34.7,0.41,6.43
2000-01-31,0.99,3.8,16.9,30.0,0.10,4.60
2000-02-01,0.00,21.0,25.2,29.3,0.72,2.36
2000-02-02,0.00,17.8,25.2,32.7,0.97,3.27
2000-02-03,0.00,10.8,18.9,27.0,0.85,3.32
2000-02-04,0.13,15.1,21.8,28.5,0.13,2.46
2000-02-05,0.00,20.6,25.6,30.7,0.17,1.83
2000-02-06,0.00,22.6,27.6,32.5,1.41,3.84
2000-02-07,0.00,22.5,28.3,34.1,1.35,4.34
2000-02-08,0.00,10.1,23.6,37.2,1.02,3.71
2000-02-09,0.00,3.0,16.6,30.2,0.25,4.19
2000-02-10,0.00,13.4,27.0,40.7,0.33,4.10
2000-02-11,0.03,22.7,34.8,46.8,0.22,5.47
2000-02-12,0.01,15.8,29.9,44.0,0.17,3.15
2000-02-13,0.00,8.6,19.7,30.7,0.28,3.96
2000-02-14,0.77,11.4,22.6,33.7,0.09,2.69
2000-02-15,0.13,28.7,35.0,41.2,0.21,2.48
2000-02-16,0.00,22.6,29.1,35.7,0.70,3.85
2000-02-17,0.00,20.7,33.0,45.2,1.33,4.55
2000-02-18,0.00,19.6,25.7,31.7,0.51,3.92
2000-02-19,0.70,22.3,25.6,28.9,0.00,1.14
2000-02-20,0.00,24.5,28.1,31.7,0.02,1.32
2000-02-21,0.00,19.7,26.7,33.7,0.52,2.76
2000-02-22,0.00,17.8,27.3,36.9,0.03,3.52
2000-02-23,0.00,23.1,36.1,49.1,0.45,6.85
2000-02-24,0.00,32.1,41.4,50.7,0.64,6.05
2000-02-25,0.01,34.4,47.0,59.6,0.32,9.28
2000-02-26,0.05,34.4,41.0,47.7,0.12,1.33
2000-02-27,0.01,34.8,37.7,40.6,0.01,1.17
2000-02-28,0.64,37.0,43.9,50.7,0.00,0.60
2000-02-29,0.00,29.3,38.5,47.7,1.18,6.88
2000-03-01,0.00,25.7,38.5,51.3,0.76,9.45
2000-03-02,0.01,33.0,40.8,48.7,1.31,7.73
2000-03-03,0.00,29.8,35.4,41.0,1.13,4.41
2000-03-04,0.00,26.2,35.0,43.9,1.37,7.76
2000-03-05,0.00,29.1,39.2,49.3,1.35,8.06
2000-03-06,0.00,30.2,41.5,52.9,1.31,9.01
2000-03-07,0.00,28.0,39.8,51.6,0.95,9.22
2000-03-08,0.00,36.3,50.5,64.7,1.67,15.23
2000-03-09,0.00,38.2,56.8,75.4,0.25,17.65
2000-03-10,0.05,40.4,55.8,71.1,0.52,14.75
2000-03-11,0.08,37.3,44.4,51.6,0.36,5.75
2000-03-12,1.17,35.2,38.3,41.3,0.00,0.96
2000-03-13,0.05,25.0,33.6,42.2,0.12,3.45
2000-03-14,0.00,25.3,34.9,44.4,0.52,6.00
2000-03-15,0.00,28.6,40.1,51.6,0.07,7.73
2000-03-16,0.00,33.9,49.3,64.7,0.40,15.07
2000-03-17,1.01,34.8,48.2,61.6,0.00,8.13
2000-03-18,0.02,16.6,25.8,34.9,0.54,2.82
2000-03-19,0.00,20.0,29.2,38.3,0.85,5.91
2000-03-20,0.00,27.2,35.4,43.5,0.82,5.40
2000-03-21,0.08,31.2,39.2,47.3,0.27,6.25
2000-03-22,0.95,34.8,37.6,40.3,0.05,1.15
2000-03-23,0.00,29.6,41.1,52.5,0.00,6.02
2000-03-24,0.00,35.0,49.9,64.7,0.30,12.22
2000-03-25,0.00,37.8,52.1,66.5,0.82,15.47
2000-03-26,0.06,45.7,55.3,64.9,0.81,10.28
2000-03-27,0.00,28.3,43.0,57.8,0.73,12.10
2000-03-28,1.06,36.3,49.8,63.4,0.00,14.28
2000-03-29,0.01,36.2,45.7,55.2,0.33,9.45
2000-03-30,0.00,33.3,40.2,47.0,0.78,4.71
2000-03-31,0.00,27.1,39.3,51.6,0.58,8.02
2000-04-01,0.00,26.9,41.1,55.4,0.50,10.51
2000-04-02,0.00,38.5,50.5,62.6,2.51,15.37
2000-04-03,0.00,48.0,56.1,64.3,0.27,11.17
2000-04-04,0.51,55.3,61.8,68.4,0.64,10.39
2000-04-05,0.16,35.3,47.5,59.8,1.70,6.61
2000-04-06,0.00,29.6,36.9,44.1,0.74,5.98
2000-04-07,0.02,39.5,54.3,69.0,2.55,18.62
2000-04-08,0.00,43.4,51.6,59.9,0.56,11.32
2000-04-09,0.51,26.7,49.7,72.8,0.08,16.69
2000-04-10,0.07,27.2,35.7,44.3,0.58,7.12
2000-04-11,0.00,32.3,41.3,50.4,1.32,9.10
2000-04-12,0.08,32.3,37.4,42.6,0.00,3.03
2000-04-13,0.00,24.9,35.5,46.2,0.57,6.85
2000-04-14,0.00,28.3,39.2,50.1,0.57,9.40
2000-04-15,0.00,38.8,49.3,59.8,0.28,10.64
2000-04-16,0.11,50.2,54.9,59.6,0.11,2.78
2000-04-17,0.08,43.6,59.6,75.7,0.13,15.59
2000-04-18,0.54,34.7,40.9,47.2,0.05,2.84
2000-04-19,0.00,35.9,40.3,44.8,0.34,3.36
2000-04-20,0.00,44.7,53.4,62.1,1.30,8.32
2000-04-21,0.15,45.6,54.4,63.3,0.53,8.72
2000-04-22,1.03,42.0,45.1,48.2,0.10,1.22
2000-04-23,0.19,40.0,45.4,50.7,0.23,3.26
2000-04-24,0.10,40.7,44.8,48.8,1.34,4.50
2000-04-25,0.00,43.0,53.8,64.6,2.85,14.26
2000-04-26,0.00,34.5,46.2,58.0,0.29,10.22
2000-04-27,0.03,36.4,45.1,53.8,0.39,8.32
2000-04-28,0.01,39.3,42.7,46.1,0.35,2.21
2000-04-29,0.02,33.8,45.7,57.5,0.12,9.09
2000-04-30,0.00,41.3,54.8,68.4,1.23,17.58
2000-05-01,0.00,32.8,47.2,61.7,1.37,15.21
2000-05-02,0.15,44.2,55.6,67.0,0.18,15.03
2000-05-03,0.00,35.0,49.8,64.5,0.89,13.89
2000-05-04,0.00,42.7,55.9,69.1,0.55,16.57
2000-05-05,0.00,51.1,62.3,73.6,0.27,15.74
2000-05-06,0.03,56.4,69.7,82.9,0.28,22.58
2000-05-07,0.00,57.3,71.3,85.2,0.92,24.74
2000-05-08,0.04,59.3,73.7,88.1,0.32,29.46
2000-05-09,0.00,61.4,75.2,89.0,1.22,30.49
2000-05-10,0.00,62.9,75.4,87.9,2.23,26.37
2000-05-11,0.43,49.9,60.2,70.5,0.25,6.56
2000-05-12,0.05,52.1,62.0,71.9,1.53,18.44
2000-05-13,0.02,53.4,62.2,71.0,1.08,11.59
2000-05-14,0.71,48.5,63.2,77.8,0.11,12.15
2000-05-15,0.00,37.9,52.9,67.8,0.94,14.91
2000-05-16,0.00,35.5,48.5,61.6,0.16,12.91
2000-05-17,0.00,45.3,55.4,65.6,1.48,15.15
2000-05-18,0.00,51.6,60.6,69.7,0.37,13.39
2000-05-19,0.97,54.1,66.2,78.3,0.00,14.01
2000-05-20,0.71,42.7,51.0,59.4,0.05,2.09
2000-05-21,0.30,43.5,47.2,50.8,0.01,2.07
2000-05-22,0.06,49.7,53.1,56.5,0.11,2.50
2000-05-23,0.31,51.3,53.4,55.4,0.09,2.24
2000-05-24,0.59,52.7,57.5,62.4,0.01,3.94
2000-05-25,0.34,51.9,64.1,76.3,0.04,16.05
2000-05-26,0.00,50.0,60.5,70.9,0.91,15.74
2000-05-27,0.00,46.6,59.5,72.4,0.30,17.29
2000-05-28,0.00,44.0,53.8,63.6,0.03,8.84
2000-05-29,0.00,51.9,58.9,65.9,1.82,11.10
2000-05-30,0.00,45.2,54.4,63.6,0.36,9.99
2000-05-31,0.00,43.0,54.1,65.1,0.06,10.52
2000-06-01,0.00,50.3,60.6,70.9,0.90,13.31
2000-06-02,0.00,57.9,70.7,83.6,0.09,18.47
2000-06-03,0.22,55.2,70.9,86.5,1.09,20.33
2000-06-04,0.00,44.9,58.3,71.6,0.14,16.29
2000-06-05,0.03,50.3,60.9,71.4,0.30,15.17
2000-06-06,0.75,50.5,56.4,62.2,0.02,7.52
2000-06-07,0.63,48.3,51.4,54.6,0.17,2.39
2000-06-08,0.00,49.3,60.6,71.9,0.37,15.80
2000-06-09,0.00,54.6,64.9,75.3,0.49,16.12
2000-06-10,0.00,58.5,71.6,84.8,0.00,22.09
2000-06-11,0.00,62.0,74.7,87.4,0.00,23.39
2000-06-12,0.90,66.6,77.6,88.5,0.13,22.17
2000-06-13,0.76,55.4,65.3,75.1,0.06,7.38
2000-06-14,0.15,52.6,55.6,58.6,0.03,1.89
2000-06-15,0.05,53.8,56.6,59.4,0.11,2.13
2000-06-16,0.04,57.6,64.2,70.8,0.07,3.84
2000-06-17,0.00,67.0,74.0,80.9,0.00,9.25
2000-06-18,0.09,60.8,72.6,84.3,0.34,17.27
2000-06-19,0.20,57.0,62.6,68.2,0.04,4.77
2000-06-20,0.00,50.7,60.0,69.3,0.00,9.23
2000-06-21,0.00,56.0,68.4,80.8,0.02,20.23
2000-06-22,1.00,64.7,70.0,75.3,0.00,7.42
2000-06-23,0.00,59.5,70.0,80.5,0.36,17.46
2000-06-24,0.00,55.6,67.0,78.4,0.14,18.07
2000-06-25,0.00,63.4,72.4,81.4,0.67,17.84
2000-06-26,0.57,66.5,76.7,86.9,0.00,19.32
2000-06-27,0.16,65.0,74.8,84.5,0.00,14.56
2000-06-28,0.34,58.0,68.4,78.8,0.00,11.36
2000-06-29,0.07,59.8,69.0,78.3,0.07,16.02
2000-06-30,0.14,54.8,64.3,73.7,0.00,10.05
2000-07-01,0.00,52.5,64.0,75.4,0.11,16.92
2000-07-02,0.00,54.5,66.9,79.2,0.09,20.15
2000-07-03,0.00,57.7,70.0,82.4,0.02,23.61
2000-07-04,0.09,63.6,73.0,82.5,0.00,15.54
2000-07-05,0.07,62.0,71.7,81.3,0.19,12.78
2000-07-06,0.00,49.8,65.6,81.5,0.45,23.03
2000-07-07,0.00,53.6,64.5,75.4,1.70,17.68
2000-07-08,0.00,49.1,61.4,73.7,1.22,17.20
2000-07-09,0.00,51.0,63.8,76.5,0.31,19.82
2000-07-10,0.05,65.3,72.8,80.2,0.32,19.25
2000-07-11,0.00,58.3,71.8,85.4,1.27,22.25
2000-07-12,0.00,53.0,66.6,80.2,1.86,22.36
2000-07-13,0.00,53.5,67.1,80.7,0.24,23.47
2000-07-14,0.00,59.2,70.3,81.3,0.81,22.44
2000-07-15,0.39,62.8,69.0,75.2,0.00,8.98
2000-07-16,0.34,60.9,66.6,72.2,0.00,7.43
2000-07-17,0.60,57.6,67.7,77.7,0.00,13.15
2000-07-18,0.00,59.2,69.2,79.2,0.00,14.34
2000-07-19,0.00,54.6,69.1,83.6,0.93,21.99
2000-07-20,0.16,55.5,59.7,64.0,0.16,5.76
2000-07-21,0.00,51.2,63.6,76.1,0.11,18.04
2000-07-22,0.25,56.2,67.3,78.4,0.01,17.92
2000-07-23,0.00,51.2,63.3,75.5,0.09,15.88
2000-07-24,0.00,54.6,65.7,76.9,0.08,18.08
2000-07-25,0.03,56.4,64.4,72.4,0.00,10.08
2000-07-26,0.07,60.4,67.9,75.5,0.34,13.46
2000-07-27,0.73,61.1,63.9,66.6,0.01,1.51
2000-07-28,0.01,63.2,67.3,71.3,0.01,4.86
2000-07-29,0.07,64.4,71.8,79.2,0.22,13.18
2000-07-30,0.51,65.9,70.2,74.5,0.06,7.16
2000-07-31,0.42,66.9,72.3,77.6,0.00,7.41
2000-08-01,0.85,64.6,72.7,80.7,0.00,8.92
2000-08-02,0.51,64.5,70.0,75.5,0.00,4.77
2000-08-03,0.09,68.9,76.1,83.2,0.14,14.09
2000-08-04,0.66,61.4,71.0,80.6,0.00,10.12
2000-08-05,0.00,53.1,64.2,75.2,0.52,11.35
2000-08-06,0.00,53.5,65.8,78.0,0.17,19.61
2000-08-07,0.27,59.6,66.3,72.9,0.00,7.19
2000-08-08,0.04,67.3,76.2,85.1,0.33,16.47
2000-08-09,0.09,68.8,77.0,85.2,1.04,21.00
2000-08-10,0.00,63.7,73.7,83.7,0.56,15.03
2000-08-11,0.00,61.9,71.6,81.4,0.27,17.07
2000-08-12,0.36,62.3,71.2,80.1,0.91,14.53
2000-08-13,0.61,58.7,64.0,69.3,0.65,6.30
2000-08-14,0.02,60.3,64.9,69.6,0.54,7.85
2000-08-15,0.48,59.1,64.3,69.4,0.18,6.40
2000-08-16,0.08,62.5,71.7,81.0,0.24,17.46
2000-08-17,0.00,55.3,67.4,79.5,2.30,21.08
2000-08-18,0.00,55.9,64.1,72.4,0.80,13.92
2000-08-19,0.07,53.7,57.8,61.8,0.03,2.82
2000-08-20,0.00,48.1,60.9,73.6,0.29,15.15
2000-08-21,0.00,45.6,58.0,70.4,0.20,14.78
2000-08-22,0.00,46.1,59.3,72.4,0.00,15.79
2000-08-23,0.00,52.1,63.7,75.4,0.81,15.74
2000-08-24,0.21,59.9,64.9,70.0,0.00,6.28
2000-08-25,0.00,52.8,66.0,79.1,0.01,16.25
2000-08-26,0.00,50.6,64.6,78.7,0.00,20.08
2000-08-27,0.00,57.1,68.9,80.7,0.01,21.17
2000-08-28,0.09,62.2,71.1,80.0,0.14,14.89
2000-08-29,0.11,63.9,70.7,77.4,0.06,9.21
2000-08-30,0.00,61.4,68.3,75.3,0.74,9.33
2000-08-31,0.05,63.1,71.2,79.3,0.25,10.62
2000-09-01,0.04,69.3,75.5,81.6,0.16,11.83
2000-09-02,0.31,67.9,74.1,80.4,0.00,7.82
2000-09-03,0.00,69.0,76.5,84.0,0.03,14.53
2000-09-04,0.26,67.3,75.2,83.1,0.07,13.44
2000-09-05,0.01,45.9,64.2,82.6,0.90,15.03
2000-09-06,0.00,42.4,54.6,66.7,0.42,14.59
2000-09-07,0.00,40.9,54.9,68.9,0.00,14.06
2000-09-08,0.00,46.9,59.2,71.5,0.00,13.73
2000-09-09,0.00,54.2,64.4,74.6,0.00,11.59
2000-09-10,0.00,59.3,71.1,82.9,0.01,17.77
2000-09-11,0.00,62.7,71.2,79.6,0.12,12.36
2000-09-12,0.00,64.4,70.2,75.9,0.60,11.05
2000-09-13,1.14,62.4,70.4,78.4,0.04,10.18
2000-09-14,0.00,46.4,60.6,74.9,0.12,16.52
2000-09-15,0.70,54.7,65.1,75.4,0.10,16.70
2000-09-16,0.02,46.2,57.2,68.2,0.37,11.58
2000-09-17,0.00,39.6,51.0,62.4,0.06,9.82
2000-09-18,0.00,45.1,56.4,67.6,0.49,12.45
2000-09-19,0.00,51.6,62.3,72.9,0.00,13.07
2000-09-20,0.87,54.6,59.9,65.2,0.01,2.81
2000-09-21,0.00,58.8,69.9,80.9,1.19,16.87
2000-09-22,0.00,43.2,56.6,69.9,0.19,13.17
2000-09-23,0.00,45.0,56.0,67.1,0.00,12.54
2000-09-24,0.05,55.1,58.9,62.7,0.11,2.25
2000-09-25,0.03,44.4,56.5,68.6,0.02,4.70
2000-09-26,0.21,45.1,51.9,58.7,0.32,7.82
2000-09-27,0.33,37.3,45.0,52.7,0.00,2.64
2000-09-28,0.00,41.1,53.8,66.5,0.00,10.48
