PRISM Time Series Data
Location:  Lat: 41.8294   Lon: -74.0142   Elev: 469ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,2.95,10.3,22.0,33.8,0.21,3.62
2000-02,3.12,19.0,29.1,39.2,0.32,4.14
2000-03,4.65,29.7,41.4,53.1,0.48,9.01
2000-04,3.90,36.0,46.8,57.5,0.54,9.56
2000-05,4.94,47.6,59.4,71.2,0.43,16.47
2000-06,8.14,55.2,66.4,77.5,0.31,17.17
2000-07,5.50,57.3,68.2,79.0,0.52,18.06
2000-08,3.41,56.2,67.6,79.0,0.02,16.80
2000-09,6.61,49.1,61.0,72.9,0.06,13.05
2000-10,0.86,37.8,50.7,63.6,0.25,11.29
2000-11,3.58,29.9,39.0,48.1,0.42,5.80
2000-12,5.63,14.2,24.2,34.2,0.24,3.26
2001-01,1.65,14.2,24.6,35.1,0.23,3.26
2001-02,2.13,18.1,28.3,38.6,0.29,4.19
2001-03,5.47,23.7,32.2,40.7,0.37,4.71
2001-04,1.49,36.2,48.5,60.7,0.96,12.83
2001-05,4.02,46.7,59.6,72.5,0.78,18.36
2001-06,4.58,55.3,68.0,80.7,0.33,19.96
2001-07,1.43,55.8,68.9,82.0,0.54,22.54
2001-08,2.47,59.2,72.5,85.8,0.22,24.45
2001-09,3.15,47.8,62.1,76.4,0.03,17.80
2001-10,0.61,38.3,52.1,66.0,0.44,13.48
2001-11,0.67,32.6,44.4,56.3,0.49,8.51
2001-12,2.34,27.4,36.7,45.9,0.43,5.38
2002-01,1.83,22.3,31.9,41.5,0.37,5.10
2002-02,1.28,21.1,33.4,45.6,0.44,6.69
2002-03,3.79,25.8,37.6,49.4,0.41,7.45
2002-04,3.51,39.4,51.2,62.9,0.98,13.68
2002-05,4.47,42.6,55.1,67.6,0.69,15.02
2002-06,4.74,54.4,67.4,80.4,0.29,19.81
2002-07,2.33,59.7,73.5,87.4,0.51,27.10
2002-08,4.37,59.7,72.7,85.7,0.58,26.01
2002-09,4.35,49.8,63.4,77.1,0.04,17.01
2002-10,7.05,37.1,48.0,58.9,0.04,7.87
2002-11,6.04,30.3,39.1,47.8,0.33,5.39
2002-12,5.42,17.6,27.3,37.1,0.26,3.68
2003-01,3.61,10.1,19.6,29.2,0.29,2.72
2003-02,3.45,10.8,21.6,32.4,0.20,3.42
2003-03,3.75,23.7,36.0,48.4,0.48,7.19
2003-04,1.74,33.0,44.3,55.7,1.13,11.57
2003-05,4.56,44.4,55.9,67.3,0.63,12.74
2003-06,7.01,55.7,65.6,75.6,0.61,15.99
2003-07,4.74,60.1,71.9,83.8,0.70,21.98
2003-08,6.91,62.5,72.8,83.1,0.36,18.05
2003-09,8.39,51.0,62.3,73.5,0.00,12.17
2003-10,5.68,35.5,48.1,60.6,0.03,9.53
2003-11,5.11,32.1,42.7,53.2,0.20,6.55
