PRISM Time Series Data
Location:  Lat: 39.6555   Lon: -78.2910   Elev: 843ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01,1.45,20.4,30.8,41.1,0.63,5.62
2000-02,2.62,28.0,37.9,47.9,0.90,6.82
2000-03,3.76,33.3,46.1,59.0,1.07,11.90
2000-04,2.95,39.1,51.3,63.5,0.85,11.98
2000-05,2.70,50.8,63.8,76.8,0.90,19.47
2000-06,7.71,59.2,70.7,82.1,0.67,19.04
2000-07,3.10,60.1,70.7,81.4,0.94,19.52
2000-08,3.58,59.1,70.3,81.5,0.61,18.13
2000-09,4.42,52.7,64.4,76.0,0.55,15.22
2000-10,0.76,42.9,56.0,69.0,0.58,14.06
2000-11,2.13,30.1,40.3,50.5,0.55,7.11
2000-12,1.85,16.4,25.3,34.2,0.36,3.32
2001-01,2.05,20.2,29.1,38.0,0.43,3.91
2001-02,0.87,24.0,36.1,48.2,0.50,7.10
2001-03,3.81,26.9,37.1,47.3,0.65,6.77
2001-04,2.07,40.4,53.4,66.3,1.03,14.72
2001-05,2.57,47.2,60.7,74.2,0.83,18.15
2001-06,5.38,57.6,69.5,81.5,0.72,20.50
2001-07,3.36,56.9,70.1,83.2,0.45,22.16
2001-08,3.89,62.7,74.0,85.3,0.79,21.51
2001-09,2.62,50.0,63.6,77.2,0.49,18.26
2001-10,1.14,39.9,54.4,68.9,0.90,16.33
2001-11,1.00,35.5,49.1,62.8,0.99,12.33
2001-12,1.66,30.5,40.0,49.6,0.73,6.86
2002-01,1.85,28.3,38.1,48.0,1.06,7.32
2002-02,0.17,25.6,38.1,50.6,0.89,8.51
2002-03,3.80,30.5,42.8,55.1,0.91,9.56
2002-04,4.26,41.8,54.7,67.5,1.12,15.00
2002-05,4.02,46.8,59.7,72.7,0.79,16.41
2002-06,2.24,58.4,71.2,84.0,0.71,22.88
2002-07,3.75,63.3,75.4,87.6,0.89,25.37
2002-08,2.82,61.4,74.4,87.5,0.64,27.35
2002-09,3.41,53.4,66.8,80.1,0.55,20.96
2002-10,5.46,42.9,52.7,62.5,0.29,9.43
2002-11,3.20,33.2,42.4,51.7,0.48,6.73
2002-12,3.76,23.9,32.0,40.1,0.73,4.37
2003-01,2.46,19.1,26.6,34.0,0.67,3.64
2003-02,5.65,20.2,28.1,36.0,0.36,3.51
2003-03,4.11,29.2,42.0,54.7,0.46,8.75
2003-04,3.83,39.3,51.5,63.8,1.10,14.23
2003-05,6.80,49.5,59.1,68.7,0.55,12.03
2003-06,8.23,56.3,66.8,77.2,0.41,16.59
2003-07,2.04,61.7,73.1,84.5,0.65,22.05
2003-08,5.70,62.6,74.0,85.3,0.14,19.78
2003-09,9.44,53.8,64.1,74.4,0.18,12.44
2003-10,3.76,38.6,51.3,64.0,0.28,11.26
2003-11,4.07,36.9,48.1,59.3,0.54,8.92
2003-12,4.22,25.0,33.3,41.5,0.62,4.71
2004-01,2.67,17.3,26.2,35.1,0.62,3.91
2004-02,3.46,20.2,30.7,41.2,0.64,5.53
2004-03,2.50,32.3,43.9,55.6,0.72,9.77
2004-04,6.52,41.7,52.7,63.7,1.36,13.86
2004-05,4.52,54.5,67.6,80.7,0.76,20.28
2004-06,3.64,56.9,68.3,79.7,0.76,18.50
2004-07,4.75,61.9,72.8,83.8,0.52,20.28
2004-08,3.95,59.4,71.3,83.2,0.53,21.01
2004-09,12.65,55.6,66.6,77.6,0.39,16.29
2004-10,1.89,42.4,53.1,63.8,0.39,10.38
2004-11,4.25,37.3,47.2,57.1,0.90,8.59
2004-12,2.53,25.0,34.3,43.7,0.65,5.07
2005-01,3.80,23.6,32.2,40.9,0.51,4.34
2005-02,1.90,25.0,35.2,45.5,0.62,6.23
2005-03,4.85,27.8,37.2,46.7,0.62,6.47
2005-04,2.76,40.2,53.6,66.9,1.65,16.91
2005-05,2.55,43.5,56.6,69.8,1.04,16.47
2005-06,2.00,59.1,71.5,83.9,0.89,23.35
2005-07,4.30,63.8,75.5,87.1,0.73,23.96
2005-08,2.87,63.6,74.9,86.2,1.15,24.70
2005-09,0.32,54.8,69.0,83.2,1.03,24.72
2005-10,5.37,45.9,55.8,65.7,0.72,11.43
2005-11,3.96,33.9,46.2,58.5,0.89,10.79
2005-12,2.06,23.0,30.7,38.4,0.68,4.21
2006-01,4.40,29.2,39.0,48.8,0.73,6.15
2006-02,1.45,25.1,34.4,43.7,0.94,6.15
2006-03,0.46,31.0,42.0,52.9,1.25,9.72
2006-04,3.91,41.3,55.1,68.8,1.23,16.70
2006-05,2.03,46.7,59.4,72.1,0.95,17.62
2006-06,5.81,57.3,69.1,80.9,1.07,21.12
2006-07,6.34,64.3,75.0,85.8,1.00,22.52
2006-08,1.55,62.1,74.6,87.0,1.61,26.98
2006-09,4.07,53.0,62.9,72.8,0.63,13.55
2006-10,3.83,40.9,51.8,62.8,0.63,10.61
2006-11,3.23,35.8,45.8,55.8,0.54,7.85
2006-12,1.82,27.9,39.5,51.1,0.46,7.36
2007-01,1.40,26.0,35.4,44.9,0.52,5.36
2007-02,2.02,15.9,24.7,33.6,0.55,3.91
2007-03,3.88,28.6,41.5,54.4,0.73,10.11
2007-04,4.05,39.0,49.2,59.4,1.23,12.22
2007-05,1.63,49.0,63.1,77.3,1.33,21.96
2007-06,2.47,56.9,69.8,82.6,0.48,23.29
2007-07,1.74,58.6,71.9,85.2,0.80,25.93
2007-08,5.33,61.9,73.3,84.7,0.46,22.26
2007-09,0.65,52.6,66.6,80.7,0.17,21.30
2007-10,3.71,47.1,59.9,72.7,0.40,16.20
2007-11,2.49,32.5,42.6,52.6,0.68,7.37
2007-12,4.36,27.6,35.2,42.7,0.49,4.06
2008-01,2.09,23.6,32.8,41.9,0.65,5.42
2008-02,3.33,22.9,31.9,41.0,0.47,4.08
2008-03,4.76,28.9,40.2,51.4,0.71,7.95
2008-04,5.70,41.9,53.7,65.4,0.88,13.94
2008-05,5.51,43.7,56.9,70.0,0.47,16.21
2008-06,3.35,57.8,70.7,83.7,0.57,23.33
2008-07,3.71,60.7,73.0,85.3,0.64,24.53
2008-08,3.47,56.0,68.6,81.2,0.66,21.35
2008-09,3.90,52.5,64.9,77.4,0.20,17.93
2008-10,1.12,39.0,51.7,64.4,0.70,12.50
2008-11,1.51,33.6,42.0,50.3,0.87,6.64
2008-12,5.77,25.0,34.0,43.0,0.61,4.60
2009-01,2.58,18.2,26.6,35.1,0.60,3.76
2009-02,0.67,23.0,34.1,45.2,0.86,6.67
2009-03,1.85,30.4,41.3,52.2,1.00,8.94
2009-04,4.25,39.2,51.9,64.5,1.33,15.63
2009-05,5.83,49.4,60.6,71.9,0.85,15.76
