PRISM Time Series Data
Location:  Lat: 40.2432   Lon: -75.4116   Elev: 262ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2000-01-01 - 2020-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Feb-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2000-01-01,0.00,19.0,30.9,42.8,0.00,2.69
2000-01-02,0.00,23.9,35.1,46.2,0.03,3.22
2000-01-03,0.00,38.0,50.0,62.0,0.50,8.78
2000-01-04,0.02,46.4,54.0,61.6,0.00,4.59
2000-01-05,0.53,29.1,47.4,65.6,0.00,6.28
2000-01-06,0.00,14.9,26.8,38.6,0.00,4.59
2000-01-07,0.00,15.2,29.3,43.4,0.07,5.31
2000-01-08,0.00,15.9,32.2,48.4,0.12,6.72
2000-01-09,0.00,16.4,28.0,39.5,0.08,4.49
2000-01-10,0.00,29.1,37.6,46.1,0.00,4.33
2000-01-11,0.48,33.3,44.9,56.5,0.00,4.59
2000-01-12,0.00,29.7,40.4,51.1,0.06,7.28
2000-01-13,0.00,24.7,34.8,44.8,0.48,6.46
2000-01-14,0.00,15.4,27.8,40.2,0.68,2.77
2000-01-15,0.00,14.5,19.8,25.0,0.96,3.08
2000-01-16,0.00,16.2,24.3,32.3,0.92,3.03
2000-01-17,0.00,7.8,29.3,50.8,1.19,7.87
2000-01-18,0.00,3.8,11.0,18.3,0.63,2.61
2000-01-19,0.00,3.5,11.8,20.1,0.55,2.47
2000-01-20,0.05,10.6,21.6,32.6,0.12,3.79
2000-01-21,0.12,7.8,18.3,28.8,0.00,1.64
2000-01-22,0.00,3.6,11.2,18.8,0.47,2.26
2000-01-23,0.00,6.7,13.7,20.6,0.44,2.19
2000-01-24,0.00,12.6,19.8,26.9,0.03,1.25
2000-01-25,0.35,18.0,28.3,38.5,0.00,3.69
2000-01-26,0.60,18.3,23.8,29.4,0.05,1.78
2000-01-27,0.00,13.7,22.5,31.3,1.13,2.89
2000-01-28,0.00,10.2,14.9,19.7,1.17,2.13
