"","lat_prism","long_prism","prism_file"
"1",40.2123,-77.5521,"3square_prism_2000-2022.csv"
"2",42.7144,-73.8641,"albanypb_prism_2000-2022.csv"
"3",40.4007,-74.8436,"amwell_prism_2000-2022.csv"
"4",41.1663,-76.8089,"anderson_prism_2000-2022.csv"
"5",41.1573,-75.891,"arbutuspeak_prism_2000-2022.csv"
"6",41.2433,-75.7081,"baldmount_prism_2000-2022.csv"
"7",40.5298,-79.795,"barkingslope_prism_2000-2022.csv"
"8",40.0041,-78.1292,"barkroad_prism_2000-2022(2).csv"
"9",40.0041,-78.1292,"barkroad_prism_2000-2022.csv"
"10",38.5483,-79.7529,"bartow57_prism_2000-2022.csv"
"11",39.6541,-74.6234,"batsto_prism_2000-2022.csv"
"12",40.9799,-78.4141,"bda1_prism_2000-2022.csv"
"13",40.9365,-75.6727,"bearcreeklake_prism_2000-2022.csv"
"14",39.0629,-79.2994,"bearrocks_prism_2000-2022.csv"
"15",39.2558,-74.8402,"belleplain_prism_2000-2022.csv"
"16",40.5044,-75.0926,"berrong_prism_2000-2022.csv"
"17",40.5059,-79.8064,"bettyfarm_prism_2000-2022.csv"
"18",38.5159,-78.4328,"bigmeadow_prism_2000-2022.csv"
"19",40.5611,-75.1589,"birdsey_prism_2000-2022.csv"
"20",43.8035,-76.2266,"blackpond_prism_2000-2022.csv"
"21",40.4249,-75.4358,"blough_prism_2000-2022.csv"
"22",40.6937,-75.8429,"bluemount_prism_2000-2022.csv"
"23",40.3562,-76.8667,"boydbigtree_prism_2000-2022.csv"
"24",39.8111,-78.5366,"buchanon_prism_2000-2022.csv"
"25",40.0489,-78.0582,"buchanoneast_prism_2000-2022.csv"
"26",39.8111,-78.5366,"buchanonwest_prism_2000-2022.csv"
"27",40.4061,-75.4638,"buckroad_prism_2000-2022.csv"
"28",42.9726,-78.688,"buffalonyarea_prism_2000-2022.csv"
"29",39.5962,-79.7483,"bullrun_prism_2000-2022.csv"
"30",40.9758,-80.015,"burton_prism_2000-2022.csv"
"31",41.3869,-79.0484,"camp_prism_2000-2022.csv"
"32",39.0352,-79.4239,"canaanvalley_prism_2000-2022.csv"
"33",39.613,-78.4425,"carollroad_prism_2000-2022.csv"
"34",39.6491,-77.4782,"catoctin_prism_2000-2022.csv"
"35",39.936,-77.4488,"cenmichaux_prism_2000-2022.csv"
"36",44.0967,-76.0823,"chaumont_prism_2000-2022.csv"
"37",44.0967,-76.0823,"chaumontbarren_prism_2000-2022.csv"
"38",38.6327,-79.8817,"cheatbridge_prism_2000-2022.csv"
"39",35.3212,-83.9813,"cherohalasky_prism_2000-2022.csv"
"40",39.7387,-75.948,"chrome_prism_2000-2022.csv"
"41",36.3957,-84.6499,"clearforkrun_prism_2000-2022.csv"
"42",42.6318,-77.3644,"conklinsgulley_prism_2000-2022.csv"
"43",39.6449,-76.1639,"conowingo_prism_2000-2022.csv"
"44",38.1988,-80.2726,"cranberryglades_prism_2000-2022.csv"
"45",40.6256,-74.8097,"cushetunkmount_prism_2000-2022.csv"
"46",39.0956,-79.4393,"davis_prism_2000-2022.csv"
"47",39.1788,-79.3596,"davis1_prism_2000-2022.csv"
"48",40.1186,-74.8746,"delhaas_prism_2000-2022.csv"
"49",40.6088,-75.1949,"delriv058h_prism_2000-2022.csv"
"50",40.5746,-75.1188,"delriv064a_prism_2000-2022.csv"
"51",41.0931,-74.9752,"delwatergap_prism_2000-2022.csv"
"52",40.9787,-78.4056,"dillenbda_prism_2000-2022.csv"
"53",41.9559,-73.9203,"ferncliff_prism_2000-2022.csv"
"54",39.0647,-79.6648,"fernoweast_prism_2000-2022.csv"
"55",39.0622,-79.6655,"fernowwest_prism_2000-2022.csv"
"56",39.6989,-78.9442,"finzel_prism_2000-2022.csv"
"57",40.3619,-74.6771,"fopos_prism_2000-2022.csv"
"58",40.4437,-75.3788,"friesbusiness_prism_2000-2022.csv"
"59",38.8067,-81.5389,"frozencamp_prism_2000-2022.csv"
"60",40.3377,-75.4217,"fulshawcraeg_prism_2000-2022.csv"
"61",38.8005,-81.4404,"gandee_prism_2000-2022.csv"
"62",41.7948,-75.6607,"gibson_prism_2000-2022.csv"
"63",40.6368,-73.3186,"gilgo_prism_2000-2022.csv"
"64",40.8878,-75.7621,"glenonoko_prism_2000-2022.csv"
"65",39.7262,-76.0763,"goathill_prism_2000-2022.csv"
"66",40.5253,-76.5387,"goldmine_prism_2000-2022(1).csv"
"67",40.5253,-76.5387,"goldmine_prism_2000-2022(2).csv"
"68",40.5253,-76.5387,"goldmine_prism_2000-2022.csv"
"69",40.7069,-74.4678,"greatswamp_prism_2000-2022.csv"
"70",38.4629,-79.8914,"greenbriar_prism_2000-2022.csv"
"71",40.3372,-75.4844,"greenlane_prism_2000-2022.csv"
"72",40.4915,-75.2072,"haycockmount_prism_2000-2022.csv"
"73",41.692,-81.1202,"hellhollow_prism_2000-2022.csv"
"74",39.7797,-79.2333,"highpoint_prism_2000-2022.csv"
"75",40.4414,-75.0978,"highrocks_prism_2000-2022.csv"
"76",35.1815,-84.2915,"hiwasee_prism_2000-2022.csv"
"77",39.658,-78.3628,"hoop_prism_2000-2022.csv"
"78",40.1945,-75.7803,"hopewellfurnace_prism_2000-2022.csv"
"79",43.5427,-73.8271,"icemeadow_prism_2000-2022.csv"
"80",42.418,-87.8041,"illinoisbeachsp_prism_2000-2022.csv"
"81",39.9737,-79.4583,"indiancreekvalley_prism_2000-2022.csv"
"82",41.6548,-83.7812,"irwinprairie_prism_2000-2022(2).csv"
"83",41.6548,-83.7812,"irwinprairie_prism_2000-2022.csv"
"84",41.0095,-80.0077,"jennings_prism_2000-2022.csv"
"85",40.9097,-74.9206,"jennyjump_prism_2000-2022(2).csv"
"86",40.9097,-74.9206,"jennyjump_prism_2000-2022.csv"
"87",41.966,-74.0583,"jockey_prism_2000-2022.csv"
"88",41.4023,-74.4991,"jogeeroad_prism_2000-2022.csv"
"89",35.3566,-83.931,"joycekilmer_prism_2000-2022.csv"
"90",37.7622,-80.3082,"katemount_prism_2000-2022.csv"
"91",40.377,-75.5123,"klinardbarren_prism_2000-2022.csv"
"92",40.5586,-75.2249,"kugelmassgallows_prism_2000-2022.csv"
"93",41.5339,-82.7265,"lakesidedaisy_prism_2000-2022.csv"
"94",39.9334,-79.2698,"laurelhill_prism_2000-2022.csv"
"95",40.595,-75.3664,"lehighumntdrive_prism_2000-2022.csv"
"96",42.7321,-77.9151,"letchworth_prism_2000-2022.csv"
"97",42.7321,-77.9151,"letchworthnorth_prism_2000-2022.csv"
"98",42.6613,-77.9767,"letchworthsouth_prism_2000-2022.csv"
"99",39.8268,-79.3341,"lickingrun_prism_2000-2022.csv"
"100",40.4731,-79.8397,"limehollow_prism_2000-2022.csv"
"101",40.8623,-72.7651,"lispbp_prism_2000-2022.csv"
"102",39.4661,-76.5859,"lochraven_prism_2000-2022.csv"
"103",40.7703,-76.082,"locustlake_prism_2000-2022(2).csv"
"104",40.7703,-76.082,"locustlake_prism_2000-2022.csv"
"105",40.8504,-76.1567,"locustmount_prism_2000-2022.csv"
"106",40.4805,-75.4151,"locustvalley_prism_2000-2022.csv"
"107",41.0639,-75.4272,"longpond_prism_2000-2022.csv"
"108",38.7616,-83.3984,"lynxprairie_prism_2000-2022.csv"
"109",41.776,-73.5423,"macedonia_prism_2000-2022.csv"
"110",40.391,-75.3787,"manderfield_prism_2000-2022.csv"
"111",40.0702,-75.8157,"manorpl_prism_2000-2022.csv"
"112",41.0712,-75.0959,"marshallscreek_prism_2000-2022.csv"
"113",41.0714,-75.0956,"marshallscreek1_prism_2000-2022.csv"
"114",40.4388,-75.2993,"maurerslake_prism_2000-2022.csv"
"115",38.8273,-79.6518,"middlemount_prism_2000-2022.csv"
"116",41.0787,-77.09,"milerunroad_prism_2000-2022.csv"
"117",40.4164,-75.3403,"morgancreek_prism_2000-2022.csv"
"118",39.7848,-79.1765,"mountdavis_prism_2000-2022.csv"
"119",40.3383,-75.9045,"mountpenn_prism_2000-2022.csv"
"120",42.2444,-72.6503,"mounttom_prism_2000-2022.csv"
