"","species","mean_ph","sd_ph","mean_cc_off","sd_cc_off","mean_cc_on","sd_cc_on","ph_upper","ph_lower","cc_on_upper","cc_on_lower","cc_off_upper","cc_off_lower"
"1","Andropogon gerardii",5.62666666666667,0.677671081896,0.084,0.122404481710668,0.0866666666666667,0.130201309334357,6.30433774856267,4.94899558477067,0.216867976001024,-0.0435346426676904,0.206404481710668,-0.0384044817106675
"2","Andropogon virginicus",5.45714285714286,0.299205296617238,0.121428571428571,0.177616494300555,0.121428571428571,0.177616494300555,5.7563481537601,5.15793756052562,0.299045065729126,-0.0561879228719835,0.299045065729126,-0.0561879228719835
"3","Asclepias incarnata",5.66875,0.414276477729547,0.095625,0.159414292542001,0.109375,0.194266783916688,6.08302647772955,5.25447352227045,0.303641783916689,-0.0848917839166885,0.255039292542001,-0.063789292542001
"4","Asclepias purpurascens",5.81,0.765143414298551,0.23,0.16431676725155,0.335,0.242727556463346,6.57514341429855,5.04485658570145,0.577727556463346,0.0922724435366543,0.39431676725155,0.0656832327484502
"5","Asclepias syriaca",5.41428571428571,0.568205194324324,0.132142857142857,0.162441874642478,0.132142857142857,0.162441874642478,5.98249090861004,4.84608051996139,0.294584731785335,-0.0302990174996212,0.294584731785335,-0.0302990174996212
"6","Asclepias tuberosa",5.659375,0.598309109342805,0.114375,0.151358099200368,0.1203125,0.159059420323187,6.2576841093428,5.0610658906572,0.279371920323187,-0.0387469203231873,0.265733099200368,-0.0369830992003678
"7","Bouteloua curtipendula",5.875,0.987842767515829,0,0,0,0,6.86284276751583,4.88715723248417,0,0,0,0
"8","Carex pensylvanica",5.28636363636364,0.686811441889225,0.439545454545455,0.0751808785673891,0.565909090909091,0.0585262733763621,5.97317507825286,4.59955219447441,0.624435364285453,0.507382817532729,0.514726333112844,0.364364575978065
"9","Danthonia spicata",5.5625,0.577205913575621,0.15875,0.155429512427123,0.175,0.175119007154183,6.13970591357562,4.98529408642438,0.350119007154183,-0.000119007154182643,0.314179512427123,0.00332048757287651
"10","Eragrostis spectabilis",5.60769230769231,0.62644704280242,0.123076923076923,0.126845353047495,0.123076923076923,0.126845353047495,6.23413935049473,4.98124526488989,0.249922276124418,-0.00376842997057171,0.249922276124418,-0.00376842997057171
"11","Eurybia divaricata",5.04,0.554977477020464,0.422,0.116060329139633,0.45,0.15,5.59497747702046,4.48502252297954,0.6,0.3,0.538060329139633,0.305939670860367
"12","Eutrochium fistulosum",5.61111111111111,0.636062232331627,0.210555555555556,0.121871302524774,0.247222222222222,0.1557450992735,6.24717334344274,4.97504887877948,0.402967321495722,0.0914771229487221,0.332426858080329,0.0886842530307816
"13","Helianthus decapetalus",5,0.473588127264308,0.370666666666667,0.113481695608125,0.53,0.159014824106793,5.47358812726431,4.52641187273569,0.689014824106793,0.370985175893207,0.484148362274792,0.257184971058541
"14","Kalmia angustifolia",4.92727272727273,0.645121553028434,0.337272727272727,0.144574611124561,0.418181818181818,0.173598282354301,5.57239428030116,4.28215117424429,0.591780100536119,0.244583535827517,0.481847338397289,0.192698116148166
"15","Liatris spicata",5.9,0.62449979983984,0.09,0.102469507659596,0.09,0.102469507659596,6.52449979983984,5.27550020016016,0.192469507659596,-0.012469507659596,0.192469507659596,-0.012469507659596
"16","Lilium superbum",5.22105263157895,0.502857332725718,0.308947368421053,0.165559480309851,0.418421052631579,0.225592138306052,5.72390996430467,4.71819529885323,0.644013190937631,0.192828914325527,0.474506848730903,0.143387888111202
"17","Lindera benzoin",5.54666666666667,0.616286884340016,0.363333333333333,0.131674201110526,0.45,0.156980435541685,6.16295355100668,4.93037978232665,0.606980435541685,0.293019564458315,0.495007534443859,0.231659132222807
"18","Mertensia virginica",5.8,0.346410161513775,0.406,0.044497190922574,0.61,0.0741619848709566,6.14641016151378,5.45358983848622,0.684161984870957,0.535838015129043,0.450497190922574,0.361502809077426
"19","Monarda fistulosa",5.54166666666667,0.633113997107419,0.318333333333333,0.163252917742732,0.35,0.185864075456917,6.17478066377409,4.90855266955925,0.535864075456917,0.164135924543083,0.481586251076065,0.155080415590602
"20","Morella pensylvanica",5.36666666666667,0.115470053837925,0.2,0.186815416922694,0.233333333333333,0.208166599946613,5.48213672050459,5.25119661282874,0.441499933279947,0.0251667333867201,0.386815416922694,0.013184583077306
"21","Muhlenbergia schreberi",5.1,0.336650164612069,0.27,0.188679622641132,0.35,0.251661147842358,5.43665016461207,4.76334983538793,0.601661147842358,0.0983388521576417,0.458679622641132,0.0813203773588679
"22","Picea rubens",4.56666666666667,1.15902257671425,0.57,0.153948043183406,0.666666666666667,0.0577350269189626,5.72568924338091,3.40764408995242,0.724401693585629,0.608931639747704,0.723948043183406,0.416051956816593
"23","Polystichum acrostichoides",5.48125,0.575289782051909,0.4275,0.0523450093132096,0.59375,0.025,6.05653978205191,4.90596021794809,0.61875,0.56875,0.47984500931321,0.37515499068679
"24","Pycnanthemum tenuifolium",5.92666666666667,0.513345701768126,0.177333333333333,0.205616378817679,0.19,0.219740106229414,6.44001236843479,5.41332096489854,0.409740106229414,-0.0297401062294143,0.382949712151012,-0.0282830454843456
"25","Quercus ilicifolia",4.815,0.357292449873828,0.3585,0.167309200049049,0.4125,0.210184755819606,5.17229244987383,4.45770755012617,0.622684755819606,0.202315244180394,0.525809200049049,0.191190799950951
"26","Schizachyrium littorale",5.5,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
"27","Schizachyrium scoparium",5.41739130434783,0.719628801986289,0.0608695652173913,0.129646829484014,0.0608695652173913,0.129646829484014,6.13702010633412,4.69776250236154,0.190516394701405,-0.0687772642666224,0.190516394701405,-0.0687772642666224
"28","Solidago altissima",5.6625,0.362284418654736,0.11625,0.146281284810171,0.125,0.155838744494796,6.02478441865474,5.30021558134526,0.280838744494796,-0.0308387444947959,0.262531284810171,-0.0300312848101707
"29","Solidago rugosa",5.675,0.531507290636732,0.15,0.3,0.15,0.3,6.20650729063673,5.14349270936327,0.45,-0.15,0.45,-0.15
"30","Sorghastrum nutans",5.23846153846154,0.392722254565194,0.0807692307692308,0.110940039245046,0.0807692307692308,0.110940039245046,5.63118379302673,4.84573928389634,0.191709270014277,-0.030170808475815,0.191709270014277,-0.030170808475815
"31","Spiraea tomentosa",NA,NA,0.110714285714286,0.137531215237978,0.110714285714286,0.137531215237978,NA,NA,0.248245500952264,-0.0268169295236928,0.248245500952264,-0.0268169295236928
"32","Symphyotrichum pilosum",5.5,0.673300329224139,0.0625,0.125,0.0625,0.125,6.17330032922414,4.82669967077586,0.1875,-0.0625,0.1875,-0.0625
"33","Tridens flavus",5.54285714285714,0.222539456105675,0.121428571428571,0.0951189731211342,0.121428571428571,0.0951189731211342,5.76539659896282,5.32031768675147,0.216547544549706,0.0263095983074372,0.216547544549706,0.0263095983074372
"34","Vaccinium stamineum",5.73529411764706,0.866704373237055,0.261764705882353,0.168754084917879,0.338235294117647,0.226059596514881,6.60199849088411,4.86858974441,0.564294890632528,0.112175697602767,0.430518790800232,0.0930106209644743
"35","Viburnum acerifolium",5.22,0.532111696115446,0.406666666666667,0.111333903619868,0.55,0.136277028773849,5.75211169611545,4.68788830388455,0.686277028773849,0.413722971226151,0.518000570286535,0.295332763046799
"36","Viburnum prunifolium",6.1,0.650640709864771,0.41,0.0960902353693305,0.521428571428571,0.0755928946018454,6.75064070986477,5.44935929013523,0.597021466030417,0.445835676826726,0.506090235369331,0.31390976463067
